time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx,LIGHT,ratio_absorb,v_ATP_made,Phi2*PSII_antenna_size*ratio_absorb*LIGHT,NADPH,2NADPH,3_v_ATP_made
1199.0500000000002,1.5114701913165232,0.5172243208041738,417.65422639378465,0.5513682613092359,0.3318919745063457,0.6681080254936551,0.1154526113221114,0.0101957460886501,6.045718912775646,0.0883110905585756,0.9116889094414244,0.087679300143955,0.0530828826085706,0.0386917117391429,0,2000.0,0.1,55.67468764299104,51.72243208041738,25.86121604020869,12.930608020104344,18.558229214330346
1199.0500000000002,1.400872542816312,0.5359866854707017,389.52610515585286,0.5682937018588368,0.2874224966628299,0.7125775033371705,0.1136215538900128,0.0097351414677821,6.06855979296282,0.0856804111090022,0.9143195888909976,0.0874992618379353,0.0524849924571416,0.0387515007542858,1,1800.0,0.1,51.54034261517974,48.23880169236316,24.11940084618158,12.05970042309079,17.180114205059912
1199.0500000000002,1.2799543179970854,0.5518078289291956,360.9233520859675,0.5752146195867321,0.2416887964422937,0.7583112035577049,0.111564525070758,0.009234253329937,6.094495470986317,0.0827705162037644,0.9172294837962356,0.0873305367056954,0.0518575194001669,0.0388142480599832,2,1620.0,0.1,47.14144383826943,44.69643414326484,22.34821707163242,11.17410853581621,15.713814612756478
1199.0500000000002,1.1582178373835643,0.5657827254702834,333.0574833463413,0.5762594259210816,0.1990785327659338,0.8009214672340654,0.1094251014526924,0.0087381683492291,6.121884448275611,0.0798552455821475,0.9201447544178524,0.087185651632034,0.0512416839333213,0.0388758316066678,3,1458.0,0.1,42.84930966132381,41.24556068678366,20.62278034339183,10.311390171695916,14.28310322044127
1199.0500000000002,1.0402605036933017,0.5783992101629256,306.43448322243137,0.5735774608742248,0.1614906422347762,0.8385093577652236,0.1072672357811399,0.0082650351062862,6.14996332208577,0.077050881528132,0.922949118471868,0.087068396504411,0.0506535033889368,0.0389346496611063,4,1312.2,0.1,38.815426963380915,37.948772178789554,18.974386089394777,9.487193044697388,12.938475654460305
1199.0500000000002,0.9281829783903964,0.5898724664260161,281.2632053982871,0.5682868694756377,0.1294620249784085,0.8705379750215899,0.105116590171417,0.0078198804253471,6.178388170898836,0.0743924475925473,0.9256075524074524,0.0869796065632338,0.0500984921612687,0.0389901507838731,5,1180.98,0.1,35.08855951144809,34.831379269989824,17.415689634994912,8.707844817497456,11.69618650381603
1199.0500000000002,0.8229483551189574,0.6003336926881065,257.6251696255157,0.5611122163679995,0.1028276395421354,0.8971723604578653,0.1029860528913787,0.0074055052185825,6.206990872120064,0.0719078457032257,0.9280921542967744,0.0869193708205345,0.0495782971507409,0.0390421702849258,6,1062.882,0.1,31.6801149148366,31.904193797586007,15.952096898793004,7.976048449396502,10.560038304945534
1199.0500000000002,0.7250133177519478,0.6098510495645878,235.53945394557044,0.5525428495667771,0.0810763227889207,0.9189236772110778,0.1008783025326946,0.0070197649220158,6.23569103982202,0.0695864694965777,0.9304135305034222,0.0868871224858451,0.0490925792173348,0.0390907420782665,7,956.5938,0.1,28.577565107595216,29.16898664684887,14.584493323424436,7.292246661712218,9.525855035865073
1199.0500000000002,0.6346046398325486,0.6184966144182537,214.99007638268063,0.5430400194617742,0.0635533361899971,0.936446663810003,0.0987956206735229,0.0066624779281495,6.264447620910443,0.0674369761840078,0.932563023815992,0.086880745987357,0.0486388312929424,0.0391361168707057,8,860.93442,0.1,25.764781366337395,26.624251200307143,13.312125600153571,6.656062800076786,8.588260455445798
1199.0500000000002,0.5518519930235763,0.6263206801056389,195.93891985025493,0.5330011725838848,0.049587075820548,0.9504129241794524,0.0967364939637386,0.0063308926138124,6.293239977501228,0.0654447184219187,0.9345552815780812,0.0868992566397173,0.0482155067629343,0.0391784493237065,9,774.840978,0.1,23.219209056175693,24.26494641573392,12.13247320786696,6.06623660393348,7.739736352058564
1199.0500000000002,0.4767935083750676,0.6333829021266892,178.33345891640872,0.5228216620085415,0.0385478241225099,0.961452175877491,0.0946999760499424,0.0060233637482566,6.322056461638569,0.063604701863744,0.936395298136256,0.0869416304660614,0.04782095061842,0.0392179049381579,10,697.3568802,0.1,20.919344702193055,22.0846962299545,11.04234811497725,5.521174057488625,6.9731149007310185
1199.0500000000002,0.4093594932145327,0.6397413380892331,162.11141438528756,0.5128518732723001,0.0298781570634996,0.9701218429364996,0.0926842996464393,0.0057379122684816,6.350893543700705,0.0619081364031945,0.9380918635968054,0.0870063879580393,0.0474530363864378,0.0392546963613562,11,627.6211922,0.1,18.843493733509224,20.075761065559387,10.037880532779694,5.018940266389847,6.281164577836408
1199.0500000000002,0.3493632356734656,0.6454556645253141,147.20378064483145,0.5033903858647046,0.0231038598397294,0.9768961401602704,0.0906875684978466,0.0054725908070069,6.3797503718193385,0.0603455456757625,0.9396544543242376,0.0870922462706739,0.0471098840685981,0.0392890115931401,12,564.859073,0.1,16.971060289562455,18.229574416318396,9.114787208159198,4.557393604079599,5.657020096520818
1199.0500000000002,0.2964910158270769,0.6505903128054563,133.53719010441358,0.4946777089515922,0.0178307050617853,0.982169294938214,0.0887083325312609,0.0052261397113235,6.408630119667711,0.0589137408108538,0.941086259189146,0.087196849221661,0.0467885505032362,0.0393211449496763,13,508.3731657,0.1,15.283213428955444,16.537132844733154,8.268566422366577,4.134283211183289,5.0944044763184815
