ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx
0.1,0.07,0.27777778,3.4,0.1,1199.05,1.733108423,0.28309344,57.14052314,0.221158891,0.428302164,0.571697836,0.119111694,0.011245997,6.002238379,0.094415556,0.905584444,0.088751363,0.056838336,0.038316166,23
0.1,0.07,0.27777778,4.5,0.1,1199.05,1.728227345,0.28342837,57.20890921,0.221128408,0.426169218,0.573830782,0.119166746,0.011359651,6.003215092,0.095325681,0.904674319,0.088325981,0.057044173,0.038295583,24
0.1,0.07,0.27777778,5.6,0.1,1199.05,1.722996909,0.283805981,57.27227253,0.221115303,0.423885525,0.576114475,0.119217981,0.011473573,6.004259877,0.096240289,0.903759711,0.087897877,0.057246002,0.0382754,25
0.1,0.07,0.27777778,6.7,0.1,1199.05,1.717592652,0.284079357,57.33316384,0.220973227,0.421528509,0.578471491,0.119265404,0.011585863,6.005340979,0.097143534,0.902856466,0.087469537,0.057446952,0.038255305,26
0.1,0.07,0.27777778,7.8,0.1,1199.05,1.712088033,0.284307686,57.39266947,0.220773129,0.419130582,0.580869418,0.119310893,0.011697457,6.006442739,0.09804182,0.90195818,0.087041914,0.057648269,0.038235173,27
0.1,0.07,0.27777778,8.9,0.1,1199.05,1.706519934,0.284675442,57.45132443,0.220718485,0.416707981,0.583292019,0.119357753,0.011811008,6.00755425,0.098954674,0.901045326,0.086615495,0.057850555,0.038214945,28
0.1,0.07,0.27777778,10,0.1,1199.05,1.700905206,0.284924792,57.50945499,0.220530251,0.414268194,0.585731806,0.119402307,0.011922945,6.008677287,0.099855227,0.900144773,0.086190233,0.058053829,0.038194617,29
0.1,0.07,0.36666667,0.1,0.1,1199.05,0.70831075,0.129898959,26.21992329,0.052261643,0.078386171,0.921613829,0.100449163,0.00691179,6.241043793,0.068808838,0.931191162,0.087291282,0.049412243,0.039058776,30
0.1,0.07,0.36666667,1.2,0.1,1199.05,1.740906922,0.218497358,44.09254313,0.15703289,0.431671196,0.568328804,0.118982946,0.011022115,6.000652813,0.092636089,0.907363911,0.089544213,0.056342247,0.038365775,31
0.1,0.07,0.36666667,2.3,0.1,1199.05,1.740865885,0.219097514,44.20697493,0.157583026,0.431660814,0.568339186,0.11910865,0.011148534,6.00066474,0.093599698,0.906400302,0.089172577,0.056619567,0.038338043,32
0.1,0.07,0.36666667,3.4,0.1,1199.05,1.736937907,0.219352588,44.27197352,0.157591616,0.429942729,0.570057271,0.11917638,0.011263551,6.001452857,0.094511605,0.905488395,0.088757715,0.056839363,0.038316064,33
0.1,0.07,0.36666667,4.5,0.1,1199.05,1.732087615,0.219612168,44.32569427,0.157550876,0.427821055,0.572178945,0.119231891,0.011377296,6.002423413,0.095421585,0.904578415,0.088332409,0.057045343,0.038295466,34
0.1,0.07,0.36666667,5.6,0.1,1199.05,1.72687732,0.219930789,44.37504708,0.157543145,0.42554383,0.57445617,0.119283391,0.011491243,6.003464201,0.096335647,0.903664353,0.087904311,0.057247214,0.038275279,35
0.1,0.07,0.36666667,6.7,0.1,1199.05,1.721481241,0.220110755,44.42230622,0.157396147,0.423187736,0.576812264,0.119330851,0.01160348,6.004543832,0.097237892,0.902762108,0.087475246,0.057447447,0.038255255,36
0.1,0.07,0.36666667,7.8,0.1,1199.05,1.715984495,0.220332727,44.46834703,0.157281399,0.420790555,0.579209445,0.119377513,0.011716072,6.005642652,0.09814304,0.90185696,0.087047095,0.057648225,0.038235178,37
0.1,0.07,0.36666667,8.9,0.1,1199.05,1.710420742,0.220542777,44.51365999,0.157151146,0.418367114,0.581632886,0.119423228,0.01182852,6.006754865,0.099047064,0.900952936,0.086619951,0.057849768,0.038215023,38
0.1,0.07,0.36666667,10,0.1,1199.05,1.704803768,0.220760217,44.55854839,0.157023886,0.415923357,0.584076643,0.119468562,0.011941203,6.007877354,0.099952682,0.900047318,0.086193414,0.058051733,0.038194827,39
0.1,0.07,0.45555556,0.1,0.1,1199.05,0.586427887,0.094053504,18.9783324,0.033749951,0.055687902,0.944312098,0.097579427,0.006440973,6.28102577,0.066007493,0.933992507,0.087231761,0.048734261,0.039126574,40
0.1,0.07,0.45555556,1.2,0.1,1199.05,1.742337453,0.17789272,35.89788887,0.121599306,0.432278811,0.567721189,0.119007522,0.011028887,6.000356088,0.092673864,0.907326136,0.089540607,0.056321706,0.038367829,41
