,time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma
6763,676.3000000000001,1.7643823987252685,0.27635819103442166,58.72611559481461,0.2163350995124207,0.4418074236655158,0.5581925763344837,0.11884382991576548,0.010595110727831036,5.995854680201092,0.0891515422831852,0.9108484577168148,0.08342965995285488,0.049863509563147924,0.03901364904368509
6764,676.4000000000001,1.7643819510860241,0.27636334864855483,58.727211587817905,0.21634064382157814,0.44180805948745105,0.5581919405125485,0.1188437311250436,0.010595045893063522,5.995855246133665,0.089151070845426,0.910848929154574,0.08343042536333332,0.04986427303946697,0.039013572696053184
6765,676.5,1.7643815030841736,0.2763685044748935,58.72830720091486,0.21634618624606328,0.44180869396899486,0.5581913060310046,0.11884363234769667,0.010594981035420335,5.995855811462061,0.08915059920436434,0.9108494007956357,0.08343119070770025,0.04986503645645608,0.03901349635435427
6766,676.6,1.7643810547215015,0.27637365851423606,58.729402434275165,0.21635172678679737,0.4418093271121888,0.5581906728878108,0.11884353358372496,0.010594916154923853,5.995856376186648,0.08915012736018794,0.9108498726398121,0.08343195598596159,0.049865799814116915,0.03901342001858819
6767,676.7,1.7643806059997922,0.2763788107673812,58.730497288068506,0.2163572654447018,0.4418099589190743,0.5581900410809252,0.11884343483312884,0.010594851251596447,5.995856940307793,0.08914965531308443,0.9108503446869156,0.08343272119812327,0.049866563112451114,0.03901334368875477
6768,676.8000000000001,1.7643801569208302,0.2763839612351274,58.73159176246457,0.21636280222069793,0.4418105893916932,0.5581894106083064,0.1188433360959086,0.010594786325460492,5.995857503825865,0.0891491830632415,0.9108508169367585,0.08343348634419122,0.04986732635146033,0.039013267364853846
6769,676.9000000000001,1.7643797074864,0.2763891099182729,58.732685857632994,0.21636833711570702,0.4418112185320868,0.5581887814679127,0.11884323737206456,0.010594721376538361,5.99585806674123,0.08914871061084684,0.9108512893891532,0.08343425142417134,0.049868089531146215,0.039013191046885255
6770,677.0,1.7643792576982862,0.2763942568176162,58.73377957374345,0.21637387013065057,0.4418118463422969,0.5581881536577026,0.118843138661597,0.010594656404852427,5.995858629054257,0.08914823795608813,0.9108517620439118,0.08343501643806957,0.04986885265151041,0.039013114734848836
6771,677.1,1.7643788075582731,0.27639940193395546,58.734872910965535,0.21637940126644983,0.441812472824365,0.5581875271756346,0.11884303996450626,0.010594591410425062,5.995859190765313,0.08914776509915305,0.910852234900847,0.08343578138589183,0.04986961571255459,0.03901303842874442
6772,677.2,1.7643783570681455,0.2764045452680887,58.73596586946885,0.2163849305240262,0.44181309798033264,0.5581869020196669,0.11884294128079259,0.010594526393278642,5.995859751874767,0.08914729204022932,0.9108527079597707,0.08343654626764406,0.04987037871428038,0.03901296212857184
