time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx
1199.0500000000002,0.5016290176511123,0.47330482065747204,95.5483778461191,0.27651864142956245,0.04203489562719662,0.9579651043728037,0.09517618061644048,0.005907446522262038,6.3121877650970255,0.06206853946044279,0.9379314605395571,0.08662267208348005,0.04765105698777418,0.0392348943012226,0
1199.0500000000002,1.6551999881824642,0.6327475603757808,127.73560297192068,0.9374394063149903,0.39485507815759385,0.6051449218424055,0.11769341173493315,0.010772579102506806,6.017986122792893,0.09153085814094805,0.9084691418590518,0.08855138224250586,0.05465313609131302,0.03853468639086877,1
1199.0500000000002,1.6732284198649587,0.6316423303485383,127.51247570230575,0.9393290596619508,0.4027281286023564,0.5972718713976437,0.11802092646077984,0.010887518238642205,6.014443196297706,0.09225074251518767,0.9077492574848124,0.08852619792938676,0.05499275981326166,0.03850072401867392,2
1199.0500000000002,1.665445728576475,0.6325259702518736,127.69069965895123,0.9401599190309357,0.39941136667387334,0.6005886333261257,0.11826168535734502,0.011222707973778747,6.016017043607229,0.09489724072756581,0.9051027592724342,0.08739285851200426,0.05560340278205174,0.0384396597217946,3
1199.0500000000002,1.6551689931139506,0.6334520318688582,127.8775024753129,0.9402758109121822,0.3949946266793512,0.6050053733206489,0.11834904311731116,0.011433308586644018,6.018071091155548,0.0966066785632693,0.9033933214367306,0.08659139931064312,0.055945012151675376,0.038405498784832195,4
1199.0500000000002,1.6445226234019272,0.6344008440239157,128.06961445444853,0.9403424291873952,0.39043115893138336,0.6095688410686171,0.11842789944830887,0.011640088807890327,6.020203155993024,0.09828840044665386,0.901711599553346,0.0857958433035255,0.05629104670095057,0.03837089532990467,5
1199.0500000000002,1.6337613264100743,0.6353631578567771,128.2636185862505,0.9404118133315489,0.3858326621220639,0.6141673378779364,0.1185073959374306,0.011848772806328591,6.0223562811483,0.0999834024458081,0.900016597554192,0.08500955846552635,0.05664583469709048,0.03833541653029125,6
1199.0500000000002,0.566850216765554,0.16160671779082117,32.6231651447855,0.061889829011969225,0.05212396434641288,0.9478760356535861,0.09507355392365724,0.004345060765591607,6.287858447365573,0.04570209678491178,0.9542979032150882,0.08484878982327808,0.046243074966575856,0.039375692503342406,7
1199.0500000000002,1.7163122027076114,0.39167089977783903,79.06144206808224,0.35837907843476857,0.42030444063150585,0.5796955593684953,0.11850904060343552,0.010822607966544896,6.005226122718489,0.09132304305551872,0.9086769569444811,0.08768167395459864,0.05391434107127453,0.03860856589287258,8
1199.0500000000002,1.751270721451705,0.3971395586606707,80.16487915320455,0.37139833275889855,0.43578191695599394,0.5642180830440049,0.11914283066703468,0.011042499688403411,5.998327817022811,0.09268285290220787,0.9073171470977923,0.08777229740892709,0.054425380865326736,0.0385574619134673,9
1199.0500000000002,1.7478302605337368,0.4002821677496038,80.80061491406498,0.3758282468178028,0.4342653799040671,0.5657346200959333,0.11948032878644757,0.011421197878201417,5.999014484862564,0.09559060000397017,0.9044093999960297,0.0866210228767329,0.05503142850412979,0.038496857149587047,10
1199.0500000000002,1.7379020443779516,0.4013317239535613,81.01867910201548,0.376110389151012,0.42988767854682897,0.57011232145317,0.11958027980078664,0.011639888743404103,6.000993482376957,0.09733953425378591,0.9026604657462143,0.08579072100889239,0.05534502110696883,0.03846549788930313,11
1199.0500000000002,1.7273862721617004,0.4023771307589291,81.22232828049546,0.37629893659828695,0.4252603350614364,0.5747396649385637,0.11967923894457921,0.011863869604815235,6.0030771776706,0.0991305381663103,0.9008694618336897,0.08496108595392647,0.05565718566869077,0.03843428143313079,12
1199.0500000000002,1.716630168128616,0.4033358426783158,81.42073709610324,0.3763115738880357,0.42053787787134506,0.5794621221286557,0.11976797491458473,0.01208105985232655,6.005218082295697,0.10087053412896015,0.8991294658710396,0.08413578188445942,0.055972830022641994,0.038402716997735925,13
1199.0500000000002,0.5718985972973204,0.09723117251870193,19.626307582453066,0.03469234736002534,0.052937251083380946,0.9470627489166178,0.09506390616991396,0.004227084607736799,6.286052973963715,0.04446571544563932,0.9555342845543608,0.0847217025141585,0.04614315843128785,0.0393856841568713,14
1199.0500000000002,1.7895441493197946,0.24212176494344834,48.866521203956374,0.1826198651032403,0.45293564474322306,0.5470643552567777,0.11789880648560669,0.009347691850374925,5.990814756079471,0.07928570542841083,0.9207142945715893,0.08571549271280839,0.05217117909462786,0.03878288209053726,15
1199.0500000000002,1.8185111203784512,0.2464094708652192,49.73331092186218,0.18885220441175113,0.4658902252202274,0.5341097747797722,0.11853237512187872,0.009635458802738616,5.985051394680999,0.08128966659944326,0.9187103334005569,0.08581083777864074,0.052668763223772855,0.03873312367762275,16
1199.0500000000002,1.8127138777405765,0.24874398377405016,50.21508998052394,0.19084041691865322,0.46330685900459845,0.536693140995402,0.11887494520671944,0.010048147968485433,5.986220046029432,0.08452704604915633,0.9154729539508437,0.08465377334735638,0.053261459756157356,0.03867385402438426,17
1199.0500000000002,1.8023162047769694,0.2495676755753157,50.368465659125654,0.19097405194426212,0.45867715667491477,0.541322843325086,0.11898601009236434,0.010283824288754288,5.9882969032731665,0.08642883227429463,0.9135711677257055,0.0838205742469297,0.05357043019499924,0.03864295698050011,18
1199.0500000000002,1.7913945055698182,0.2502044844373378,50.509927459773316,0.19087702090008335,0.45382302809409725,0.5461769719059026,0.11907964556747556,0.010508967550685859,5.990488699720171,0.08825158573154959,0.9117484142684505,0.08298772838820341,0.05387787220981298,0.0386122127790187,19
