time/s,kea3_dNPQ,kea3_dLEF,WT_NPQ,WT_LEF
495.40000000000003,0.07735038385834359,-1.051150663109489,1.9403168019220807,58.35413445793115
495.5,0.07735811321227737,-1.051318124723167,1.9403194391720875,58.3558177482382
495.6,0.07736583832597765,-1.0514855174002733,1.9403220674783308,58.35750025654719
495.70000000000005,0.07737355920178501,-1.051652841169627,1.9403246868541455,58.35918198332635
495.8,0.07738127584203869,-1.0518200960600126,1.9403272973128665,58.36086292904382
495.90000000000003,0.07738898824907903,-1.0519872821002707,1.9403298988678284,58.36254309416773
496.0,0.07739669642524549,-1.052154399319221,1.9403324915323668,58.36422247916608
496.1,0.07740440037287755,-1.052321447745662,1.9403350753198163,58.36590108450681
496.20000000000005,0.07741210009431554,-1.0524884274084485,1.9403376502435121,58.367578910657805
496.3,0.07741979559189893,-1.0526553383364146,1.9403402163167889,58.36925595808687
496.40000000000003,0.07742748686796741,-1.0528221805583726,1.940342773552982,58.37093222726171
496.5,0.07743517392486066,-1.0529889541031778,1.940345321965426,58.372607718649995
496.6,0.0774428567649188,-1.0531556589997066,1.9403478615674563,58.374282432719305
496.70000000000005,0.07745053539048152,-1.0533222952767929,1.9403503923724075,58.375956369937164
496.8,0.07745820980388873,-1.0534888629632633,1.9403529143936147,58.37762953077098
496.90000000000003,0.07746588000747945,-1.0536553620880582,1.940355427644413,58.37930191568818
497.0,0.07747354600359424,-1.053821792679983,1.9403579321381375,58.380973525155994
497.1,0.07748120779457257,-1.0539881547679641,1.9403604278881226,58.382644359641695
497.20000000000005,0.07748886538275457,-1.054154448380828,1.9403629149077037,58.3843144196124
497.3,0.0774965187704788,-1.0543206735474868,1.940365393210216,58.3859837055352
497.40000000000003,0.0775041681025086,-1.0544868279970743,1.9403678626665721,58.38765221557737
497.5,0.07751181374375693,-1.0546529059043905,1.940370322927533,58.38931994435171
497.6,0.0775194552296874,-1.0548189148376608,1.94037277447331,58.39098689986442
497.70000000000005,0.07752709256338397,-1.0549848548138243,1.9403752173164937,58.39265308257037
497.8,0.07753472574793063,-1.0551507258498987,1.9403776514696753,58.39431849292435
497.90000000000003,0.07754235478641114,-1.05531652796288,1.9403800769454453,58.395983131381094
498.0,0.07754997968190924,-1.0554822611697148,1.940382493756395,58.39764699839522
498.1,0.07755760043750937,-1.0556479254874773,1.9403849019151147,58.39931009442136
498.20000000000005,0.0775652170562946,-1.055813520933114,1.9403873014341957,58.40097241991403
498.3,0.07757282954134959,-1.055979047523678,1.9403896923262287,58.402633975327646
498.40000000000003,0.07758043789575808,-1.0561445052762224,1.9403920746038046,58.404294761116624
498.5,0.07758804155564225,-1.0563099023568014,1.9403944482795141,58.40595477773526
498.6,0.07759564093072302,-1.0564752329369114,1.9403968133659484,58.40761402563779
498.70000000000005,0.07760323614254827,-1.0566404953307895,1.940399169875698,58.409272505278416
498.8,0.07761082719339285,-1.0568056895669642,1.9404015178213538,58.410930217111215
498.90000000000003,0.0776184140855336,-1.056970815674056,1.940403857215507,58.412587161590245
499.0,0.07762599682124671,-1.057135873680629,1.9404061880707482,58.41424333916945
499.1,0.07763357540280813,-1.0573008636152963,1.940408510399668,58.41589875030276
499.20000000000005,0.0776411498324936,-1.0574657855066576,1.9404108242148579,58.41755339544398
499.3,0.0776487201125795,-1.0576306393833548,1.9404131295289082,58.41920727504692
499.40000000000003,0.07765628624534271,-1.0577954252739517,1.9404154263544098,58.420860389565235
499.5,0.07766384823305783,-1.0579601432070618,1.9404177147039539,58.42251273945254
499.6,0.07767140607800238,-1.0581247932113413,1.940419994590131,58.424164325162444
499.70000000000005,0.0776789597824512,-1.0582893753154252,1.9404222660255324,58.42581514714843
499.8,0.07768650934868138,-1.0584538895478985,1.9404245290227484,58.42746520586388
499.90000000000003,0.07769405477896818,-1.0586183359374317,1.9404267835943703,58.42911450176219
500.0,0.07770159607558846,-1.0587827145126667,1.9404290297529887,58.43076303529665
500.1,0.07770913324081818,-1.0589470253022313,1.9404312675111945,58.432410806920444
500.20000000000005,0.07771666627693308,-1.0591112683348172,1.9404334968815788,58.43405781708677
500.3,0.07772419518620932,-1.0592754436390521,1.9404357178767322,58.435704066248704
500.40000000000003,0.07773171997092332,-1.0594395512435995,1.9404379305092454,58.437349554859246
500.5,0.07773924063335103,-1.0596035911771722,1.9404401347917097,58.43899428337136
500.6,0.0777467571757684,-1.0597675634683767,1.9404423307367156,58.440638252237946
500.70000000000005,0.07775426960045184,-1.0599314681459333,1.9404445183568542,58.44228146191178
500.8,0.07776177790967664,-1.0600953052385123,1.9404466976647161,58.443923912845655
500.90000000000003,0.07776928210571987,-1.060259074774791,1.9404488686728925,58.445565605492206
501.0,0.07777678219085749,-1.0604227767835042,1.940451031393974,58.4472065403041
501.1,0.07778427816736522,-1.0605864112933006,1.9404531858405514,58.44884671773384
501.20000000000005,0.07779177003751903,-1.0607499783329146,1.9404553320252158,58.45048613823394
501.3,0.07779925780359553,-1.060913477931031,1.940457469960558,58.452124802256805
501.40000000000003,0.07780674146787048,-1.0610769101164266,1.9404595996591687,58.45376271025479
501.5,0.07781422103262003,-1.061240274917715,1.9404617211336388,58.45539986268014
501.6,0.07782169650012039,-1.0614035723636945,1.9404638343965592,58.45703625998511
501.70000000000005,0.07782916787264749,-1.0615668024830853,1.9404659394605208,58.45867190262183
501.8,0.07783663515247752,-1.0617299653046146,1.9404680363381146,58.460306791042385
501.90000000000003,0.07784409834188688,-1.061893060857031,1.940470125041931,58.4619409256988
502.0,0.07785155744315131,-1.0620560891690687,1.9404722055845613,58.46357430704299
502.1,0.07785901245854676,-1.0622190502694764,1.9404742779785962,58.46520693552687
502.20000000000005,0.07786646339034942,-1.0623819441869813,1.9404763422366265,58.466838811602244
502.3,0.07787391024083612,-1.0625447709503817,1.940478398371243,58.46846993572085
502.40000000000003,0.0778813531469762,-1.0627075283443475,1.9404804462603424,58.4701003060903
502.5,0.07788879245394842,-1.0628702106851833,1.9404824855736136,58.47172991744975
502.6,0.0778962277224835,-1.0630328253584906,1.940484516765192,58.473358777607594
502.70000000000005,0.07790365895556195,-1.0631953723814007,1.940486539846965,58.47498688700363
502.8,0.07791108615616338,-1.063357851771059,1.9404885548308197,58.476614246077666
502.90000000000003,0.07791850932726785,-1.0635202635446106,1.9404905617286428,58.4782408552694
503.0,0.07792592847185453,-1.063682607719194,1.9404925605523218,58.47986671501846
503.1,0.07793334359290371,-1.063844884311976,1.9404945513137437,58.48149182576446
503.20000000000005,0.07794075469339568,-1.0640070933401375,1.9404965340247955,58.4831161879469
503.3,0.07794816177630937,-1.0641692348208096,1.9404985086973645,58.48473980200523
503.40000000000003,0.07795556484462551,-1.064331308771223,1.9405004753433377,58.48636266837887
503.5,0.07796296336336339,-1.0644933231318348,1.9405024339746022,58.4879847875071
503.6,0.07797035772133953,-1.0646552722363083,1.9405043846030454,58.48960615982922
503.70000000000005,0.07797774803393764,-1.0648171544461391,1.9405063272405538,58.49122678578443
503.8,0.07798513430337084,-1.064978969789756,1.940508261899015,58.492846665811854
503.90000000000003,0.07799251653185224,-1.065140718295602,1.9405101885903162,58.49446580035057
504.0,0.07799989472159585,-1.0653023999920777,1.940512107326344,58.496084189839586
