ratio_absorb,LIGHT,VDE_max_turnover_number,pKvde,VDE_Hill,kZE,pKPsbS,max_NPQ,pHstroma_initial,ATP_synthase_content,ATP_synthase_max_turnover,Thylakoid_membrane_capacitance,Volts_per_charge,c_subunits_per_ATP_synthase,n,perm_K,k_VCCN1,k_CLCE,max_b6f,pKreg,Em7_PC,Em7_PQH2,Em_Fd,k_NDH,lumen_protons_per_turnover,buffering_capacity,PSI_antenna_size,k_PC_to_P700,k_KEA,max_PSII,PSII_antenna_size,kQA,k_recomb,triplet_yield,triplet_to_singletO2_yield,light_per_L,k_Fd_to_NADP,k_CBC
0.1,8.349115836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,7.514204252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,6.762783827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,6.086505444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,5.4778549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,4.93006941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,4.437062469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,3.993356222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,3.5940206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,3.23461854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2.911156686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2.620041017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2.358036916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2.122233224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.910009902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.719008911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.54710802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.392397218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.253157496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.127841747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.015057572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,819.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,655.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,524.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,419.4304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,335.54432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,268.435456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,214.7483648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,171.7986918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,137.4389535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,109.9511628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,87.96093022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,70.36874418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,56.29499534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,45.03599627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,36.02879702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,28.82303762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,23.05843009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,18.44674407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,14.75739526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,11.80591621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,9.444732966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,7.555786373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,6.044629098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,4.835703278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,3.868562623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,3.094850098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,2.475880079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,1.980704063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,1.58456325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,1.2676506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,1.01412048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,480.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,336.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,235.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,164.7086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,115.29602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
