,time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma
0,0.0,0.0,0.8299319727891156,17.636054421768705,1.0,0.0,1.0,0.0,0.0,7.8,,,0.1,0.04,0.04
1,0.1,0.04028423265978977,0.8234815303860245,17.49898252070302,0.9944796565608162,3.621557645163963e-11,0.9999999999637842,0.12677281129974877,0.12200957532347109,7.720612733728705,0.9624269910287372,0.03757300897126281,0.09991491546185235,0.040030233936283535,0.03999697660637166
2,0.2,0.03646382334238716,0.8237904437869159,17.50554693047196,0.9929368267090545,8.252540542026325e-11,0.9999999999174745,0.12738756455572237,0.12130493548183319,7.6986228487685135,0.9522509980067286,0.04774900199327137,0.09980762815234258,0.04007251176898378,0.03999274882310164
3,0.30000000000000004,0.03300213473463755,0.8239538079784892,17.509018419542894,0.9907352760879422,1.3807921884232828e-10,0.9999999998619207,0.1268344715115778,0.11972403954372689,7.681492800535818,0.9439392786274048,0.05606072137259521,0.09970173531879567,0.04011370679622133,0.03998862932037789
4,0.4,0.029877070674045172,0.8239021112063797,17.50791986313557,0.9873861553397678,2.0188974098051073e-10,0.99999999979811,0.12648349091944908,0.1185596266712829,7.667935595863897,0.9373525810319983,0.06264741896800174,0.09959711458857881,0.04015393350635639,0.03998460664936439
5,0.5,0.02704728698858346,0.8235012793319398,17.49940218580372,0.9819589528590799,2.7352639674317944e-10,0.9999999997264735,0.12613910926509014,0.11750205941384412,7.656049169145899,0.9315275817185719,0.06847241828142814,0.09949352990582981,0.04019339314568895,0.03998066068543113
6,0.6000000000000001,0.024486174583133676,0.8223804947770759,17.475585514012863,0.9720048349481302,3.5302320969055e-10,0.9999999996469766,0.12574688745629575,0.11645752495620318,7.6451772916651235,0.926126501514233,0.07387349848576696,0.09939093699637579,0.04023212881588978,0.039976787118411045
7,0.7000000000000001,0.022169794020306503,0.8191584536387531,17.4071171398235,0.9487961779223258,4.4056305772555845e-10,0.9999999995594367,0.1251472950924882,0.11525134835657828,7.635067554401501,0.9209256042761733,0.07907439572382668,0.09928939727273813,0.04027010042884849,0.03997298995711518
8,0.8,0.020073751743395537,0.8045537875105512,17.096767984599214,0.8604776123586826,5.36216936240563e-10,0.9999999994637828,0.12385120846265864,0.1134102553729546,7.625984115171599,0.9156976082889655,0.08430239171103449,0.09918920352148712,0.040307093760659926,0.03996929062393403
9,0.9,0.018175344994711157,0.641165950593208,13.624776450105669,0.37280313794313225,6.391735470749024e-10,0.9999999993608262,0.11865483303479854,0.10784451026555639,7.619827953845964,0.9088926890481422,0.09110731095185776,0.09909171588589032,0.040342122141383635,0.039965787785861656
10,1.0,0.016450955454672435,0.20955777868832712,4.4531027971269515,0.0552204908545787,7.420157463781099e-10,0.9999999992579838,0.09948599443566453,0.08901923057137939,7.6255539355952475,0.894791584246024,0.10520841575397599,0.09900576856625722,0.04036948889672852,0.039963051110327184
11,1.1,0.014891001964982938,0.10010620164045397,2.1272567848596466,0.02313498937113978,8.398649279289245e-10,0.9999999991601346,0.085854667885716,0.07564069778072137,7.629767164916756,0.8810318605088452,0.11896813949115481,0.09893420985740747,0.04038881344159053,0.03996111865584099
12,1.2000000000000002,0.013479825167473447,0.059382819195626074,1.261884907907054,0.013111222593562677,9.344873062425275e-10,0.9999999990655123,0.0756241008959276,0.0655918162902127,7.632795256571418,0.8673401139734391,0.13265988602656087,0.09887282185232144,0.04040351816477826,0.03995964818352221
13,1.3,0.012203316742128332,0.041028757109784125,0.8718610885829126,0.008874230625905088,1.0269349690184928e-09,0.9999999989730647,0.06791083252261486,0.05799209041726567,7.634687631577513,0.8539446250780953,0.14605537492190468,0.09881915863868333,0.040415234347033015,0.03995847656529673
14,1.4000000000000001,0.01104877153078357,0.032253884783036015,0.6853950516395153,0.00690514618854754,1.1182471888840687e-09,0.9999999988817524,0.062374843453450304,0.052497305455291444,7.635374366697352,0.8416422799436705,0.15835772005632953,0.09877122926622689,0.0404249964814356,0.039957500351856474
15,1.5,0.01000465217229395,0.028070816208929168,0.5965048444397448,0.005977560359139655,1.2094319693126085e-09,0.9999999987905677,0.05867262828290476,0.04876782009025896,7.634919863455903,0.8311851968708938,0.16881480312910624,0.09872733433002413,0.04043350951202761,0.03995664904879727
16,1.6,0.009060454546598106,0.026205820542903067,0.5568736865366901,0.005564523138375299,1.3013967723698768e-09,0.9999999986986028,0.056435034985680116,0.04644387556748895,7.63348067636348,0.8229617573422904,0.17703824265770962,0.09868607921800326,0.040441260444808926,0.03995587395551914
17,1.7000000000000002,0.008206644013886833,0.025600696198779173,0.5440147942240574,0.005428058805534097,1.394911961779273e-09,0.9999999986050876,0.055292861442021515,0.04516853507652638,7.6312612272417475,0.8168963207644587,0.18310367923554127,0.09864638917916903,0.04044858068824474,0.03995514193117556
18,1.8,0.0074345712204774315,0.025720568948519356,0.5465620901560363,0.005449969418751088,1.4906064804228373e-09,0.999999998509393,0.05492505247488959,0.04463262252708715,7.628459500869959,0.8126095564040127,0.18739044359598733,0.09860748312595315,0.0404556922005728,0.03995443077994275
19,1.9000000000000001,0.006736428955958287,0.02624974136738949,0.5578070040570267,0.0055612626246769326,1.5889863546109597e-09,0.9999999984110132,0.055091721101078,0.04460548397680551,7.625229381262125,0.8096585673002816,0.19034143269971837,0.09856882347011717,0.04046274075883231,0.0399537259241168
