ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2,v_ATP_made,Phi2*PSII_antenna_size*ratio_absorb*100,NADPH,2NADPH,3_v_ATP_made
0.1,0.07,0.1,0.1,0,0.737374068,8.420526208000002,0.737374068,0.368687034,0.184343517,2.806842069333334
0.1,0.07,0.1,0.5,1,0.723128813,31.140337910000007,0.7231288130000001,0.3615644065,0.18078220325,10.380112636666668
0.1,0.07,0.1,1.0,2,0.722664831,31.23957731,0.722664831,0.3613324155,0.18066620775,10.413192436666668
0.1,0.07,0.1,4.0,3,0.72382302,31.35589734,0.72382302,0.36191151,0.180955755,10.45196578
0.1,0.07,0.1,6.0,4,0.724792317,31.42326403,0.7247923170000001,0.3623961585,0.18119807925,10.474421343333333
0.1,0.07,0.1,8.0,5,0.725777976,31.490039690000003,0.7257779760000002,0.3628889880000001,0.181444494,10.496679896666668
0.1,0.07,0.1,10.0,6,0.72677389,31.55778569,0.72677389,0.363386945,0.1816934725,10.519261896666666
0.1,0.07,0.3,0.1,7,0.219444826,6.335051200000001,0.658334478,0.329167239,0.1645836195,2.111683733333334
0.1,0.07,0.3,0.5,8,0.625335545,34.898985290000006,1.876006635,0.9380033175,0.46900165875,11.632995096666669
0.1,0.07,0.3,1.0,9,0.617268199,56.95666501000001,1.851804597,0.9259022985,0.46295114925,18.985555003333335
0.1,0.07,0.3,4.0,10,0.617295857,57.99882191,1.851887571,0.9259437855,0.46297189275,19.332940636666667
0.1,0.07,0.3,6.0,11,0.618179011,58.19086884000001,1.8545370329999995,0.9272685164999998,0.4636342582499999,19.39695628
0.1,0.07,0.3,8.0,12,0.619115959,58.37661409,1.8573478770000005,0.9286739385000002,0.4643369692500001,19.458871363333333
0.1,0.07,0.3,10.0,13,0.620040766,58.55108365000001,1.8601222980000005,0.9300611490000004,0.4650305745000001,19.517027883333338
0.1,0.07,0.5,0.1,14,0.09642554,4.517070013,0.4821277,0.24106385,0.120531925,1.5056900043333332
0.1,0.07,0.5,0.5,15,0.371910673,23.60233387,1.859553365,0.9297766825,0.46488834125,7.867444623333333
0.1,0.07,0.5,1.0,16,0.498899841,49.11819892,2.4944992050000003,1.2472496025000002,0.6236248012500001,16.37273297333333
0.1,0.07,0.5,4.0,17,0.520352283,64.7583735,2.6017614150000004,1.3008807075000002,0.6504403537500001,21.5861245
0.1,0.07,0.5,6.0,18,0.52116887,65.00994718,2.60584435,1.302922175,0.6514610875,21.66998239333333
0.1,0.07,0.5,8.0,19,0.522003053,65.23732944,2.6100152650000004,1.3050076325000002,0.6525038162500001,21.74577648
0.1,0.07,0.5,10.0,20,0.522759324,65.44464392,2.61379662,1.30689831,0.653449155,21.814881306666667
0.1,0.07,0.7,0.1,21,0.042249874,2.707228497,0.295749118,0.147874559,0.0739372795,0.902409499
0.1,0.07,0.7,0.5,22,0.185687054,13.87752597,1.2998093779999995,0.6499046889999998,0.3249523444999999,4.6258419900000005
0.1,0.07,0.7,1.0,23,0.302312697,28.547185310000003,2.116188879,1.0580944395,0.52904721975,9.515728436666668
0.1,0.07,0.7,4.0,24,0.418977892,66.14371678,2.932845244,1.466422622,0.733211311,22.047905593333336
0.1,0.07,0.7,6.0,25,0.419634171,66.44747761,2.937439197,1.4687195985,0.73435979925,22.149159203333337
0.1,0.07,0.7,8.0,26,0.42035082,66.69328662,2.94245574,1.47122787,0.735613935,22.23109554
0.1,0.07,0.7,10.0,27,0.420964567,66.91599605,2.946751969,1.4733759845,0.73668799225,22.305332016666668
0.1,0.07,0.9,0.1,28,0.011224597,0.902450895,0.101021373,0.0505106865,0.02525534325,0.300816965
0.1,0.07,0.9,0.5,29,0.053942486,4.543155672,0.485482374,0.242741187,0.1213705935,1.514385224
0.1,0.07,0.9,1.0,30,0.1025251,9.180824661,0.9227259,0.46136295,0.230681475,3.0602748870000003
0.1,0.07,0.9,4.0,31,0.277881995,38.57619823,2.5009379550000004,1.2504689775000002,0.6252344887500001,12.858732743333334
0.1,0.07,0.9,6.0,32,0.327964974,58.41795569999999,2.951684766,1.475842383,0.7379211915,19.4726519
0.1,0.07,0.9,8.0,33,0.341756555,66.48891043999998,3.075808995,1.5379044975,0.76895224875,22.162970146666662
0.1,0.07,0.9,10.0,34,0.342575304,66.89026305,3.083177736,1.541588868,0.770794434,22.29675435
0.1,0.1,0.1,0.1,35,0.771484303,5.866410445999999,0.7714843030000001,0.3857421515000001,0.19287107575,1.9554701486666664
0.1,0.1,0.1,0.5,36,0.753916555,23.70452495,0.7539165550000001,0.3769582775,0.18847913875,7.901508316666667
0.1,0.1,0.1,1.0,37,0.753448739,23.74624707,0.7534487390000001,0.3767243695,0.18836218475,7.91541569
0.1,0.1,0.1,4.0,38,0.754419262,23.80769414,0.7544192620000001,0.377209631,0.1886048155,7.935898046666666
0.1,0.1,0.1,6.0,39,0.755274071,23.84850963,0.755274071,0.3776370355,0.18881851775,7.94950321
0.1,0.1,0.1,8.0,40,0.756145246,23.88919284,0.7561452460000001,0.378072623,0.1890363115,7.96306428
0.1,0.1,0.1,10.0,41,0.757023213,23.93030431,0.757023213,0.3785116065,0.18925580325,7.976768103333334
0.1,0.1,0.3,0.1,42,0.227882848,4.414412889,0.683648544,0.341824272,0.170912136,1.471470963
0.1,0.1,0.3,0.5,43,0.70508427,24.3723333,2.11525281,1.057626405,0.5288132025,8.1241111
0.1,0.1,0.3,1.0,44,0.662438191,48.66050084,1.987314573,0.9936572865,0.49682864325,16.220166946666666
