time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx,v_ATP_made
1199.0500000000002,1.055196944040887,0.5251334008078767,106.00448987520426,0.4657273285426265,0.1673841502452993,0.8326158497547009,0.1074322291597741,0.0082396864782317,6.146790955307626,0.0766965971168521,0.9233034028831476,0.087706954488883,0.0513537055241497,0.038864629447585,0,39.11340242563737
1199.0500000000002,1.6374117419153784,0.5660338419721265,114.26798366141448,0.7049278157453489,0.3876991640968045,0.6123008359031946,0.1171642522660055,0.0104714247379519,6.021786207865773,0.0893738878011804,0.9106261121988196,0.0894970856920607,0.0556275249804603,0.038437247501954,1,59.71828945853712
1199.0500000000002,1.6469385711916704,0.566361368985335,114.33071144824936,0.7084182191104287,0.3918127360297413,0.6081872639702592,0.1173596662078727,0.0105536511463968,6.019899748975403,0.0899257076082713,0.9100742923917288,0.089430005188298,0.0558933560149225,0.0384106643985074,2,60.190537468831025
1199.0500000000002,1.6381575483965036,0.5677913186349861,114.62118388966252,0.7101926498522062,0.3881043371336968,0.6118956628663028,0.1175675948147235,0.0108684694611791,6.021681244107594,0.0924444312516909,0.907555568748309,0.0883470988288467,0.0565504650222596,0.038344953497774,3,60.695356200066946
1199.0500000000002,1.628206501265542,0.5687500039647952,114.81327477230566,0.7102839327419516,0.3838784276756706,0.6161215723243304,0.1176501109099503,0.0110710388308377,6.02368213201479,0.0941013880025741,0.905898611997426,0.0875792638772119,0.0569266889621951,0.0383073311037803,4,60.896353493288196
1199.0500000000002,1.6178923942827808,0.569711658397925,115.00570742458342,0.7102766566160326,0.3795096652470294,0.6204903347529707,0.1177277134128972,0.0112731218191691,6.025756806771198,0.0957558866356671,0.904244113364333,0.0868132913729551,0.0573033313074478,0.0382696668692547,5,61.085722976365965
1199.0500000000002,1.6074379887332313,0.5706551647571095,115.19854642112516,0.7101689622024464,0.3750948472518854,0.6249051527481136,0.1178021895581872,0.0114739675516382,6.0278629665575165,0.0974002905840169,0.902599709415983,0.0860521979989431,0.0576842746404257,0.0382315725359572,6,61.26777321481145
1199.0500000000002,0.7959321412147939,0.1692886600305617,34.16554886780825,0.0749977079477532,0.0974476197421738,0.9025523802578272,0.1023478720726456,0.0072461930109611,6.214972015638591,0.0707996449503125,0.9292003550496876,0.0873657728058682,0.0498970071144525,0.0390102992885547,7,30.71289050691399
1199.0500000000002,1.7198570108557742,0.2612176261408002,52.71592489642859,0.1970664236143791,0.4224678669183408,0.5775321330816598,0.1185768085914216,0.0108685147046961,6.004861768554575,0.0916580118328629,0.9083419881671372,0.0896223168810197,0.0559438022960093,0.038405619770399,8,63.17902263829443
1199.0500000000002,1.737158443075813,0.26284107307981,53.043999681913746,0.1999920037494924,0.4300499684592016,0.5699500315407977,0.1188988400762981,0.0109836779178387,6.001413964025676,0.0923783422261,0.9076216577739,0.0895976270497932,0.0562782399054141,0.0383721760094586,9,63.982959371878366
1199.0500000000002,1.7317958925236314,0.2642275549177436,53.33415159491867,0.2010310208628852,0.4277167241000127,0.5722832758999874,0.1191644060507395,0.0113140920239301,6.002494766219843,0.0949452304827143,0.9050547695172858,0.0885216807858966,0.0569530932015362,0.0383046906798459,10,64.64998812836988
1199.0500000000002,1.7223463057702546,0.2647668275883809,53.442511404792775,0.2008917502689724,0.4235894171960955,0.5764105828039059,0.1192566845358729,0.0115197606193719,6.004384601391651,0.0965963512559508,0.9034036487440492,0.0877437771448641,0.0573207283052241,0.0382679271694774,11,64.88261497350281
1199.0500000000002,1.7123846622198808,0.265293945694014,53.5439600598875,0.2006990846451573,0.4192471208486273,0.5807528791513724,0.119342289792147,0.0117248252891408,6.006375591616566,0.0982453514096597,0.9017546485903404,0.0869657257771378,0.0576863477492159,0.0382313652250785,12,65.09880754744921
1199.0500000000002,1.7022109893203492,0.2657380772194123,53.6428233796756,0.2004020816652331,0.4148222860591274,0.5851777139408728,0.1194242351955145,0.0119288266624602,6.0084098577824285,0.0998861465436052,0.9001138534563948,0.0861911132382128,0.0580546399545319,0.0381945360045464,13,65.30610595284054
1199.0500000000002,0.5237786512472581,0.0804492158286572,16.229694106656254,0.0273179761375129,0.0456778051527388,0.9543221948472616,0.0959663364525413,0.0061937872773481,6.303790847080113,0.0645412495979345,0.9354587504020656,0.0872242644464975,0.0483795739704188,0.0391620426029582,14,22.32469256484253
1199.0500000000002,1.714035761904818,0.1609171191495298,32.47615020473262,0.1066579612118638,0.4198580438087146,0.5801419561912857,0.1184948405838779,0.0108540390635987,6.005986641328679,0.0915992543271173,0.9084007456728824,0.0895374170188001,0.0557886192195598,0.0384211380780445,15,62.97526318683914
1199.0500000000002,1.7406192696400804,0.1624860742877779,32.79539663969094,0.1089564812740582,0.4315138653801973,0.5684861346198031,0.1189596554167922,0.0110012765943331,6.0006936862923475,0.0924790555494559,0.907520944450544,0.0895835486074756,0.0562269238487008,0.0383773076151299,16,64.13538918961937
1199.0500000000002,1.736910985990883,0.1635147565877424,32.99763789220749,0.1096326144903852,0.4299074236267658,0.570092576373235,0.1192481007290333,0.0113348040374325,6.001445055139987,0.0950522810951157,0.9049477189048842,0.0885359537193088,0.0569354792291875,0.0383064520770822,17,64.8609575131928
1199.0500000000002,1.7275331435467698,0.1638215890993858,33.06524151846726,0.1095021050445045,0.4258059484001409,0.5741940515998595,0.1193410687508356,0.0115403270715599,6.00332097201207,0.0967003830311114,0.9032996169688886,0.087758505543583,0.0573036460681663,0.0382696353931833,18,65.09572123739052
