time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,ATP_made,idx
1199.0500000000002,1.055196944040887,0.5251334008078767,106.00448987520426,0.4657273285426265,0.16738415024529935,0.8326158497547009,0.10743222915977416,0.008239686478231758,6.146790955307626,0.07669659711685213,0.9233034028831477,0.08770695448888302,0.05135370552414973,0.03886462944758504,46672.13876342614,0
1199.0500000000002,1.6374117419153784,0.5660338419721265,114.26798366141448,0.7049278157453489,0.3876991640968045,0.6123008359031946,0.1171642522660055,0.010471424737951934,6.021786207865773,0.08937388780118041,0.9106261121988195,0.08949708569206073,0.05562752498046031,0.038437247501954035,74457.36349112047,1
1199.0500000000002,1.6469385711916704,0.566361368985335,114.33071144824935,0.7084182191104287,0.39181273602974137,0.6081872639702592,0.11735966620787278,0.010553651146396888,6.019899748975403,0.08992570760827133,0.9100742923917287,0.08943000518829805,0.05589335601492259,0.0384106643985074,75240.01255179406,2
1199.0500000000002,1.6381575483965036,0.5677913186349861,114.62118388966253,0.7101926498522062,0.38810433713369685,0.6118956628663028,0.11756759481472356,0.010868469461179166,6.021681244107594,0.09244443125169095,0.907555568748309,0.08834709882884675,0.05655046502225962,0.03834495349777404,76129.189386449,3
1199.0500000000002,1.628206501265542,0.5687500039647952,114.81327477230566,0.7102839327419516,0.3838784276756706,0.6161215723243304,0.1176501109099503,0.01107103883083774,6.02368213201479,0.09410138800257419,0.9058986119974259,0.08757926387721193,0.05692668896219514,0.03830733110378038,76483.49713850903,4
1199.0500000000002,1.6178923942827808,0.569711658397925,115.00570742458342,0.7102766566160326,0.37950966524702945,0.6204903347529707,0.11772771341289723,0.011273121819169191,6.025756806771198,0.09575588663566716,0.904244113364333,0.08681329137295517,0.057303331307447844,0.038269666869254725,76816.87100149447,5
1199.0500000000002,1.6074379887332313,0.5706551647571095,115.19854642112516,0.7101689622024464,0.3750948472518854,0.6249051527481136,0.11780218955818722,0.011473967551638263,6.0278629665575165,0.09740029058401697,0.902599709415983,0.08605219799894313,0.05768427464042577,0.038231572535957214,77141.99426612639,6
1199.0500000000002,0.7959321412147939,0.1692886600305617,34.16554886780825,0.0749977079477532,0.09744761974217382,0.9025523802578272,0.10234787207264569,0.0072461930109611866,6.214972015638591,0.0707996449503125,0.9292003550496875,0.08736577280586828,0.0498970071144525,0.039010299288554706,36793.3484319703,7
1199.0500000000002,1.7198570108557742,0.26121762614080024,52.71592489642859,0.19706642361437915,0.4224678669183408,0.5775321330816598,0.11857680859142165,0.010868514704696132,6.004861768554575,0.0916580118328629,0.9083419881671372,0.08962231688101976,0.05594380229600939,0.038405619770399094,77304.95697987033,8
1199.0500000000002,1.7371584430758127,0.26284107307981,53.043999681913746,0.19999200374949244,0.4300499684592016,0.5699500315407977,0.11889884007629814,0.010983677917838757,6.001413964025676,0.09237834222610007,0.9076216577739,0.0895976270497932,0.056278239905414106,0.03837217600945862,78473.57792257084,9
1199.0500000000002,1.7317958925236314,0.2642275549177436,53.33415159491867,0.20103102086288524,0.4277167241000127,0.5722832758999874,0.11916440605073955,0.011314092023930179,6.002494766219843,0.09494523048271436,0.9050547695172858,0.08852168078589669,0.0569530932015362,0.03830469067984592,79531.87697261761,10
1199.0500000000002,1.7223463057702546,0.26476682758838094,53.442511404792775,0.20089175026897244,0.4235894171960955,0.5764105828039059,0.11925668453587294,0.011519760619371964,6.004384601391651,0.0965963512559508,0.9034036487440493,0.08774377714486417,0.057320728305224146,0.03826792716947742,79913.5694481477,11
1199.0500000000002,1.7123846622198808,0.26529394569401404,53.5439600598875,0.2006990846451573,0.4192471208486273,0.5807528791513724,0.119342289792147,0.011724825289140879,6.006375591616566,0.09824535140965977,0.9017546485903404,0.08696572577713782,0.05768634774921595,0.03823136522507854,80268.17364071489,12
1199.0500000000002,1.7022109893203492,0.26573807721941234,53.6428233796756,0.20040208166523316,0.4148222860591274,0.5851777139408728,0.11942423519551451,0.011928826662460262,6.0084098577824285,0.09988614654360525,0.9001138534563948,0.0861911132382128,0.05805463995453192,0.03819453600454649,80612.83200334667,13
1199.0500000000002,0.5237786512472581,0.08044921582865722,16.229694106656254,0.02731797613751294,0.045677805152738886,0.9543221948472616,0.09596633645254138,0.006193787277348134,6.303790847080113,0.06454124959793453,0.9354587504020655,0.08722426444649756,0.04837957397041885,0.039162042602958205,26801.88348407053,14
1199.0500000000002,1.714035761904818,0.1609171191495298,32.47615020473262,0.10665796121186381,0.4198580438087146,0.5801419561912857,0.11849484058387798,0.010854039063598702,6.005986641328679,0.09159925432711738,0.9084007456728825,0.08953741701880019,0.05578861921955989,0.03842113807804455,76842.85787264982,15
1199.0500000000002,1.7406192696400804,0.16248607428777798,32.79539663969094,0.10895648127405828,0.43151386538019737,0.5684861346198031,0.11895965541679228,0.011001276594333111,6.0006936862923475,0.09247905554945597,0.907520944450544,0.08958354860747562,0.05622692384870083,0.03837730761512991,78535.95588072919,16
1199.0500000000002,1.736910985990883,0.16351475658774248,32.99763789220749,0.1096326144903852,0.4299074236267658,0.570092576373235,0.11924810072903332,0.011334804037432578,6.001445055139987,0.09505228109511576,0.9049477189048842,0.08853595371930889,0.05693547922918759,0.03830645207708224,79694.9366578045,17
1199.0500000000002,1.7275331435467698,0.16382158909938588,33.06524151846726,0.1095021050445045,0.42580594840014097,0.5741940515998595,0.11934106875083561,0.0115403270715599,6.00332097201207,0.09670038303111142,0.9032996169688886,0.08775850554358301,0.05730364606816631,0.03826963539318339,80083.5786600413,18
