time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,ATP_made,idx,v_ATP_made
1199.0500000000002,0.108011463984696,0.7373740680825269,29.771305414943868,0.6374919260311083,0.0044449624864752,0.9955550375135246,0.077719610234214,0.0040723393431888,6.572545485149581,0.0523978353573895,0.9476021646426104,0.0883873040080578,0.0456071009435289,0.0394392899056471,10099.604415362332,0,8.420526208382672
1199.0500000000002,0.8246861333751297,0.7231288133677821,29.19631004366322,0.9765764656484114,0.1128297531373299,0.8871702468626703,0.1026318962034247,0.0072027490622431,6.209514214313641,0.0701804149347941,0.929819585065206,0.0881216491867384,0.0515609507157987,0.0388439049284201,40629.14194193496,1,31.14033791428932
1199.0500000000002,0.829229972567694,0.7226648312080274,29.17746526497009,0.9767433481702914,0.1143621116019052,0.8856378883980949,0.1026973817794668,0.0072003287051118,6.208382448760749,0.0701120955880003,0.9298879044119998,0.0883075903005604,0.0520731397402533,0.0387926860259751,41390.19248728077,2,31.239577308856006
1199.0500000000002,0.8187123637684472,0.7238230199912541,29.224267180818345,0.9767628026653956,0.1120641470070515,0.8879358529929473,0.1027739229994318,0.0074575530120768,6.211393833544085,0.0725626965724356,0.9274373034275644,0.0874541340638477,0.0529401327742468,0.0387059867225753,42080.748928636174,3,31.355897339017776
1199.0500000000002,0.8098768709775725,0.7247923174388599,29.26342009439358,0.9767473381265986,0.1100339187346827,0.8899660812653176,0.1028181461524116,0.0076522859957483,6.213902330722279,0.0744254421062709,0.9255745578937288,0.086749988584616,0.053372510873817,0.0386627489126182,42325.32512844883,4,31.42326402544404
1199.0500000000002,0.8009098700096908,0.72577797576093,29.303248558181373,0.9767279349823969,0.1079939246439298,0.892006075356071,0.1028619052659233,0.0078497685134544,6.21646438745885,0.0763136604520693,0.9236863395479304,0.086036350033831,0.0537943858694933,0.0386205614130507,42548.04768801328,5,31.49003968580375
1199.0500000000002,0.7919000474920617,0.7267738903200546,29.343372316537476,0.9767222434724788,0.1059569024139427,0.8940430975860574,0.1029062232262409,0.0080493551600741,6.219052198897221,0.078220294694529,0.9217797053054712,0.0853215482145305,0.0542146181346551,0.0385785381865345,42762.27665297236,6,31.557785693661742
1199.0500000000002,0.0643418570944454,0.2194448258854509,8.859647168366815,0.0613173059955835,0.0021629880548588,0.9978370119451416,0.072587964155042,0.003666769307445,6.651313419206716,0.0505148387896303,0.94948516121037,0.0888766849674467,0.0449742443390391,0.0395025755660961,7594.05828380087,7,6.335051200434938
1199.0500000000002,0.934944201751744,0.6253355449655567,25.24769224083235,0.6617885517228629,0.1350472969050165,0.8649527030949843,0.1050025222905344,0.007674581250556,6.177867649333693,0.0730894942012451,0.9269105057987548,0.0879665771168108,0.0510929081689777,0.0388907091831021,40658.08916537021,8,34.898985286627536
1199.0500000000002,1.5806612945849987,0.6172681992460091,24.92211895110718,0.8528851271621114,0.3662352574645915,0.6337647425354083,0.1160030770038492,0.0100697913000575,6.034445238270137,0.0868062430410115,0.9131937569589882,0.0898602423886411,0.05573301716921,0.0384266982830788,69433.46257975828,9,56.956665006606904
1199.0500000000002,1.59167485126337,0.6172958574501237,24.923014998963325,0.8566252993974912,0.3712986377832452,0.6287013622167549,0.1164450889863569,0.0103922830182099,6.032453233864216,0.089246210644026,0.910753789355974,0.0891365458979891,0.0568198200804943,0.0383180179919504,71949.80927193309,10,57.99882190835819
1199.0500000000002,1.581988664098273,0.6181790110343673,24.95879267542684,0.8566214956203753,0.3672992276209689,0.6327007723790314,0.1165260258181962,0.0105917436429186,6.03442863041204,0.0908959483059828,0.9091040516940174,0.0883780824310635,0.057204828087899,0.0382795171912111,72322.45083405385,11,58.19086884042448
1199.0500000000002,1.5717272201783064,0.6191159590719082,24.996047072091976,0.8566123553956126,0.3630679441181599,0.6369320558818401,0.1166041571437239,0.01079518788609,6.036517179039436,0.0925797806845303,0.9074202193154696,0.0876056147204724,0.0575736892153622,0.0382426310784639,72654.05417726535,12,58.3766140904294
1199.0500000000002,1.5612470844355797,0.6200407659018285,25.033952852640375,0.8564754076395553,0.3587586918167519,0.6412413081832478,0.1166774125047658,0.0109967456694401,6.03865555274457,0.0942491387733402,0.9057508612266598,0.0868307195169518,0.0579392879855259,0.038206071201447,72971.1532903248,13,58.55108364612875
1199.0500000000002,0.0342790861069942,0.0964255396139327,3.892295249097,0.0226175783030129,0.0009148408966072,0.9990851591033928,0.0665499192900169,0.003248326480764,6.744973453179119,0.0488103744561741,0.9511896255438256,0.0895682629546321,0.0443399530070474,0.0395660046992952,5407.403603975933,14,4.517070013333413
1199.0500000000002,0.57118455574104,0.3719106730407986,15.015500304660415,0.190644646104645,0.0560289621236827,0.9439710378763164,0.0970584845892264,0.0062933723914964,6.287248130037832,0.0648410328834523,0.9351589671165478,0.0875986048445009,0.0489994096324559,0.0391000590367544,28030.338868999603,15,23.602333874252526
1199.0500000000002,1.353704092324135,0.4988998407202163,20.143001114668216,0.4801985750747597,0.2717561258225454,0.7282438741774552,0.1125042229593362,0.0092823696627838,6.079635778390794,0.0825068554640032,0.9174931445359966,0.0888314965337219,0.0535937713999074,0.0386406228600092,56406.89161736578,16,49.11819891999189
1199.0500000000002,1.754774251800335,0.5203522829421057,21.009157046879228,0.6124085941645695,0.4392066308626837,0.5607933691373171,0.1192074218828866,0.0111293805652491,5.998699311372708,0.0933614735288275,0.9066385264711722,0.0895769686088897,0.0574337921103639,0.0382566207889639,77121.00838279355,17,64.75837350074954
