idx,LIGHT,ratio_absorb,CO2,叶片数,CO2_sum
108,2000,0.3,15.6990278,1,15.6990278
109,1400,0.3,15.58851352,2,31.28754132
110,980,0.3,14.87050521,3,46.15804653
111,686,0.3,12.93955048,4,59.09759701
112,480.2,0.3,10.05744305,5,69.15504006
113,336.14,0.3,7.531643691,6,76.68668375
114,235.298,0.3,5.526601064,7,82.21328482
115,164.7086,0.3,3.996140209,8,86.20942502
116,115.29602,0.3,2.860195315,9,89.06962034
117,80.707214,0.3,2.03382188,10,91.10344222
118,56.4950498,0.3,1.440494132,11,92.54393635
119,39.54653486,0.3,1.017915804,12,93.56185216
120,27.6825744,0.3,0.718386766,13,94.28023892
121,19.37780208,0.3,0.506667137,14,94.78690606
122,13.56446146,0.3,0.357249336,15,95.14415539
123,9.49512302,0.3,0.251886278,16,95.39604167
124,6.646586114,0.3,0.177615528,17,95.5736572
125,4.65261028,0.3,0.12526508,18,95.69892228
126,3.256827196,0.3,0.088361353,19,95.78728363
127,2.279779037,0.3,0.062340638,20,95.84962427
128,1.595845326,0.3,0.043988773,21,95.89361304
129,1.117091728,0.3,0.031041885,22,95.92465493
130,2000,0.4,15.5599872,1,15.5599872
131,1200,0.4,15.62445097,2,31.18443817
132,720,0.4,14.70401393,3,45.8884521
133,432,0.4,11.4211162,4,57.3095683
134,259.2,0.4,7.65441292,5,64.96398122
135,155.52,0.4,4.908603613,6,69.87258483
136,93.312,0.4,3.063014999,7,72.93559983
137,55.9872,0.4,1.881733686,8,74.81733352
138,33.59232,0.4,1.147037425,9,75.96437094
139,20.155392,0.4,0.696704868,10,76.66107581
140,12.0932352,0.4,0.422569363,11,77.08364517
141,7.25594112,0.4,0.256204199,12,77.33984937
142,4.353564672,0.4,0.155358314,13,77.49520769
143,2.612138803,0.4,0.094239184,14,77.58944687
144,1.567283282,0.4,0.05718546,15,77.64663233
145,2000,0.5,15.46641043,1,15.46641043
146,1000,0.5,15.58630135,2,31.05271178
147,500,0.5,13.98306565,3,45.03577743
148,250,0.5,8.846377195,4,53.88215463
149,125,0.5,4.902083238,5,58.78423786
150,62.5,0.5,2.580054079,6,61.36429194
151,31.25,0.5,1.325176394,7,62.68946834
152,15.625,0.5,0.674370675,8,63.36383901
153,7.8125,0.5,0.342196422,9,63.70603543
154,3.90625,0.5,0.173575124,10,63.87961056
155,1.953125,0.5,0.088088148,11,63.96769871
156,2000,0.6,15.41791987,1,15.41791987
157,800,0.6,15.50666178,2,30.92458165
158,320,0.6,12.0509754,3,42.97555705
159,128,0.6,5.842720966,4,48.81827802
160,51.2,0.6,2.529015697,5,51.34729371
161,20.48,0.6,1.046713224,6,52.39400694
162,8.192,0.6,0.427753481,7,52.82176042
163,3.2768,0.6,0.174420459,8,52.99618088
164,1.31072,0.6,0.071170125,9,53.067351
165,2000,0.7,15.39528096,1,15.39528096
166,600,0.7,15.31321251,2,30.70849347
167,180,0.7,8.745942658,3,39.45443613
168,54,0.7,3.060166163,4,42.51460229
169,16.2,0.7,0.965586916,5,43.48018921
170,4.86,0.7,0.297793309,6,43.77798252
171,1.458,0.7,0.091673688,7,43.8696562
172,2000,0.8,15.39163227,1,15.39163227
173,400,0.8,14.65650445,2,30.04813672
174,80,0.8,4.910967877,3,34.9591046
175,16,0.8,1.083065017,4,36.04216961
176,3.2,0.8,0.224978611,5,36.26714823
177,2000,0.9,15.39248596,1,15.39248596
178,200,0.9,11.19060062,2,26.58308658
179,20,0.9,1.50040713,3,28.08349371
180,2,0.9,0.159041469,4,28.24253518
