time/s,kea3_dNPQ,kea3_dLEF,WT_NPQ,WT_LEF
190.70000000000002,0.17940776505298128,-0.26183156382705874,0.8397487798549257,98.11080794868855
190.8,0.1794706841967164,-0.2621360237808261,0.8399501507759712,98.1339481375607
190.9,0.17953360870925816,-0.26244067585554376,0.8401514392931854,98.15707384372794
191.0,0.1795965386134375,-0.2627455204044935,0.8403526453233139,98.18018507612791
191.10000000000002,0.17965947393291992,-0.26305055779083375,0.8405537687831023,98.2032818436936
191.20000000000002,0.17972241469220385,-0.26335578838748575,0.8407548095892963,98.22636415535331
191.3,0.17978536091662267,-0.2636612125772899,0.8409557676586414,98.24943202003074
191.4,0.17984831263234358,-0.2639668307529348,0.8411566429078836,98.27248544664496
191.5,0.17991126986636718,-0.26427264331701394,0.8413574352537683,98.29552444411034
191.60000000000002,0.179974232646529,-0.26457865068194053,0.8415581446130411,98.3185490213366
191.70000000000002,0.18003720100149767,-0.2648848532702033,0.8417587709024479,98.34155918722878
191.8,0.18010017496077668,-0.2651912515142101,0.841959314038734,98.36455495068735
191.9,0.18016315455470244,-0.2654978458562596,0.8421597739386455,98.38753632060794
192.0,0.1802261398144468,-0.26580463674878274,0.8423601505189277,98.41050330588166
192.10000000000002,0.18028913077201447,-0.2661116246541013,0.8425604436963263,98.43345591539489
192.20000000000002,0.18035212746024443,-0.26641881004461254,0.8427606533875871,98.45639415802921
192.3,0.18041512991280972,-0.26672619340278914,0.8429607795094557,98.47931804266166
192.4,0.18047813816421765,-0.2670337752211793,0.8431608219786776,98.50222757816454
192.5,0.18054115224980904,-0.26734155600242104,0.8433607807119987,98.5251227734054
192.60000000000002,0.1806041722057593,-0.2676495362591993,0.8435606556261644,98.5480036372471
192.70000000000002,0.18066719806907705,-0.2679577165144309,0.8437604466379207,98.57087017854782
192.8,0.18073022987760567,-0.2682660973011366,0.8439601536640129,98.59372240616099
192.9,0.18079326767002213,-0.2685746791624837,0.8441597766211868,98.61656032893535
193.0,0.1808563114858378,-0.26888346265188545,0.844359315426188,98.63938395571488
193.10000000000002,0.18091936136539732,-0.2691924483329444,0.8445587699957623,98.66219329533884
193.20000000000002,0.18098241734988008,-0.26950163677942385,0.8447581402466552,98.68498835664177
193.3,0.18104547948129923,-0.2698110285754609,0.8449574260956123,98.70776914845347
193.4,0.18110854780250174,-0.27012062431532513,0.8451566274593795,98.73053567959897
193.5,0.18117162235716833,-0.27043042460364575,0.8453557442547023,98.75328795889858
193.60000000000002,0.18123470318981483,-0.27074043005531223,0.8455547763983263,98.77602599516786
193.70000000000002,0.18129779034578986,-0.2710506412956022,0.8457537238069973,98.79874979721758
193.8,0.18136088387127658,-0.27136105896002505,0.8459525863974608,98.82145937385374
193.9,0.1814239838132924,-0.27167168369457784,0.8461513640864625,98.84415473387766
194.0,0.181487090219688,-0.27198251615551783,0.8463500567907482,98.86683588608582
194.10000000000002,0.18155020313914882,-0.27229355700949043,0.8465486644270633,98.8895028392699
194.20000000000002,0.18161332262119356,-0.2726048069336571,0.8467471869121537,98.91215560221686
194.3,0.1816764445713317,-0.27291628811320834,0.8469456283076091,98.93479420520654
194.4,0.18173955344069204,-0.2732280817407826,0.8471440041302329,98.95741873751102
194.5,0.1818026676169262,-0.2735400930904035,0.847342295961141,98.98002911246843
194.60000000000002,0.18186578712535273,-0.27385232296111894,0.847540503744615,99.00262533892669
194.70000000000002,0.18192891199212546,-0.2741647721609297,0.8477386274249361,99.0252074257274
194.8,0.1819920422442315,-0.2744774415070168,0.8479366669463858,99.04777538170597
194.9,0.1820551779094921,-0.274790331825443,0.8481346222532458,99.07032921569143
195.0,0.18211831901656317,-0.2751034439514939,0.8483324932897971,99.09286893650656
195.10000000000002,0.1821814655949332,-0.2754167787294506,0.8485302800003216,99.11539455296787
195.20000000000002,0.18224461767492628,-0.2757303370127886,0.8487279823291004,99.1379060738856
195.3,0.18230777528769926,-0.2760441196640784,0.8489256002204152,99.16040350806367
195.4,0.18237093846524388,-0.27635812755501377,0.8491231336185472,99.18288686429968
195.5,0.18243410373723612,-0.2766721583987817,0.8493205824677779,99.20535615138506
195.60000000000002,0.1824972680366097,-0.27698603351714723,0.8495179467123888,99.22781137810489
195.70000000000002,0.18256043727397664,-0.2773000947534001,0.8497152262966614,99.25025255323794
195.8,0.1826236114613078,-0.27761434170419363,0.849912421164877,99.27267968555675
195.9,0.18268679061110438,-0.27792877395958726,0.850109531261317,99.29509278382758
196.0,0.18274997473639754,-0.27824339110308927,0.8503065565302631,99.3174918568104
196.10000000000002,0.18281316385074875,-0.27855819271157145,0.8505034969159965,99.33987691325889
196.20000000000002,0.18287635796824908,-0.27887317835551073,0.8507003523627987,99.36224796192046
196.3,0.1829395571035206,-0.27918834759900335,0.8508971228149511,99.38460501153622
196.4,0.18300276127171455,-0.2795036999996512,0.8510938082167353,99.40694807084105
196.5,0.18306597048851314,-0.27981923510880335,0.8512904085124327,99.42927714856353
196.60000000000002,0.1831291847701284,-0.2801349524714709,0.8514869236463245,99.45159225342596
196.70000000000002,0.1831924041333024,-0.28045085162641215,0.8516833535626924,99.47389339414433
196.8,0.1832556285953073,-0.2807669321061752,0.8518796982058177,99.49618057942843
196.9,0.18331885817394578,-0.281083193437226,0.8520759575199819,99.51845381798172
197.0,0.18338209288754992,-0.2813996351397776,0.8522721314494665,99.5407131185014
197.10000000000002,0.18344533275498287,-0.28171625672807465,0.8524682199385528,99.5629584896784
197.20000000000002,0.18350857779563745,-0.2820330577103505,0.8526642229315223,99.58518994019741
197.3,0.1835718280294364,-0.282350037588742,0.8528601403726565,99.60740747873676
197.4,0.18363508347683288,-0.2826671958595455,0.8530559722062366,99.62961111396858
