ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx
0.1,0.07,0.27777778,3.4,0.1,1199.05,1.55437325,0.626316801,25.28751425,0.877313929,0.35611782,0.64388218,0.115751979,0.010160648,6.040144483,0.087779478,0.912220522,0.089257917,0.0565123,0.03834877,23
0.1,0.07,0.27777778,4.5,0.1,1199.05,1.549325992,0.62680025,25.30659521,0.877391413,0.354066352,0.645933648,0.115799726,0.010270523,6.041179949,0.088692118,0.911307882,0.088851477,0.056735843,0.038326416,24
0.1,0.07,0.27777778,5.6,0.1,1199.05,1.543894371,0.627296067,25.32669608,0.877380241,0.351857345,0.648142655,0.115842412,0.010380082,6.042294497,0.089605195,0.910394805,0.088433812,0.056946702,0.03830533,25
0.1,0.07,0.27777778,6.7,0.1,1199.05,1.53827777,0.627804069,25.3473174,0.877347886,0.349572428,0.650427572,0.115883538,0.01049027,6.04344553,0.090524246,0.909475754,0.088011467,0.0571522,0.03828478,26
0.1,0.07,0.27777778,7.8,0.1,1199.05,1.532565409,0.628319103,25.36822482,0.877305543,0.347254364,0.652745636,0.115923907,0.010600969,6.044617696,0.091447648,0.908552352,0.087586965,0.05735515,0.038264485,27
0.1,0.07,0.27777778,8.9,0.1,1199.05,1.526787435,0.628848441,25.38934549,0.877290841,0.344911095,0.655088905,0.115965003,0.010713086,6.045801376,0.092382057,0.907617943,0.087161929,0.057557326,0.038244267,28
0.1,0.07,0.27777778,10,0.1,1199.05,1.520970052,0.629369419,25.41060758,0.877227529,0.342557734,0.657442266,0.116004337,0.010824123,6.046996432,0.093307916,0.906692084,0.086736837,0.057759274,0.038224073,29
0.1,0.07,0.36666667,0.1,0.1,1199.05,0.053396873,0.163910365,6.61742274,0.042318064,0.001673773,0.998326227,0.07078192,0.003535727,6.679230113,0.049952404,0.950047596,0.089072386,0.044773962,0.039522604,30
0.1,0.07,0.36666667,1.2,0.1,1199.05,1.666065587,0.587538897,23.72122552,0.778224059,0.40155522,0.59844478,0.117444493,0.010457509,6.0168836,0.089042141,0.910957859,0.090065345,0.056215688,0.038378431,31
0.1,0.07,0.36666667,2.3,0.1,1199.05,1.681968349,0.587435163,23.7174022,0.782531015,0.408662118,0.591337882,0.117771714,0.010602736,6.013850372,0.090027866,0.909972134,0.089934405,0.056789228,0.038321077,32
0.1,0.07,0.36666667,3.4,0.1,1199.05,1.679107923,0.587839199,23.73325246,0.783000921,0.407471876,0.592528124,0.117846624,0.010713163,6.014442308,0.090907675,0.909092325,0.089566142,0.057058505,0.03829415,33
0.1,0.07,0.36666667,4.5,0.1,1199.05,1.674514655,0.588270227,23.75137107,0.783050472,0.405524423,0.594475577,0.117898723,0.010821322,6.015376646,0.091784892,0.908215108,0.089160715,0.057284422,0.038271558,34
0.1,0.07,0.36666667,5.6,0.1,1199.05,1.669372287,0.588750749,23.7703047,0.783097236,0.403339663,0.596660337,0.11794787,0.010932795,6.016415416,0.092691751,0.907308249,0.088742023,0.057495122,0.038250488,35
0.1,0.07,0.36666667,6.7,0.1,1199.05,1.663980781,0.589234155,23.78964945,0.783077735,0.401049555,0.598950445,0.117993988,0.011044234,6.017504101,0.093599968,0.906400032,0.088317495,0.057699102,0.03823009,36
0.1,0.07,0.36666667,7.8,0.1,1199.05,1.658452684,0.589729701,23.80924592,0.783054691,0.398703523,0.601296477,0.118039495,0.011156647,6.018619199,0.094516216,0.905483784,0.087890286,0.057899915,0.038210008,37
