ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx,v_ATP_made,Phi2*PSII_antenna_size*ratio_absorb*100,NADPH,2NADPH,3_v_ATP_made,CO2
0.1,0.07,0.18888889,6.7,0.1,1199.05,1.288300694,0.667224245,26.93891831,0.940185213,0.253853104,0.746146896,0.111706798,0.009489097,6.096371654,0.084946463,0.915053537,0.087419335,0.055946779,0.038405322,16,47.43716284357944,1.2603124701913806,0.6301562350956903,0.3150781175478451,15.81238761452648,0.3150781175478451
0.1,0.07,0.18888889,7.8,0.1,1199.05,1.282540818,0.667775592,26.96131886,0.94015127,0.25178819,0.74821181,0.111740815,0.009599013,6.097636644,0.085904272,0.914095728,0.087002018,0.056155808,0.038384419,17,47.508057352285235,1.261353903419729,0.6306769517098645,0.3153384758549322,15.836019117428412,0.3153384758549322
0.1,0.07,0.18888889,8.9,0.1,1199.05,1.276745773,0.668337179,26.98387931,0.940142209,0.249716826,0.750283174,0.111775696,0.009710315,6.098910303,0.086873219,0.913126781,0.08658441,0.056364358,0.038363564,18,47.58082822509131,1.2624146788704134,0.6312073394352067,0.3156036697176033,15.860276075030436,0.3156036697176033
0.1,0.07,0.18888889,10.0,0.1,1199.05,1.270929073,0.668895,27.00655242,0.940104125,0.247645067,0.752354933,0.111809332,0.009820894,6.100192694,0.087836083,0.912163917,0.086167073,0.056573046,0.038342695,19,47.65107428292452,1.2634683407655,0.63173417038275,0.315867085191375,15.883691427641509,0.315867085191375
0.1,0.07,0.27777778,0.1,0.1,1199.05,0.068193335,0.243716193,9.839651097,0.070539054,0.002343768,0.997656232,0.073154875,0.003709054,6.642569648,0.050701397,0.949298603,0.08881748,0.045039226,0.039496077,20,6.538329578175173,0.6769894304159154,0.3384947152079577,0.1692473576039788,2.1794431927250577,0.1692473576039788
0.1,0.07,0.27777778,1.2,0.1,1199.05,1.554520476,0.625962581,25.27321323,0.876037884,0.355989682,0.644010318,0.115543827,0.009945235,6.040023467,0.086073268,0.913926732,0.089863373,0.055819755,0.038418025,21,55.88589068916683,1.738784961132502,0.869392480566251,0.4346962402831255,18.628630229722276,0.4346962402831255
0.1,0.07,0.27777778,2.3,0.1,1199.05,1.558305493,0.625929701,25.27125221,0.877212756,0.357699173,0.642300827,0.115696462,0.010055977,6.039325254,0.086916887,0.913083113,0.089633867,0.056254046,0.038374595,22,56.240400451031086,1.7386936277984375,0.8693468138992188,0.4346734069496094,18.746800150343695,0.4346734069496094
0.1,0.07,0.27777778,3.4,0.1,1199.05,1.55437325,0.626316801,25.28751425,0.877313929,0.35611782,0.64388218,0.115751979,0.010160648,6.040144483,0.087779478,0.912220522,0.089257917,0.0565123,0.03834877,23,56.36968313564321,1.7397689055848178,0.8698844527924089,0.4349422263962044,18.789894378547736,0.4349422263962044
0.1,0.07,0.27777778,4.5,0.1,1199.05,1.549325992,0.62680025,25.30659521,0.877391413,0.354066352,0.645933648,0.115799726,0.010270523,6.041179949,0.088692118,0.911307882,0.088851477,0.056735843,0.038326416,24,56.48101608391733,1.7411118194844497,0.8705559097422249,0.4352779548711124,18.827005361305776,0.4352779548711124
0.1,0.07,0.27777778,5.6,0.1,1199.05,1.543894371,0.627296067,25.32669608,0.877380241,0.351857345,0.648142655,0.115842412,0.010380082,6.042294497,0.089605195,0.910394805,0.088433812,0.056946702,0.03830533,25,56.58066098115864,1.7424890889399125,0.8712445444699563,0.4356222722349781,18.86022032705288,0.4356222722349781
