time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx,LIGHT,ratio_absorb
1199.0500000000002,0.288781502529161,0.6513498419361954,131.49122474814027,0.4933827006212244,0.0171146811751528,0.982885318824847,0.08839772542498195,0.005188783743470395,6.413184305308141,0.05869815901400145,0.9413018409859986,0.08721508811826736,0.046739904122892785,0.03932600958771072,0,500.0,0.1
1199.0500000000002,0.2887484729572198,0.6510990414874908,118.29643283083176,0.4928255726397965,0.017108622702819237,0.9828913772971803,0.088397534164959,0.005189712667586178,6.413202975043786,0.05870879449330498,0.9412912055066951,0.08720939685095079,0.04673391251368123,0.039326608748631905,1,450.0,0.1
1199.0500000000002,0.28871142826317775,0.6508164299961317,106.42061350614817,0.4921988167531245,0.01710186443239458,0.9828981355676044,0.08839721216309182,0.005190653661413725,6.413224024972029,0.05871965341713255,0.9412803465828675,0.08720306872833924,0.04672724818474128,0.03932727518152589,2,405.0,0.1
1199.0500000000002,0.28867292554971247,0.6504994737149066,95.73179557605967,0.4914982750137689,0.017094824361913605,0.9829051756380849,0.0883969563930135,0.0051917037243755385,6.413245788856034,0.05873170224112193,0.941268297758878,0.08719657489473838,0.04672040205340293,0.039327959794659764,3,364.5,0.1
1199.0500000000002,0.28862846941021597,0.6501411680878029,86.11123040710132,0.4907075333950465,0.0170867102280987,0.9829132897719022,0.08839649394351748,0.005192759100462808,6.413271085949089,0.05874394863768245,0.9412560513623175,0.08718914575270412,0.04671256842057049,0.039328743157942984,4,328.05,0.1
1199.0500000000002,0.28857923817442366,0.6497383079511543,77.45201145329568,0.48982070563925617,0.017077744266428392,0.9829222557335712,0.08839609860530603,0.00519403699262758,6.413298973122027,0.058758667767826234,0.9412413322321737,0.08718098145540691,0.04670395419510208,0.039329604580489855,5,295.245,0.1
1199.0500000000002,0.28852500462824154,0.6492823726102304,69.65791690664702,0.4888200901345984,0.01706787923203289,0.9829321207679664,0.08839552837670969,0.005195316426041419,6.413329800822195,0.05877352078470589,0.9412264792152939,0.08717213615595096,0.04669461336393109,0.03933053866360693,6,265.7205,0.1
1199.0500000000002,0.2884656868161616,0.6487663306874862,62.642337072053955,0.487691512744608,0.017057106482558967,0.98294289351744,0.08839483682762087,0.005196649840775602,6.4133635502192465,0.058789065366822726,0.9412109346331775,0.08716263995960735,0.04668457405386527,0.03933154259461353,7,239.14845,0.1
1199.0500000000002,0.28839903813499684,0.6481829272506073,56.327320177815466,0.48641980272595686,0.017044997797005114,0.9829550022029938,0.08839418595889528,0.0051982648405870645,6.413401314694862,0.058807768627981635,0.9411922313720182,0.08715210805070527,0.04667343012865651,0.03933265698713438,8,215.233605,0.1
1199.0500000000002,0.28832787732917836,0.6475180632381987,50.642676736460494,0.4849775155162316,0.017032110574165038,0.9829678894258352,0.08839314568126747,0.005199659722972665,6.413441900695088,0.05882424120973358,0.9411757587902663,0.08714125684954463,0.0466619247461643,0.03933380752538361,9,193.7102445,0.1
1199.0500000000002,0.288246833462546,0.6467630899730846,45.52524824986074,0.4833463150248753,0.017017505955123337,0.9829824940448756,0.08839208553613517,0.005201364552533009,6.413487983606631,0.0588442338522027,0.9411557661477975,0.08712910756638197,0.046649028698404885,0.03933509713015953,10,174.3392201,0.1
1199.0500000000002,0.28815985332717986,0.6459022143481881,40.918147815341186,0.4814969058666838,0.017001815893151646,0.9829981841068479,0.08839084022375503,0.005203084965049936,6.4135374123549145,0.05886452656323139,0.9411354734367686,0.0871166144058735,0.04663573027357655,0.0393364269726424,11,156.905298,0.1
1199.0500000000002,0.2880560571353986,0.6449164807087937,36.77019291697117,0.47938882071477407,0.01698325838840377,0.983016741611596,0.08838912050298535,0.005204920650612003,6.413596669127112,0.05888644010721663,0.9411135598927833,0.08710196100073896,0.0466201208309211,0.039337987916907985,12,141.2147682,0.1
1199.0500000000002,0.28794487598544005,0.6437881190126282,33.035254691539485,0.4769930054590164,0.016963435996736324,0.9830365640032641,0.0883872120096846,0.005206812624130749,6.413660010240768,0.05890911711742791,0.9410908828825721,0.08708716666805329,0.04660429559442882,0.03933957044055713,13,127.0932914,0.1
1199.0500000000002,0.2878178492473896,0.6424910714045121,29.671830269590096,0.47425817142848536,0.0169409357637618,0.9830590642362376,0.0883848094264282,0.005208759480035009,6.413732500893445,0.0589327454996477,0.9410672545003523,0.08707104110528784,0.046586992277218284,0.039341300772278154,14,114.3839623,0.1
1199.0500000000002,0.2876731989086644,0.640997588397052,26.6425292844701,0.4711344532651361,0.016915496004409593,0.9830845039955907,0.08838195405542841,0.005210855416594962,6.413815022686109,0.05895836394512545,0.9410416360548746,0.08705371755632398,0.046568325413379325,0.03934316745866207,15,102.945566,0.1
1199.0500000000002,0.28750611029667683,0.6392700662121112,23.913678699128397,0.4675538786610735,0.016886409847428344,0.9831135901525707,0.08837816884230879,0.0052128101329306595,6.4139106881770305,0.05898300678520355,0.9410169932147964,0.08703501252819042,0.04654807069154972,0.03934519293084508,16,92.65100944,0.1
1199.0500000000002,0.2873130440995528,0.6372695680773924,21.454945475544196,0.46345069218833335,0.016853169792330182,0.9831468302076694,0.08837355227338364,0.005214828554584428,6.414021271353346,0.05900892765913314,0.9409910723408668,0.08701508915446834,0.04652635523220702,0.03934736447677932,17,83.3859085,0.1
