ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2,Phi2*PSII_antenna_size*100
0.1,1.0,0.5,6.0,88,0.696295495,34.81477475
0.1,1.0,0.5,8.0,89,0.6972456,34.86228
0.1,1.0,0.5,10.0,90,0.698244866,34.9122433
0.1,1.0,0.7,0.1,91,0.080385367,5.626975689999999
0.1,1.0,0.7,0.5,92,0.375400334,26.278023379999997
0.1,1.0,0.7,1.0,93,0.683930821,47.87515747
0.1,1.0,0.7,4.0,94,0.67289212,47.1024484
0.1,1.0,0.7,6.0,95,0.673633285,47.15432995
0.1,1.0,0.7,8.0,96,0.674537044,47.21759308
0.1,1.0,0.7,10.0,97,0.675519344,47.286354079999995
0.1,1.0,0.9,0.1,98,0.062557315,5.63015835
0.1,1.0,0.9,0.5,99,0.293226845,26.390416050000002
0.1,1.0,0.9,1.0,100,0.55486693,49.9380237
0.1,1.0,0.9,4.0,101,0.657763398,59.19870582000001
0.1,1.0,0.9,6.0,102,0.658414753,59.25732777
0.1,1.0,0.9,8.0,103,0.659353934,59.341854059999996
0.1,1.0,0.9,10.0,104,0.660335498,59.430194820000004
0.1,3.0,0.1,0.1,105,0.566269689,5.662696889999999
0.1,3.0,0.1,0.5,106,0.826947842,8.26947842
0.1,3.0,0.1,1.0,107,0.825315676,8.253156760000001
0.1,3.0,0.1,4.0,108,0.825465791,8.25465791
0.1,3.0,0.1,6.0,109,0.825568188,8.255681880000001
0.1,3.0,0.1,8.0,110,0.825667361,8.256673610000002
0.1,3.0,0.1,10.0,111,0.825763495,8.25763495
0.1,3.0,0.3,0.1,112,0.196461916,5.893857479999999
0.1,3.0,0.3,0.5,113,0.794139302,23.82417906
0.1,3.0,0.3,1.0,114,0.819616401,24.588492029999998
0.1,3.0,0.3,4.0,115,0.801399604,24.04198812
0.1,3.0,0.3,6.0,116,0.801846477,24.05539431
0.1,3.0,0.3,8.0,117,0.802311897,24.06935691
0.1,3.0,0.3,10.0,118,0.802798943,24.083968289999998
0.1,3.0,0.5,0.1,119,0.118345401,5.91727005
0.1,3.0,0.5,0.5,120,0.537791244,26.8895622
0.1,3.0,0.5,1.0,121,0.811378841,40.568942050000004
0.1,3.0,0.5,4.0,122,0.774284634,38.7142317
0.1,3.0,0.5,6.0,123,0.774904585,38.74522925
0.1,3.0,0.5,8.0,124,0.775571065,38.778553249999995
0.1,3.0,0.5,10.0,125,0.776294428,38.8147214
0.1,3.0,0.7,0.1,126,0.084659386,5.92615702
0.1,3.0,0.7,0.5,127,0.389528302,27.266981139999995
0.1,3.0,0.7,1.0,128,0.720270329,50.418923029999995
0.1,3.0,0.7,4.0,129,0.751576375,52.61034624999999
0.1,3.0,0.7,6.0,130,0.751892247,52.63245729
0.1,3.0,0.7,8.0,131,0.752644189,52.68509322999999
0.1,3.0,0.7,10.0,132,0.753477772,52.74344404
0.1,3.0,0.9,0.1,133,0.065897204,5.93074836
0.1,3.0,0.9,0.5,134,0.30451422,27.4062798
0.1,3.0,0.9,1.0,135,0.581593004,52.34337036000001
0.1,3.0,0.9,4.0,136,0.748672169,67.38049521
0.1,3.0,0.9,6.0,137,0.733232609,65.99093481
0.1,3.0,0.9,8.0,138,0.733987107,66.05883963
0.1,3.0,0.9,10.0,139,0.734861649,66.13754841000001
0.1,5.0,0.1,0.1,140,0.577955535,5.77955535
0.1,5.0,0.1,0.5,141,0.828541458,8.28541458
0.1,5.0,0.1,1.0,142,0.828132842,8.281328420000001
0.1,5.0,0.1,4.0,143,0.828196519,8.281965190000001
0.1,5.0,0.1,6.0,144,0.828238069,8.28238069
0.1,5.0,0.1,8.0,145,0.828278536,8.28278536
0.1,5.0,0.1,10.0,146,0.828317964,8.28317964
0.1,5.0,0.3,0.1,147,0.2021116,6.0633479999999995
0.1,5.0,0.3,0.5,148,0.797400127,23.922003809999996
0.1,5.0,0.3,1.0,149,0.824961519,24.74884557
0.1,5.0,0.3,4.0,150,0.817192136,24.515764079999997
0.1,5.0,0.3,6.0,151,0.817453501,24.523605030000002
0.1,5.0,0.3,8.0,152,0.817713785,24.53141355
0.1,5.0,0.3,10.0,153,0.817971381,24.53914143
0.1,5.0,0.5,0.1,154,0.121836605,6.09183025
0.1,5.0,0.5,0.5,155,0.546021614,27.301080700000004
0.1,5.0,0.5,1.0,156,0.816804142,40.8402071
0.1,5.0,0.5,4.0,157,0.801161168,40.0580584
0.1,5.0,0.5,6.0,158,0.801647897,40.08239485
0.1,5.0,0.5,8.0,159,0.802145157,40.107257849999996
0.1,5.0,0.5,10.0,160,0.802641264,40.132063200000005
0.1,5.0,0.7,0.1,161,0.087179941,6.102595869999999
0.1,5.0,0.7,0.5,162,0.396346864,27.74428048
0.1,5.0,0.7,1.0,163,0.728438083,50.99066581
0.1,5.0,0.7,4.0,164,0.788560376,55.199226319999994
0.1,5.0,0.7,6.0,165,0.784959416,54.94715911999999
0.1,5.0,0.7,8.0,166,0.785620927,54.99346489
0.1,5.0,0.7,10.0,167,0.78628901,55.040230699999995
0.1,5.0,0.9,0.1,168,0.06786874,6.1081866
0.1,5.0,0.9,0.5,169,0.310085307,27.90767763
0.1,5.0,0.9,1.0,170,0.590006983,53.10062847
0.1,5.0,0.9,4.0,171,0.788996321,71.00966889
0.1,5.0,0.9,6.0,172,0.769345486,69.24109374
0.1,5.0,0.9,8.0,173,0.770070825,69.30637425
0.1,5.0,0.9,10.0,174,0.77084353,69.37591770000002
0.1,7.0,0.1,0.1,175,0.58645603,5.864560300000001
0.1,7.0,0.1,0.5,176,0.829006061,8.29006061
0.1,7.0,0.1,1.0,177,0.828973391,8.28973391
0.1,7.0,0.1,4.0,178,0.829007929,8.290079290000001
0.1,7.0,0.1,6.0,179,0.82903024,8.2903024
0.1,7.0,0.1,8.0,180,0.829052018,8.29052018
0.1,7.0,0.1,10.0,181,0.829073291,8.290732910000001
0.1,7.0,0.3,0.1,182,0.20638201,6.1914603
0.1,7.0,0.3,0.5,183,0.798935649,23.96806947
0.1,7.0,0.3,1.0,184,0.826568873,24.79706619
0.1,7.0,0.3,4.0,185,0.822819721,24.68459163
0.1,7.0,0.3,6.0,186,0.822979113,24.68937339
0.1,7.0,0.3,8.0,187,0.823138117,24.694143509999996
0.1,7.0,0.3,10.0,188,0.823295382,24.69886146
0.1,7.0,0.5,0.1,189,0.124478807,6.2239403499999995
0.1,7.0,0.5,0.5,190,0.551808785,27.59043925
0.1,7.0,0.5,1.0,191,0.818566698,40.9283349
0.1,7.0,0.5,4.0,192,0.812750783,40.63753915
0.1,7.0,0.5,6.0,193,0.8130909,40.654545
