ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2_initial,Phi2,Phi2*PSII_antenna_size*100
0.1,1.0,0.5,1.0,86,0.799040611,0.816235937,4.0811796849999995
0.1,1.0,0.5,4.0,87,0.799466535,0.799040611,3.995203055
0.1,1.0,0.5,6.0,88,0.799940648,0.799466535,3.9973326750000004
0.1,1.0,0.5,8.0,89,0.800427886,0.799940648,3.99970324
0.1,1.0,0.5,10.0,90,0.087182232,0.800427886,4.002139430000001
0.1,1.0,0.7,0.1,91,0.396295313,0.087182232,0.610275624
0.1,1.0,0.7,0.5,92,0.727508136,0.396295313,2.774067191
0.1,1.0,0.7,1.0,93,0.788051001,0.727508136,5.092556951999999
0.1,1.0,0.7,4.0,94,0.780976644,0.788051001,5.516357007
0.1,1.0,0.7,6.0,95,0.781551092,0.780976644,5.466836507999999
0.1,1.0,0.7,8.0,96,0.782188356,0.781551092,5.470857643999999
0.1,1.0,0.7,10.0,97,0.067870911,0.782188356,5.475318492
0.1,1.0,0.9,0.1,98,0.310055866,0.067870911,0.6108381990000001
0.1,1.0,0.9,0.5,99,0.589573201,0.310055866,2.790502794000001
0.1,1.0,0.9,1.0,100,0.788523705,0.589573201,5.306158809
0.1,1.0,0.9,4.0,101,0.763758359,0.788523705,7.096713345000001
0.1,1.0,0.9,6.0,102,0.764209825,0.763758359,6.873825231000001
0.1,1.0,0.9,8.0,103,0.764924566,0.764209825,6.877888425
0.1,1.0,0.9,10.0,104,0.608334528,0.764924566,6.884321094
0.1,3.0,0.1,0.1,105,0.829403184,0.608334528,0.608334528
0.1,3.0,0.1,0.5,106,0.829700746,0.829403184,0.829403184
0.1,3.0,0.1,1.0,107,0.829708921,0.829700746,0.829700746
0.1,3.0,0.1,4.0,108,0.829714252,0.829708921,0.8297089210000003
0.1,3.0,0.1,6.0,109,0.829719442,0.829714252,0.829714252
0.1,3.0,0.1,8.0,110,0.829724518,0.829719442,0.829719442
0.1,3.0,0.1,10.0,111,0.21806549,0.829724518,0.8297245180000001
0.1,3.0,0.3,0.1,112,0.80146479,0.21806549,0.65419647
0.1,3.0,0.3,0.5,113,0.827958894,0.80146479,2.40439437
0.1,3.0,0.3,1.0,114,0.828133121,0.827958894,2.483876682
0.1,3.0,0.3,4.0,115,0.82817632,0.828133121,2.484399363
0.1,3.0,0.3,6.0,116,0.828219403,0.82817632,2.48452896
0.1,3.0,0.3,8.0,117,0.828261736,0.828219403,2.484658209
0.1,3.0,0.3,10.0,118,0.131737664,0.828261736,2.484785208
0.1,3.0,0.5,0.1,119,0.566574113,0.131737664,0.6586883200000001
0.1,3.0,0.5,0.5,120,0.82019879,0.566574113,2.8328705650000003
0.1,3.0,0.5,1.0,121,0.825193083,0.82019879,4.10099395
0.1,3.0,0.5,4.0,122,0.825300771,0.825193083,4.1259654150000005
0.1,3.0,0.5,6.0,123,0.825410487,0.825300771,4.126503855
0.1,3.0,0.5,8.0,124,0.825519299,0.825410487,4.127052435
0.1,3.0,0.5,10.0,125,0.094338091,0.825519299,4.127596495
0.1,3.0,0.7,0.1,126,0.414162003,0.094338091,0.6603666370000001
0.1,3.0,0.7,0.5,127,0.741376316,0.414162003,2.899134021
0.1,3.0,0.7,1.0,128,0.823383774,0.741376316,5.189634212
0.1,3.0,0.7,4.0,129,0.821261786,0.823383774,5.763686418
0.1,3.0,0.7,6.0,130,0.821455551,0.821261786,5.748832502
0.1,3.0,0.7,8.0,131,0.821650639,0.821455551,5.7501888569999995
0.1,3.0,0.7,10.0,132,0.073471302,0.821650639,5.7515544730000006
0.1,3.0,0.9,0.1,133,0.324836422,0.073471302,0.6612417180000001
0.1,3.0,0.9,0.5,134,0.60796071,0.324836422,2.9235277980000003
0.1,3.0,0.9,1.0,135,0.823129111,0.60796071,5.47164639
0.1,3.0,0.9,4.0,136,0.816670299,0.823129111,7.408161999
0.1,3.0,0.9,6.0,137,0.816559294,0.816670299,7.350032691000001
0.1,3.0,0.9,8.0,138,0.816847811,0.816559294,7.349033646000001
0.1,3.0,0.9,10.0,139,0.625095351,0.816847811,7.351630299
0.1,5.0,0.1,0.1,140,0.829483602,0.625095351,0.625095351
0.1,5.0,0.1,0.5,141,0.829842842,0.829483602,0.8294836020000002
0.1,5.0,0.1,1.0,142,0.829845929,0.829842842,0.8298428420000001
0.1,5.0,0.1,4.0,143,0.829847952,0.829845929,0.8298459290000001
0.1,5.0,0.1,6.0,144,0.829849921,0.829847952,0.8298479520000003
0.1,5.0,0.1,8.0,145,0.829851838,0.829849921,0.8298499210000001
0.1,5.0,0.1,10.0,146,0.227835328,0.829851838,0.829851838
0.1,5.0,0.3,0.1,147,0.80305504,0.227835328,0.6835059840000001
0.1,5.0,0.3,0.5,148,0.82825351,0.80305504,2.40916512
0.1,5.0,0.3,1.0,149,0.829246194,0.82825351,2.4847605300000004
0.1,5.0,0.3,4.0,150,0.829263049,0.829246194,2.487738582
0.1,5.0,0.3,6.0,151,0.82927954,0.829263049,2.487789147
0.1,5.0,0.3,8.0,152,0.829295728,0.82927954,2.4878386200000002
0.1,5.0,0.3,10.0,153,0.13782933,0.829295728,2.487887184
0.1,5.0,0.5,0.1,154,0.57814287,0.13782933,0.6891466500000001
0.1,5.0,0.5,0.5,155,0.820762898,0.57814287,2.89071435
0.1,5.0,0.5,1.0,156,0.828105368,0.820762898,4.10381449
0.1,5.0,0.5,4.0,157,0.828148792,0.828105368,4.14052684
0.1,5.0,0.5,6.0,158,0.828192465,0.828148792,4.140743960000001
0.1,5.0,0.5,8.0,159,0.828235702,0.828192465,4.140962325
0.1,5.0,0.5,10.0,160,0.098753129,0.828235702,4.1411785100000005
0.1,5.0,0.7,0.1,161,0.424582594,0.098753129,0.691271903
0.1,5.0,0.7,0.5,162,0.747143039,0.424582594,2.9720781579999995
0.1,5.0,0.7,1.0,163,0.8272745,0.747143039,5.230001273
0.1,5.0,0.7,4.0,164,0.826527927,0.8272745,5.7909215000000005
0.1,5.0,0.7,6.0,165,0.826609639,0.826527927,5.785695489000001
0.1,5.0,0.7,8.0,166,0.826691131,0.826609639,5.786267473
0.1,5.0,0.7,10.0,167,0.076928885,0.826691131,5.786837917
0.1,5.0,0.9,0.1,168,0.33355613,0.076928885,0.6923599650000001
0.1,5.0,0.9,0.5,169,0.6175009,0.33355613,3.0020051700000003
0.1,5.0,0.9,1.0,170,0.826910995,0.6175009,5.557508100000001
0.1,5.0,0.9,4.0,171,0.824648548,0.826910995,7.442198954999999
0.1,5.0,0.9,6.0,172,0.824556822,0.824648548,7.421836932000001
0.1,5.0,0.9,8.0,173,0.824685209,0.824556822,7.421011398000001
0.1,5.0,0.9,10.0,174,0.637020696,0.824685209,7.422166881
0.1,7.0,0.1,0.1,175,0.829507854,0.637020696,0.6370206960000001
0.1,7.0,0.1,0.5,176,0.829884047,0.829507854,0.829507854
0.1,7.0,0.1,1.0,177,0.829885672,0.829884047,0.8298840470000001
0.1,7.0,0.1,4.0,178,0.829886737,0.829885672,0.8298856720000001
0.1,7.0,0.1,6.0,179,0.829887769,0.829886737,0.8298867370000003
0.1,7.0,0.1,8.0,180,0.82988879,0.829887769,0.8298877690000002
0.1,7.0,0.1,10.0,181,0.235324594,0.82988879,0.8298887900000002
0.1,7.0,0.3,0.1,182,0.80404518,0.235324594,0.7059737819999999
0.1,7.0,0.3,0.5,183,0.8283444,0.80404518,2.4121355400000004
0.1,7.0,0.3,1.0,184,0.829568487,0.8283444,2.4850331999999997
0.1,7.0,0.3,4.0,185,0.829577375,0.829568487,2.488705461
0.1,7.0,0.3,6.0,186,0.829586096,0.829577375,2.488732125
0.1,7.0,0.3,8.0,187,0.829594652,0.829586096,2.4887582879999997
0.1,7.0,0.3,10.0,188,0.142522918,0.829594652,2.488783956
0.1,7.0,0.5,0.1,189,0.586593498,0.142522918,0.71261459
0.1,7.0,0.5,0.5,190,0.821000096,0.586593498,2.9329674900000007
0.1,7.0,0.5,1.0,191,0.828963512,0.821000096,4.10500048
0.1,7.0,0.5,4.0,192,0.828986707,0.828963512,4.14481756
0.1,7.0,0.5,6.0,193,0.829010131,0.828986707,4.144933535000001
0.1,7.0,0.5,8.0,194,0.829033235,0.829010131,4.145050655
0.1,7.0,0.5,10.0,195,0.102152653,0.829033235,4.145166175000001
0.1,7.0,0.7,0.1,196,0.432388262,0.102152653,0.7150685709999999
0.1,7.0,0.7,0.5,197,0.75094215,0.432388262,3.0267178340000003
0.1,7.0,0.7,1.0,198,0.828423041,0.75094215,5.25659505
0.1,7.0,0.7,4.0,199,0.828119611,0.828423041,5.798961287
0.1,7.0,0.7,6.0,200,0.8281639,0.828119611,5.796837277
0.1,7.0,0.7,8.0,201,0.828207831,0.8281639,5.7971473
0.1,7.0,0.7,10.0,202,0.079592502,0.828207831,5.797454817
0.1,7.0,0.9,0.1,203,0.34013162,0.079592502,0.716332518
0.1,7.0,0.9,0.5,204,0.624347421,0.34013162,3.0611845800000004
0.1,7.0,0.9,1.0,205,0.828029647,0.624347421,5.619126789
0.1,7.0,0.9,4.0,206,0.827090301,0.828029647,7.452266823
0.1,7.0,0.9,6.0,207,0.827051127,0.827090301,7.443812709000001
0.1,7.0,0.9,8.0,208,0.827121941,0.827051127,7.443460143000001
0.1,7.0,0.9,10.0,209,0.493009265,0.827121941,7.444097469000001
0.3,0.07,0.1,0.1,210,0.64736017,0.493009265,1.479027795
0.3,0.07,0.1,0.5,211,0.644492529,0.64736017,1.94208051
0.3,0.07,0.1,1.0,212,0.645048078,0.644492529,1.933477587
0.3,0.07,0.1,4.0,213,0.645885695,0.645048078,1.9351442339999996
0.3,0.07,0.1,6.0,214,0.646747352,0.645885695,1.9376570850000003
0.3,0.07,0.1,8.0,215,0.647610876,0.646747352,1.9402420559999998
0.3,0.07,0.1,10.0,216,0.168116892,0.647610876,1.9428326280000001
0.3,0.07,0.3,0.1,217,0.473596558,0.168116892,1.5130520279999997
0.3,0.07,0.3,0.5,218,0.490595834,0.473596558,4.262369022000001
0.3,0.07,0.3,1.0,219,0.492618914,0.490595834,4.415362505999999
0.3,0.07,0.3,4.0,220,0.493469327,0.492618914,4.433570226
0.3,0.07,0.3,6.0,221,0.494308352,0.493469327,4.441223943
0.3,0.07,0.3,8.0,222,0.495158128,0.494308352,4.448775167999999
0.3,0.07,0.3,10.0,223,0.10111181,0.495158128,4.456423151999999
0.3,0.07,0.5,0.1,224,0.303600877,0.10111181,1.5166771499999998
0.3,0.07,0.5,0.5,225,0.328960088,0.303600877,4.554013155
0.3,0.07,0.5,1.0,226,0.331518381,0.328960088,4.934401319999999
0.3,0.07,0.5,4.0,227,0.332191057,0.331518381,4.972775714999999
0.3,0.07,0.5,6.0,228,0.332793166,0.332191057,4.982865855
0.3,0.07,0.5,8.0,229,0.333400144,0.332793166,4.9918974899999995
0.3,0.07,0.5,10.0,230,0.072290378,0.333400144,5.0010021600000005
0.3,0.07,0.7,0.1,231,0.21993574,0.072290378,1.5180979379999997
0.3,0.07,0.7,0.5,232,0.240326897,0.21993574,4.618650539999999
0.3,0.07,0.7,1.0,233,0.24254707,0.240326897,5.046864836999999
0.3,0.07,0.7,4.0,234,0.243014799,0.24254707,5.09348847
0.3,0.07,0.7,6.0,235,0.243496869,0.243014799,5.103310779
0.3,0.07,0.7,8.0,236,0.243960935,0.243496869,5.113434249
0.3,0.07,0.7,10.0,237,0.056253723,0.243960935,5.123179634999999
0.3,0.07,0.9,0.1,238,0.17200008,0.056253723,1.5188505209999998
0.3,0.07,0.9,0.5,239,0.187676352,0.17200008,4.64400216
0.3,0.07,0.9,1.0,240,0.189471703,0.187676352,5.067261504
0.3,0.07,0.9,4.0,241,0.189923326,0.189471703,5.115735981
0.3,0.07,0.9,6.0,242,0.190299165,0.189923326,5.127929802000001
0.3,0.07,0.9,8.0,243,0.190669953,0.190299165,5.138077455
0.3,0.07,0.9,10.0,244,0.507232244,0.190669953,5.148088731
0.3,0.1,0.1,0.1,245,0.672211333,0.507232244,1.521696732
0.3,0.1,0.1,0.5,246,0.667750057,0.672211333,2.016633999
0.3,0.1,0.1,1.0,247,0.668429504,0.667750057,2.003250171
0.3,0.1,0.1,4.0,248,0.669309557,0.668429504,2.005288512
0.3,0.1,0.1,6.0,249,0.670197326,0.669309557,2.007928671
0.3,0.1,0.1,8.0,250,0.671062468,0.670197326,2.0105919780000003
0.3,0.1,0.1,10.0,251,0.172678768,0.671062468,2.013187404
0.3,0.1,0.3,0.1,252,0.562113782,0.172678768,1.554108912
0.3,0.1,0.3,0.5,253,0.579785196,0.562113782,5.059024038
0.3,0.1,0.3,1.0,254,0.580180609,0.579785196,5.218066764
0.3,0.1,0.3,4.0,255,0.581018092,0.580180609,5.221625481
0.3,0.1,0.3,6.0,256,0.581876537,0.581018092,5.229162828
0.3,0.1,0.3,8.0,257,0.582767712,0.581876537,5.236888832999999
0.3,0.1,0.3,10.0,258,0.1038403,0.582767712,5.244909408
0.3,0.1,0.5,0.1,259,0.371462731,0.1038403,1.5576044999999998
0.3,0.1,0.5,0.5,260,0.439517271,0.371462731,5.571940965
0.3,0.1,0.5,1.0,261,0.443710426,0.439517271,6.592759064999999
0.3,0.1,0.5,4.0,262,0.444491732,0.443710426,6.655656389999999
0.3,0.1,0.5,6.0,263,0.445281735,0.444491732,6.667375979999999
0.3,0.1,0.5,8.0,264,0.446048397,0.445281735,6.679226025
0.3,0.1,0.5,10.0,265,0.074231703,0.446048397,6.6907259550000004
0.3,0.1,0.7,0.1,266,0.270434071,0.074231703,1.5588657629999998
0.3,0.1,0.7,0.5,267,0.331999878,0.270434071,5.679115490999999
0.3,0.1,0.7,1.0,268,0.337417413,0.331999878,6.971997437999999
0.3,0.1,0.7,4.0,269,0.338084539,0.337417413,7.085765672999999
0.3,0.1,0.7,6.0,270,0.338703627,0.338084539,7.099775319
0.3,0.1,0.7,8.0,271,0.339371237,0.338703627,7.112776167
0.3,0.1,0.7,10.0,272,0.05776632,0.339371237,7.126795976999999
0.3,0.1,0.9,0.1,273,0.211969106,0.05776632,1.5596906400000001
0.3,0.1,0.9,0.5,274,0.262966831,0.211969106,5.723165861999999
0.3,0.1,0.9,1.0,275,0.268132215,0.262966831,7.100104437000001
0.3,0.1,0.9,4.0,276,0.268689992,0.268132215,7.2395698049999995
0.3,0.1,0.9,6.0,277,0.269191139,0.268689992,7.254629784
0.3,0.1,0.9,8.0,278,0.269715457,0.269191139,7.268160753000001
0.3,0.1,0.9,10.0,279,0.554325148,0.269715457,7.282317339
0.3,1.0,0.1,0.1,280,0.821783545,0.554325148,1.6629754439999997
0.3,1.0,0.1,0.5,281,0.816282151,0.821783545,2.4653506349999996
0.3,1.0,0.1,1.0,282,0.816518802,0.816282151,2.4488464530000003
0.3,1.0,0.1,4.0,283,0.816749293,0.816518802,2.449556406
0.3,1.0,0.1,6.0,284,0.817009684,0.816749293,2.450247879
0.3,1.0,0.1,8.0,285,0.817276416,0.817009684,2.451029052
0.3,1.0,0.1,10.0,286,0.190958294,0.817276416,2.451829248
0.3,1.0,0.3,0.1,287,0.785416968,0.190958294,1.7186246459999999
0.3,1.0,0.3,0.5,288,0.803498438,0.785416968,7.068752711999999
0.3,1.0,0.3,1.0,289,0.763567116,0.803498438,7.231485941999999
0.3,1.0,0.3,4.0,290,0.764158667,0.763567116,6.872104043999999
0.3,1.0,0.3,6.0,291,0.76479608,0.764158667,6.8774280029999995
0.3,1.0,0.3,8.0,292,0.765597242,0.76479608,6.88316472
0.3,1.0,0.3,10.0,293,0.11495475,0.765597242,6.890375177999999
0.3,1.0,0.5,0.1,294,0.527813004,0.11495475,1.7243212499999998
0.3,1.0,0.5,0.5,295,0.793683057,0.527813004,7.91719506
0.3,1.0,0.5,1.0,296,0.722936647,0.793683057,11.905245854999999
0.3,1.0,0.5,4.0,297,0.723622514,0.722936647,10.844049705
0.3,1.0,0.5,6.0,298,0.724498019,0.723622514,10.85433771
0.3,1.0,0.5,8.0,299,0.725435544,0.724498019,10.867470285
0.3,1.0,0.5,10.0,300,0.082212439,0.725435544,10.88153316
0.3,1.0,0.7,0.1,301,0.381766099,0.082212439,1.7264612189999997
0.3,1.0,0.7,0.5,302,0.700714981,0.381766099,8.017088078999999
0.3,1.0,0.7,1.0,303,0.695594592,0.700714981,14.715014600999998
0.3,1.0,0.7,4.0,304,0.695761491,0.695594592,14.607486431999996
0.3,1.0,0.7,6.0,305,0.696645052,0.695761491,14.610991311
0.3,1.0,0.7,8.0,306,0.697606397,0.696645052,14.629546091999998
0.3,1.0,0.7,10.0,307,0.063988112,0.697606397,14.649734337
0.3,1.0,0.9,0.1,308,0.298290567,0.063988112,1.727679024
0.3,1.0,0.9,0.5,309,0.566708794,0.298290567,8.053845309
0.3,1.0,0.9,1.0,310,0.682314307,0.566708794,15.301137438000001
0.3,1.0,0.9,4.0,311,0.676030662,0.682314307,18.422486289000002
0.3,1.0,0.9,6.0,312,0.676842928,0.676030662,18.252827873999998
0.3,1.0,0.9,8.0,313,0.677776667,0.676842928,18.274759056
0.3,1.0,0.9,10.0,314,0.577950693,0.677776667,18.299970009000003
0.3,3.0,0.1,0.1,315,0.828526616,0.577950693,1.7338520789999998
0.3,3.0,0.1,0.5,316,0.828096984,0.828526616,2.485579848
0.3,3.0,0.1,1.0,317,0.828158512,0.828096984,2.4842909520000003
0.3,3.0,0.1,4.0,318,0.828200275,0.828158512,2.484475536
0.3,3.0,0.1,6.0,319,0.828240973,0.828200275,2.484600825
0.3,3.0,0.1,8.0,320,0.828280679,0.828240973,2.484722919
0.3,3.0,0.1,10.0,321,0.202116316,0.828280679,2.4848420370000004
0.3,3.0,0.3,0.1,322,0.796882498,0.202116316,1.8190468439999996
0.3,3.0,0.3,0.5,323,0.824870124,0.796882498,7.171942482
0.3,3.0,0.3,1.0,324,0.816509357,0.824870124,7.423831116
0.3,3.0,0.3,4.0,325,0.816766996,0.816509357,7.348584213
0.3,3.0,0.3,6.0,326,0.817025972,0.816766996,7.3509029639999985
0.3,3.0,0.3,8.0,327,0.817283783,0.817025972,7.353233748
0.3,3.0,0.3,10.0,328,0.121840612,0.817283783,7.355554047
0.3,3.0,0.5,0.1,329,0.545908725,0.121840612,1.8276091799999998
0.3,3.0,0.5,0.5,330,0.816235937,0.545908725,8.188630875
0.3,3.0,0.5,1.0,331,0.799040611,0.816235937,12.243539055
0.3,3.0,0.5,4.0,332,0.799466535,0.799040611,11.985609165
0.3,3.0,0.5,6.0,333,0.799940648,0.799466535,11.991998025
0.3,3.0,0.5,8.0,334,0.800427886,0.799940648,11.99910972
0.3,3.0,0.5,10.0,335,0.087182232,0.800427886,12.00641829
0.3,3.0,0.7,0.1,336,0.396295313,0.087182232,1.8308268719999996
0.3,3.0,0.7,0.5,337,0.727508136,0.396295313,8.322201573
0.3,3.0,0.7,1.0,338,0.788051001,0.727508136,15.277670855999997
0.3,3.0,0.7,4.0,339,0.780976644,0.788051001,16.549071021
0.3,3.0,0.7,6.0,340,0.781551092,0.780976644,16.400509523999997
0.3,3.0,0.7,8.0,341,0.782188356,0.781551092,16.412572931999996
0.3,3.0,0.7,10.0,342,0.067870911,0.782188356,16.425955476
0.3,3.0,0.9,0.1,343,0.310055866,0.067870911,1.832514597
0.3,3.0,0.9,0.5,344,0.589573201,0.310055866,8.371508382
0.3,3.0,0.9,1.0,345,0.788523705,0.589573201,15.918476427
0.3,3.0,0.9,4.0,346,0.763758359,0.788523705,21.290140035
0.3,3.0,0.9,6.0,347,0.764209825,0.763758359,20.621475693
0.3,3.0,0.9,8.0,348,0.764924566,0.764209825,20.633665275000002
0.3,3.0,0.9,10.0,349,0.591135979,0.764924566,20.652963282
0.3,5.0,0.1,0.1,350,0.829145166,0.591135979,1.7734079370000002
0.3,5.0,0.1,0.5,351,0.829232211,0.829145166,2.487435498
0.3,5.0,0.1,1.0,352,0.829256906,0.829232211,2.487696633
0.3,5.0,0.1,4.0,353,0.829273078,0.829256906,2.487770718
0.3,5.0,0.1,6.0,354,0.829288842,0.829273078,2.4878192340000003
0.3,5.0,0.1,8.0,355,0.829304255,0.829288842,2.487866526
0.3,5.0,0.1,10.0,356,0.208795468,0.829304255,2.4879127650000004
0.3,5.0,0.3,0.1,357,0.799334578,0.208795468,1.8791592119999998
0.3,5.0,0.3,0.5,358,0.827035327,0.799334578,7.194011201999999
0.3,5.0,0.3,1.0,359,0.824547824,0.827035327,7.443317942999999
0.3,5.0,0.3,4.0,360,0.824669068,0.824547824,7.420930416
0.3,5.0,0.3,6.0,361,0.824790328,0.824669068,7.422021611999999
0.3,5.0,0.3,8.0,362,0.824910087,0.824790328,7.423112951999999
0.3,5.0,0.3,10.0,363,0.125976642,0.824910087,7.424190782999999
0.3,5.0,0.5,0.1,364,0.55491338,0.125976642,1.8896496299999999
0.3,5.0,0.5,0.5,365,0.818862755,0.55491338,8.3237007
0.3,5.0,0.5,1.0,366,0.816363934,0.818862755,12.282941325000001
0.3,5.0,0.5,4.0,367,0.816628778,0.816363934,12.245459009999998
0.3,5.0,0.5,6.0,368,0.816905786,0.816628778,12.24943167
