ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2_initial,Phi2
0.3,1,0.1,0.1,280,0.821783545,0.554325148
0.3,1,0.1,0.5,281,0.816282151,0.821783545
0.3,1,0.1,1,282,0.816518802,0.816282151
0.3,1,0.1,4,283,0.816749293,0.816518802
0.3,1,0.1,6,284,0.817009684,0.816749293
0.3,1,0.1,8,285,0.817276416,0.817009684
0.3,1,0.1,10,286,0.190958294,0.817276416
0.3,1,0.3,0.1,287,0.785416968,0.190958294
0.3,1,0.3,0.5,288,0.803498438,0.785416968
0.3,1,0.3,1,289,0.763567116,0.803498438
0.3,1,0.3,4,290,0.764158667,0.763567116
0.3,1,0.3,6,291,0.76479608,0.764158667
0.3,1,0.3,8,292,0.765597242,0.76479608
0.3,1,0.3,10,293,0.11495475,0.765597242
0.3,1,0.5,0.1,294,0.527813004,0.11495475
0.3,1,0.5,0.5,295,0.793683057,0.527813004
0.3,1,0.5,1,296,0.722936647,0.793683057
0.3,1,0.5,4,297,0.723622514,0.722936647
0.3,1,0.5,6,298,0.724498019,0.723622514
0.3,1,0.5,8,299,0.725435544,0.724498019
0.3,1,0.5,10,300,0.082212439,0.725435544
0.3,1,0.7,0.1,301,0.381766099,0.082212439
0.3,1,0.7,0.5,302,0.700714981,0.381766099
0.3,1,0.7,1,303,0.695594592,0.700714981
0.3,1,0.7,4,304,0.695761491,0.695594592
0.3,1,0.7,6,305,0.696645052,0.695761491
0.3,1,0.7,8,306,0.697606397,0.696645052
0.3,1,0.7,10,307,0.063988112,0.697606397
0.3,1,0.9,0.1,308,0.298290567,0.063988112
0.3,1,0.9,0.5,309,0.566708794,0.298290567
0.3,1,0.9,1,310,0.682314307,0.566708794
0.3,1,0.9,4,311,0.676030662,0.682314307
0.3,1,0.9,6,312,0.676842928,0.676030662
0.3,1,0.9,8,313,0.677776667,0.676842928
0.3,1,0.9,10,314,0.577950693,0.677776667
0.3,3,0.1,0.1,315,0.828526616,0.577950693
0.3,3,0.1,0.5,316,0.828096984,0.828526616
0.3,3,0.1,1,317,0.828158512,0.828096984
