ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2
0.1,5,0.1,10,146,0.828317964
0.1,5,0.3,0.1,147,0.2021116
0.1,5,0.3,0.5,148,0.797400127
0.1,5,0.3,1,149,0.824961519
0.1,5,0.3,4,150,0.817192136
0.1,5,0.3,6,151,0.817453501
0.1,5,0.3,8,152,0.817713785
0.1,5,0.3,10,153,0.817971381
0.1,5,0.5,0.1,154,0.121836605
0.1,5,0.5,0.5,155,0.546021614
0.1,5,0.5,1,156,0.816804142
0.1,5,0.5,4,157,0.801161168
0.1,5,0.5,6,158,0.801647897
0.1,5,0.5,8,159,0.802145157
0.1,5,0.5,10,160,0.802641264
0.1,5,0.7,0.1,161,0.087179941
0.1,5,0.7,0.5,162,0.396346864
0.1,5,0.7,1,163,0.728438083
0.1,5,0.7,4,164,0.788560376
0.1,5,0.7,6,165,0.784959416
0.1,5,0.7,8,166,0.785620927
0.1,5,0.7,10,167,0.78628901
0.1,5,0.9,0.1,168,0.06786874
0.1,5,0.9,0.5,169,0.310085307
0.1,5,0.9,1,170,0.590006983
0.1,5,0.9,4,171,0.788996321
0.1,5,0.9,6,172,0.769345486
0.1,5,0.9,8,173,0.770070825
0.1,5,0.9,10,174,0.77084353
0.1,7,0.1,0.1,175,0.58645603
0.1,7,0.1,0.5,176,0.829006061
0.1,7,0.1,1,177,0.828973391
0.1,7,0.1,4,178,0.829007929
0.1,7,0.1,6,179,0.82903024
0.1,7,0.1,8,180,0.829052018
0.1,7,0.1,10,181,0.829073291
0.1,7,0.3,0.1,182,0.20638201
0.1,7,0.3,0.5,183,0.798935649
0.1,7,0.3,1,184,0.826568873
0.1,7,0.3,4,185,0.822819721
0.1,7,0.3,6,186,0.822979113
0.1,7,0.3,8,187,0.823138117
0.1,7,0.3,10,188,0.823295382
0.1,7,0.5,0.1,189,0.124478807
0.1,7,0.5,0.5,190,0.551808785
0.1,7,0.5,1,191,0.818566698
0.1,7,0.5,4,192,0.812750783
0.1,7,0.5,6,193,0.8130909
0.1,7,0.5,8,194,0.813436472
0.1,7,0.5,10,195,0.813779304
0.1,7,0.7,0.1,196,0.089088528
0.1,7,0.7,0.5,197,0.401258593
0.1,7,0.7,1,198,0.732819196
0.1,7,0.7,4,199,0.805541272
0.1,7,0.7,6,200,0.801361287
0.1,7,0.7,8,201,0.80187858
0.1,7,0.7,10,202,0.802397879
0.1,7,0.9,0.1,203,0.069363492
0.1,7,0.9,0.5,204,0.314128794
0.1,7,0.9,1,205,0.595350508
0.1,7,0.9,4,206,0.805751541
0.1,7,0.9,6,207,0.789232682
0.1,7,0.9,8,208,0.78985187
0.1,7,0.9,10,209,0.790509079
0.3,0.07,0.1,0.1,210,0.33368286
0.3,0.07,0.1,0.5,211,0.395268878
0.3,0.07,0.1,1,212,0.397636751
0.3,0.07,0.1,4,213,0.400355091
0.3,0.07,0.1,6,214,0.401444675
0.3,0.07,0.1,8,215,0.40243997
0.3,0.07,0.1,10,216,0.403388927
0.3,0.07,0.3,0.1,217,0.112374754
0.3,0.07,0.3,0.5,218,0.134134481
0.3,0.07,0.3,1,219,0.135152697
0.3,0.07,0.3,4,220,0.136328334
0.3,0.07,0.3,6,221,0.136793261
0.3,0.07,0.3,8,222,0.137248807
0.3,0.07,0.3,10,223,0.137664616
0.3,0.07,0.5,0.1,224,0.06752811
0.3,0.07,0.5,0.5,225,0.080003268
0.3,0.07,0.5,1,226,0.080541446
0.3,0.07,0.5,4,227,0.081258898
0.3,0.07,0.5,6,228,0.081554418
0.3,0.07,0.5,8,229,0.08182642
0.3,0.07,0.5,10,230,0.08207941
0.3,0.07,0.7,0.1,231,0.048314324
0.3,0.07,0.7,0.5,232,0.057139671
0.3,0.07,0.7,1,233,0.057543759
0.3,0.07,0.7,4,234,0.058037467
0.3,0.07,0.7,6,235,0.058256673
0.3,0.07,0.7,8,236,0.058449342
0.3,0.07,0.7,10,237,0.058631328
0.3,0.07,0.9,0.1,238,0.037594034
0.3,0.07,0.9,0.5,239,0.044485776
0.3,0.07,0.9,1,240,0.044797412
0.3,0.07,0.9,4,241,0.045181162
0.3,0.07,0.9,6,242,0.04534389
0.3,0.07,0.9,8,243,0.045498347
0.3,0.07,0.9,10,244,0.045655195
0.3,0.1,0.1,0.1,245,0.398580372
0.3,0.1,0.1,0.5,246,0.515265635
0.3,0.1,0.1,1,247,0.517161172
0.3,0.1,0.1,4,248,0.519660118
0.3,0.1,0.1,6,249,0.520792584
0.3,0.1,0.1,8,250,0.521915495
0.3,0.1,0.1,10,251,0.522988468
0.3,0.1,0.3,0.1,252,0.136281977
0.3,0.1,0.3,0.5,253,0.193365808
0.3,0.1,0.3,1,254,0.195173582
0.3,0.1,0.3,4,255,0.196858364
0.3,0.1,0.3,6,256,0.197507772
0.3,0.1,0.3,8,257,0.198072726
0.3,0.1,0.3,10,258,0.198649218
0.3,0.1,0.5,0.1,259,0.082015377
0.3,0.1,0.5,0.5,260,0.114436138
0.3,0.1,0.5,1,261,0.115425264
0.3,0.1,0.5,4,262,0.116471357
0.3,0.1,0.5,6,263,0.116873347
0.3,0.1,0.5,8,264,0.117243956
0.3,0.1,0.5,10,265,0.117605963
0.3,0.1,0.7,0.1,266,0.058665449
0.3,0.1,0.7,0.5,267,0.081522532
0.3,0.1,0.7,1,268,0.082164375
0.3,0.1,0.7,4,269,0.082908856
0.3,0.1,0.7,6,270,0.083196603
0.3,0.1,0.7,8,271,0.083520454
0.3,0.1,0.7,10,272,0.083748854
0.3,0.1,0.9,0.1,273,0.045667177
0.3,0.1,0.9,0.5,274,0.063382211
0.3,0.1,0.9,1,275,0.063933952
0.3,0.1,0.9,4,276,0.064488001
0.3,0.1,0.9,6,277,0.064711302
0.3,0.1,0.9,8,278,0.064932152
0.3,0.1,0.9,10,279,0.065141191
0.3,1,0.1,0.1,280,0.525515073
0.3,1,0.1,0.5,281,0.739367411
0.3,1,0.1,1,282,0.73236688
0.3,1,0.1,4,283,0.732715518
0.3,1,0.1,6,284,0.733591471
0.3,1,0.1,8,285,0.734524598
0.3,1,0.1,10,286,0.735483616
0.3,1,0.3,0.1,287,0.17891448
0.3,1,0.3,0.5,288,0.706629972
0.3,1,0.3,1,289,0.663616125
0.3,1,0.3,4,290,0.658130841
0.3,1,0.3,6,291,0.658997675
0.3,1,0.3,8,292,0.659947746
0.3,1,0.3,10,293,0.660922109
0.3,1,0.5,0.1,294,0.107585842
0.3,1,0.5,0.5,295,0.485195004
0.3,1,0.5,1,296,0.646092885
0.3,1,0.5,4,297,0.629165518
0.3,1,0.5,6,298,0.630052662
0.3,1,0.5,8,299,0.631000712
0.3,1,0.5,10,300,0.631973558
0.3,1,0.7,0.1,301,0.076909291
0.3,1,0.7,0.5,302,0.352064642
0.3,1,0.7,1,303,0.573536036
0.3,1,0.7,4,304,0.597954385
0.3,1,0.7,6,305,0.598905763
0.3,1,0.7,8,306,0.599898449
0.3,1,0.7,10,307,0.600901399
0.3,1,0.9,0.1,308,0.059844929
0.3,1,0.9,0.5,309,0.275393738
0.3,1,0.9,1,310,0.475471381
0.3,1,0.9,4,311,0.548720915
0.3,1,0.9,6,312,0.549848544
0.3,1,0.9,8,313,0.550945213
0.3,1,0.9,10,314,0.552038708
0.3,3,0.1,0.1,315,0.545036976
0.3,3,0.1,0.5,316,0.810555177
0.3,3,0.1,1,317,0.800971651
0.3,3,0.1,4,318,0.801388177
0.3,3,0.1,6,319,0.801858672
0.3,3,0.1,8,320,0.80236425
0.3,3,0.1,10,321,0.802868274
0.3,3,0.3,0.1,322,0.186831327
0.3,3,0.3,0.5,323,0.77597991
0.3,3,0.3,1,324,0.774732549
0.3,3,0.3,4,325,0.733059393
0.3,3,0.3,6,326,0.733851786
0.3,3,0.3,8,327,0.734741575
0.3,3,0.3,10,328,0.735485658
0.3,3,0.5,0.1,329,0.112419563
0.3,3,0.5,0.5,330,0.519473755
0.3,3,0.5,1,331,0.767882611
0.3,3,0.5,4,332,0.695504663
0.3,3,0.5,6,333,0.696295495
