P700_red_initial,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial.1,Phi2,Result
0.7,0.1,3.0,0.5,0.7,0.70104242,35.052121
0.7,0.1,3.0,0.5,0.7,0.70104242,35.052121
0.7,0.1,3.0,0.5,0.7,0.70104242,35.052121
0.7,0.1,3.0,0.7,0.7,0.534916127,37.44412889
0.7,0.1,3.0,0.7,0.7,0.534916127,37.44412889
0.7,0.1,3.0,0.7,0.7,0.534916127,37.44412889
0.7,0.1,3.0,0.7,0.7,0.534916127,37.44412889
0.7,0.1,3.0,0.7,0.7,0.534916127,37.44412889
0.7,0.1,3.0,0.7,0.7,0.534916127,37.44412889
0.7,0.1,3.0,0.7,0.7,0.534916127,37.44412889
0.7,0.1,3.0,0.9,0.7,0.423185011,38.086650989999995
0.7,0.1,3.0,0.9,0.7,0.423185011,38.086650989999995
0.7,0.1,3.0,0.9,0.7,0.423185011,38.086650989999995
0.7,0.1,3.0,0.9,0.7,0.423185011,38.086650989999995
0.7,0.1,3.0,0.9,0.7,0.423185011,38.086650989999995
0.7,0.1,3.0,0.9,0.7,0.423185011,38.086650989999995
0.7,0.1,3.0,0.9,0.7,0.423185011,38.086650989999995
0.7,0.1,5.0,0.1,0.7,0.773451732,7.73451732
0.7,0.1,5.0,0.1,0.7,0.773451732,7.73451732
0.7,0.1,5.0,0.1,0.7,0.773451732,7.73451732
0.7,0.1,5.0,0.1,0.7,0.773451732,7.73451732
0.7,0.1,5.0,0.1,0.7,0.773451732,7.73451732
0.7,0.1,5.0,0.1,0.7,0.773451732,7.73451732
0.7,0.1,5.0,0.1,0.7,0.773451732,7.73451732
0.7,0.1,5.0,0.3,0.7,0.768966708,23.06900124
0.7,0.1,5.0,0.3,0.7,0.768966708,23.06900124
0.7,0.1,5.0,0.3,0.7,0.768966708,23.06900124
0.7,0.1,5.0,0.3,0.7,0.768966708,23.06900124
0.7,0.1,5.0,0.3,0.7,0.768966708,23.06900124
0.7,0.1,5.0,0.3,0.7,0.768966708,23.06900124
0.7,0.1,5.0,0.3,0.7,0.768966708,23.06900124
0.7,0.1,5.0,0.5,0.7,0.70454624,35.227312
0.7,0.1,5.0,0.5,0.7,0.70454624,35.227312
0.7,0.1,5.0,0.5,0.7,0.70454624,35.227312
0.7,0.1,5.0,0.5,0.7,0.70454624,35.227312
0.7,0.1,5.0,0.5,0.7,0.70454624,35.227312
0.7,0.1,5.0,0.5,0.7,0.70454624,35.227312
0.7,0.1,5.0,0.5,0.7,0.70454624,35.227312
0.7,0.1,5.0,0.7,0.7,0.541794611,37.925622770000004
0.7,0.1,5.0,0.7,0.7,0.541794611,37.925622770000004
0.7,0.1,5.0,0.7,0.7,0.541794611,37.925622770000004
0.7,0.1,5.0,0.7,0.7,0.541794611,37.925622770000004
0.7,0.1,5.0,0.7,0.7,0.541794611,37.925622770000004
0.7,0.1,5.0,0.7,0.7,0.541794611,37.925622770000004
0.7,0.1,5.0,0.7,0.7,0.541794611,37.925622770000004
0.7,0.1,5.0,0.9,0.7,0.429804841,38.68243569
0.7,0.1,5.0,0.9,0.7,0.429804841,38.68243569
0.7,0.1,5.0,0.9,0.7,0.429804841,38.68243569
0.7,0.1,5.0,0.9,0.7,0.429804841,38.68243569
0.7,0.1,5.0,0.9,0.7,0.429804841,38.68243569
0.7,0.1,5.0,0.9,0.7,0.429804841,38.68243569
0.7,0.1,5.0,0.9,0.7,0.429804841,38.68243569
0.7,0.1,7.0,0.1,0.7,0.773497104,7.7349710400000005
0.7,0.1,7.0,0.1,0.7,0.773497104,7.7349710400000005
0.7,0.1,7.0,0.1,0.7,0.773497104,7.7349710400000005
0.7,0.1,7.0,0.1,0.7,0.773497104,7.7349710400000005
0.7,0.1,7.0,0.1,0.7,0.773497104,7.7349710400000005
0.7,0.1,7.0,0.1,0.7,0.773497104,7.7349710400000005
0.7,0.1,7.0,0.1,0.7,0.773497104,7.7349710400000005
0.7,0.1,7.0,0.3,0.7,0.769061617,23.07184851
0.7,0.1,7.0,0.3,0.7,0.769061617,23.07184851
0.7,0.1,7.0,0.3,0.7,0.769061617,23.07184851
0.7,0.1,7.0,0.3,0.7,0.769061617,23.07184851
0.7,0.1,7.0,0.3,0.7,0.769061617,23.07184851
0.7,0.1,7.0,0.3,0.7,0.769061617,23.07184851
0.7,0.1,7.0,0.3,0.7,0.769061617,23.07184851
0.7,0.1,7.0,0.5,0.7,0.706829526,35.341476300000004
0.7,0.1,7.0,0.5,0.7,0.706829526,35.341476300000004
0.7,0.1,7.0,0.5,0.7,0.706829526,35.341476300000004
0.7,0.1,7.0,0.5,0.7,0.706829526,35.341476300000004
0.7,0.1,7.0,0.5,0.7,0.706829526,35.341476300000004
0.7,0.1,7.0,0.5,0.7,0.706829526,35.341476300000004
0.7,0.1,7.0,0.5,0.7,0.706829526,35.341476300000004
0.7,0.1,7.0,0.7,0.7,0.546786115,38.275028049999996
0.7,0.1,7.0,0.7,0.7,0.546786115,38.275028049999996
0.7,0.1,7.0,0.7,0.7,0.546786115,38.275028049999996
0.7,0.1,7.0,0.7,0.7,0.546786115,38.275028049999996
0.7,0.1,7.0,0.7,0.7,0.546786115,38.275028049999996
0.7,0.1,7.0,0.7,0.7,0.546786115,38.275028049999996
0.7,0.1,7.0,0.7,0.7,0.546786115,38.275028049999996
0.7,0.1,7.0,0.9,0.7,0.434704489,39.12340401
0.7,0.1,7.0,0.9,0.7,0.434704489,39.12340401
0.7,0.1,7.0,0.9,0.7,0.434704489,39.12340401
0.7,0.1,7.0,0.9,0.7,0.434704489,39.12340401
0.7,0.1,7.0,0.9,0.7,0.434704489,39.12340401
0.7,0.1,7.0,0.9,0.7,0.434704489,39.12340401
0.7,0.1,7.0,0.9,0.7,0.434704489,39.12340401
0.7,0.3,0.07,0.1,0.7,0.567949751,5.679497510000001
0.7,0.3,0.07,0.1,0.7,0.567949751,5.679497510000001
0.7,0.3,0.07,0.1,0.7,0.567949751,5.679497510000001
0.7,0.3,0.07,0.1,0.7,0.567949751,5.679497510000001
0.7,0.3,0.07,0.1,0.7,0.567949751,5.679497510000001
0.7,0.3,0.07,0.1,0.7,0.567949751,5.679497510000001
0.7,0.3,0.07,0.1,0.7,0.567949751,5.679497510000001
0.7,0.3,0.07,0.3,0.7,0.436644558,13.09933674
0.7,0.3,0.07,0.3,0.7,0.436644558,13.09933674
0.7,0.3,0.07,0.3,0.7,0.436644558,13.09933674
0.7,0.3,0.07,0.3,0.7,0.436644558,13.09933674
0.7,0.3,0.07,0.3,0.7,0.436644558,13.09933674
0.7,0.3,0.07,0.3,0.7,0.436644558,13.09933674
0.7,0.3,0.07,0.3,0.7,0.436644558,13.09933674
0.7,0.3,0.07,0.5,0.7,0.299055716,14.952785800000001
0.7,0.3,0.07,0.5,0.7,0.299055716,14.952785800000001
0.7,0.3,0.07,0.5,0.7,0.299055716,14.952785800000001
0.7,0.3,0.07,0.5,0.7,0.299055716,14.952785800000001
0.7,0.3,0.07,0.5,0.7,0.299055716,14.952785800000001
0.7,0.3,0.07,0.5,0.7,0.299055716,14.952785800000001
0.7,0.3,0.07,0.5,0.7,0.299055716,14.952785800000001
0.7,0.3,0.07,0.7,0.7,0.221399104,15.497937279999999
0.7,0.3,0.07,0.7,0.7,0.221399104,15.497937279999999
0.7,0.3,0.07,0.7,0.7,0.221399104,15.497937279999999
0.7,0.3,0.07,0.7,0.7,0.221399104,15.497937279999999
0.7,0.3,0.07,0.7,0.7,0.221399104,15.497937279999999
0.7,0.3,0.07,0.7,0.7,0.221399104,15.497937279999999
0.7,0.3,0.07,0.7,0.7,0.221399104,15.497937279999999
0.7,0.3,0.07,0.9,0.7,0.174979007,15.748110630000001
0.7,0.3,0.07,0.9,0.7,0.174979007,15.748110630000001
0.7,0.3,0.07,0.9,0.7,0.174979007,15.748110630000001
0.7,0.3,0.07,0.9,0.7,0.174979007,15.748110630000001
0.7,0.3,0.07,0.9,0.7,0.174979007,15.748110630000001
0.7,0.3,0.07,0.9,0.7,0.174979007,15.748110630000001
0.7,0.3,0.07,0.9,0.7,0.174979007,15.748110630000001
0.7,0.3,0.1,0.1,0.7,0.594888797,5.9488879699999995
0.7,0.3,0.1,0.1,0.7,0.594888797,5.9488879699999995
0.7,0.3,0.1,0.1,0.7,0.594888797,5.9488879699999995
0.7,0.3,0.1,0.1,0.7,0.594888797,5.9488879699999995
0.7,0.3,0.1,0.1,0.7,0.594888797,5.9488879699999995
0.7,0.3,0.1,0.1,0.7,0.594888797,5.9488879699999995
0.7,0.3,0.1,0.1,0.7,0.594888797,5.9488879699999995
0.7,0.3,0.1,0.3,0.7,0.509893397,15.29680191
0.7,0.3,0.1,0.3,0.7,0.509893397,15.29680191
0.7,0.3,0.1,0.3,0.7,0.509893397,15.29680191
0.7,0.3,0.1,0.3,0.7,0.509893397,15.29680191
0.7,0.3,0.1,0.3,0.7,0.509893397,15.29680191
0.7,0.3,0.1,0.3,0.7,0.509893397,15.29680191
0.7,0.3,0.1,0.3,0.7,0.509893397,15.29680191
0.7,0.3,0.1,0.5,0.7,0.385991774,19.2995887
0.7,0.3,0.1,0.5,0.7,0.385991774,19.2995887
0.7,0.3,0.1,0.5,0.7,0.385991774,19.2995887
0.7,0.3,0.1,0.5,0.7,0.385991774,19.2995887
0.7,0.3,0.1,0.5,0.7,0.385991774,19.2995887
0.7,0.3,0.1,0.5,0.7,0.385991774,19.2995887
0.7,0.3,0.1,0.5,0.7,0.385991774,19.2995887
0.7,0.3,0.1,0.7,0.7,0.290489628,20.334273959999997
0.7,0.3,0.1,0.7,0.7,0.290489628,20.334273959999997
0.7,0.3,0.1,0.7,0.7,0.290489628,20.334273959999997
0.7,0.3,0.1,0.7,0.7,0.290489628,20.334273959999997
0.7,0.3,0.1,0.7,0.7,0.290489628,20.334273959999997
0.7,0.3,0.1,0.7,0.7,0.290489628,20.334273959999997
0.7,0.3,0.1,0.7,0.7,0.290489628,20.334273959999997
0.7,0.3,0.1,0.9,0.7,0.230409324,20.736839160000002
0.7,0.3,0.1,0.9,0.7,0.230409324,20.736839160000002
0.7,0.3,0.1,0.9,0.7,0.230409324,20.736839160000002
0.7,0.3,0.1,0.9,0.7,0.230409324,20.736839160000002
0.7,0.3,0.1,0.9,0.7,0.230409324,20.736839160000002
0.7,0.3,0.1,0.9,0.7,0.230409324,20.736839160000002
0.7,0.3,0.1,0.9,0.7,0.230409324,20.736839160000002
0.7,0.3,1.0,0.1,0.7,0.758726132,7.5872613200000005
0.7,0.3,1.0,0.1,0.7,0.758726132,7.5872613200000005
0.7,0.3,1.0,0.1,0.7,0.758726132,7.5872613200000005
0.7,0.3,1.0,0.1,0.7,0.758726132,7.5872613200000005
0.7,0.3,1.0,0.1,0.7,0.758726132,7.5872613200000005
0.7,0.3,1.0,0.1,0.7,0.758726132,7.5872613200000005
0.7,0.3,1.0,0.1,0.7,0.758726132,7.5872613200000005
0.7,0.3,1.0,0.3,0.7,0.751985948,22.559578439999996
0.7,0.3,1.0,0.3,0.7,0.751985948,22.559578439999996
0.7,0.3,1.0,0.3,0.7,0.751985948,22.559578439999996
0.7,0.3,1.0,0.3,0.7,0.751985948,22.559578439999996
0.7,0.3,1.0,0.3,0.7,0.751985948,22.559578439999996
0.7,0.3,1.0,0.3,0.7,0.751985948,22.559578439999996
0.7,0.3,1.0,0.3,0.7,0.751985948,22.559578439999996
0.7,0.3,1.0,0.5,0.7,0.672365015,33.61825075
0.7,0.3,1.0,0.5,0.7,0.672365015,33.61825075
0.7,0.3,1.0,0.5,0.7,0.672365015,33.61825075
0.7,0.3,1.0,0.5,0.7,0.672365015,33.61825075
0.7,0.3,1.0,0.5,0.7,0.672365015,33.61825075
0.7,0.3,1.0,0.5,0.7,0.672365015,33.61825075
0.7,0.3,1.0,0.5,0.7,0.672365015,33.61825075
0.7,0.3,1.0,0.7,0.7,0.506224728,35.435730959999994
0.7,0.3,1.0,0.7,0.7,0.506224728,35.435730959999994
0.7,0.3,1.0,0.7,0.7,0.506224728,35.435730959999994
0.7,0.3,1.0,0.7,0.7,0.506224728,35.435730959999994
0.7,0.3,1.0,0.7,0.7,0.506224728,35.435730959999994
0.7,0.3,1.0,0.7,0.7,0.506224728,35.435730959999994
0.7,0.3,1.0,0.7,0.7,0.506224728,35.435730959999994
0.7,0.3,1.0,0.9,0.7,0.398486551,35.86378959
0.7,0.3,1.0,0.9,0.7,0.398486551,35.86378959
0.7,0.3,1.0,0.9,0.7,0.398486551,35.86378959
0.7,0.3,1.0,0.9,0.7,0.398486551,35.86378959
0.7,0.3,1.0,0.9,0.7,0.398486551,35.86378959
0.7,0.3,1.0,0.9,0.7,0.398486551,35.86378959
0.7,0.3,1.0,0.9,0.7,0.398486551,35.86378959
0.7,0.3,3.0,0.1,0.7,0.771547792,7.7154779200000005
0.7,0.3,3.0,0.1,0.7,0.771547792,7.7154779200000005
0.7,0.3,3.0,0.1,0.7,0.771547792,7.7154779200000005
0.7,0.3,3.0,0.1,0.7,0.771547792,7.7154779200000005
0.7,0.3,3.0,0.1,0.7,0.771547792,7.7154779200000005
0.7,0.3,3.0,0.1,0.7,0.771547792,7.7154779200000005
0.7,0.3,3.0,0.1,0.7,0.771547792,7.7154779200000005
0.7,0.3,3.0,0.3,0.7,0.766486426,22.99459278
0.7,0.3,3.0,0.3,0.7,0.766486426,22.99459278
0.7,0.3,3.0,0.3,0.7,0.766486426,22.99459278
0.7,0.3,3.0,0.3,0.7,0.766486426,22.99459278
0.7,0.3,3.0,0.3,0.7,0.766486426,22.99459278
0.7,0.3,3.0,0.3,0.7,0.766486426,22.99459278
0.7,0.3,3.0,0.3,0.7,0.766486426,22.99459278
0.7,0.3,3.0,0.5,0.7,0.691971105,34.598555250000004
0.7,0.3,3.0,0.5,0.7,0.691971105,34.598555250000004
0.7,0.3,3.0,0.5,0.7,0.691971105,34.598555250000004
0.7,0.3,3.0,0.5,0.7,0.691971105,34.598555250000004
0.7,0.3,3.0,0.5,0.7,0.691971105,34.598555250000004
0.7,0.3,3.0,0.5,0.7,0.691971105,34.598555250000004
0.7,0.3,3.0,0.5,0.7,0.691971105,34.598555250000004
0.7,0.3,3.0,0.7,0.7,0.521836758,36.52857306
0.7,0.3,3.0,0.7,0.7,0.521836758,36.52857306
0.7,0.3,3.0,0.7,0.7,0.521836758,36.52857306
0.7,0.3,3.0,0.7,0.7,0.521836758,36.52857306
0.7,0.3,3.0,0.7,0.7,0.521836758,36.52857306
0.7,0.3,3.0,0.7,0.7,0.521836758,36.52857306
0.7,0.3,3.0,0.7,0.7,0.521836758,36.52857306
0.7,0.3,3.0,0.9,0.7,0.411181239,37.00631151
0.7,0.3,3.0,0.9,0.7,0.411181239,37.00631151
0.7,0.3,3.0,0.9,0.7,0.411181239,37.00631151
0.7,0.3,3.0,0.9,0.7,0.411181239,37.00631151
0.7,0.3,3.0,0.9,0.7,0.411181239,37.00631151
0.7,0.3,3.0,0.9,0.7,0.411181239,37.00631151
0.7,0.3,3.0,0.9,0.7,0.411181239,37.00631151
0.7,0.3,5.0,0.1,0.7,0.772784275,7.727842750000001
0.7,0.3,5.0,0.1,0.7,0.772784275,7.727842750000001
0.7,0.3,5.0,0.1,0.7,0.772784275,7.727842750000001
0.7,0.3,5.0,0.1,0.7,0.772784275,7.727842750000001
0.7,0.3,5.0,0.1,0.7,0.772784275,7.727842750000001
0.7,0.3,5.0,0.1,0.7,0.772784275,7.727842750000001
0.7,0.3,5.0,0.1,0.7,0.772784275,7.727842750000001
0.7,0.3,5.0,0.3,0.7,0.767999341,23.039980229999998
0.7,0.3,5.0,0.3,0.7,0.767999341,23.039980229999998
0.7,0.3,5.0,0.3,0.7,0.767999341,23.039980229999998
0.7,0.3,5.0,0.3,0.7,0.767999341,23.039980229999998
0.7,0.3,5.0,0.3,0.7,0.767999341,23.039980229999998
0.7,0.3,5.0,0.3,0.7,0.767999341,23.039980229999998
0.7,0.3,5.0,0.3,0.7,0.767999341,23.039980229999998
0.7,0.3,5.0,0.5,0.7,0.696656057,34.83280285
0.7,0.3,5.0,0.5,0.7,0.696656057,34.83280285
0.7,0.3,5.0,0.5,0.7,0.696656057,34.83280285
0.7,0.3,5.0,0.5,0.7,0.696656057,34.83280285
0.7,0.3,5.0,0.5,0.7,0.696656057,34.83280285
0.7,0.3,5.0,0.5,0.7,0.696656057,34.83280285
0.7,0.3,5.0,0.5,0.7,0.696656057,34.83280285
0.7,0.3,5.0,0.7,0.7,0.527769707,36.94387949
0.7,0.3,5.0,0.7,0.7,0.527769707,36.94387949
0.7,0.3,5.0,0.7,0.7,0.527769707,36.94387949
0.7,0.3,5.0,0.7,0.7,0.527769707,36.94387949
0.7,0.3,5.0,0.7,0.7,0.527769707,36.94387949
0.7,0.3,5.0,0.7,0.7,0.527769707,36.94387949
0.7,0.3,5.0,0.7,0.7,0.527769707,36.94387949
0.7,0.3,5.0,0.9,0.7,0.416505908,37.48553172
0.7,0.3,5.0,0.9,0.7,0.416505908,37.48553172
0.7,0.3,5.0,0.9,0.7,0.416505908,37.48553172
0.7,0.3,5.0,0.9,0.7,0.416505908,37.48553172
0.7,0.3,5.0,0.9,0.7,0.416505908,37.48553172
0.7,0.3,5.0,0.9,0.7,0.416505908,37.48553172
0.7,0.3,5.0,0.9,0.7,0.416505908,37.48553172
0.7,0.3,7.0,0.1,0.7,0.773143154,7.73143154
0.7,0.3,7.0,0.1,0.7,0.773143154,7.73143154
0.7,0.3,7.0,0.1,0.7,0.773143154,7.73143154
0.7,0.3,7.0,0.1,0.7,0.773143154,7.73143154
0.7,0.3,7.0,0.1,0.7,0.773143154,7.73143154
0.7,0.3,7.0,0.1,0.7,0.773143154,7.73143154
0.7,0.3,7.0,0.1,0.7,0.773143154,7.73143154
0.7,0.3,7.0,0.3,0.7,0.768481736,23.054452079999997
0.7,0.3,7.0,0.3,0.7,0.768481736,23.054452079999997
0.7,0.3,7.0,0.3,0.7,0.768481736,23.054452079999997
0.7,0.3,7.0,0.3,0.7,0.768481736,23.054452079999997
0.7,0.3,7.0,0.3,0.7,0.768481736,23.054452079999997
0.7,0.3,7.0,0.3,0.7,0.768481736,23.054452079999997
0.7,0.3,7.0,0.3,0.7,0.768481736,23.054452079999997
0.7,0.3,7.0,0.5,0.7,0.69924236,34.962118
0.7,0.3,7.0,0.5,0.7,0.69924236,34.962118
0.7,0.3,7.0,0.5,0.7,0.69924236,34.962118
0.7,0.3,7.0,0.5,0.7,0.69924236,34.962118
0.7,0.3,7.0,0.5,0.7,0.69924236,34.962118
0.7,0.3,7.0,0.5,0.7,0.69924236,34.962118
0.7,0.3,7.0,0.5,0.7,0.69924236,34.962118
0.7,0.3,7.0,0.7,0.7,0.531782926,37.224804819999996
0.7,0.3,7.0,0.7,0.7,0.531782926,37.224804819999996
0.7,0.3,7.0,0.7,0.7,0.531782926,37.224804819999996
0.7,0.3,7.0,0.7,0.7,0.531782926,37.224804819999996
0.7,0.3,7.0,0.7,0.7,0.531782926,37.224804819999996
0.7,0.3,7.0,0.7,0.7,0.531782926,37.224804819999996
0.7,0.3,7.0,0.7,0.7,0.531782926,37.224804819999996
0.7,0.3,7.0,0.9,0.7,0.420227122,37.82044098
0.7,0.3,7.0,0.9,0.7,0.420227122,37.82044098
0.7,0.3,7.0,0.9,0.7,0.420227122,37.82044098
0.7,0.3,7.0,0.9,0.7,0.420227122,37.82044098
0.7,0.3,7.0,0.9,0.7,0.420227122,37.82044098
0.7,0.3,7.0,0.9,0.7,0.420227122,37.82044098
0.7,0.3,7.0,0.9,0.7,0.420227122,37.82044098
0.7,0.7,0.07,0.1,0.7,0.490349208,4.90349208
0.7,0.7,0.07,0.1,0.7,0.490349208,4.90349208
0.7,0.7,0.07,0.1,0.7,0.490349208,4.90349208
0.7,0.7,0.07,0.1,0.7,0.490349208,4.90349208
0.7,0.7,0.07,0.1,0.7,0.490349208,4.90349208
