P700_red_initial,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,Phi2,Result
0.1,0.1,0.07,0.1,0.525843149,5.2584314899999995
0.4,0.1,0.07,0.1,0.525843149,5.2584314899999995
0.7,0.1,0.07,0.1,0.525843149,5.2584314899999995
1.0,0.1,0.07,0.1,0.525843149,5.2584314899999995
1.5,0.1,0.07,0.1,0.525843149,5.2584314899999995
2.0,0.1,0.07,0.1,0.525843149,5.2584314899999995
4.0,0.1,0.07,0.1,0.525843149,5.2584314899999995
6.0,0.1,0.07,0.1,0.525843149,5.2584314899999995
8.0,0.1,0.07,0.1,0.525843149,5.2584314899999995
10.0,0.1,0.07,0.1,0.525843149,5.2584314899999995
0.1,0.1,0.07,0.1889,0.283323591,5.3519826339900005
0.4,0.1,0.07,0.1889,0.283323591,5.3519826339900005
0.7,0.1,0.07,0.1889,0.283323591,5.3519826339900005
1.0,0.1,0.07,0.1889,0.283323591,5.3519826339900005
1.5,0.1,0.07,0.1889,0.283323591,5.3519826339900005
2.0,0.1,0.07,0.1889,0.283323591,5.3519826339900005
4.0,0.1,0.07,0.1889,0.283323591,5.3519826339900005
6.0,0.1,0.07,0.1889,0.283323591,5.3519826339900005
8.0,0.1,0.07,0.1889,0.283323591,5.3519826339900005
10.0,0.1,0.07,0.1889,0.283323591,5.3519826339900005
0.1,0.1,0.07,0.2778,0.193357659,5.37147576702
0.4,0.1,0.07,0.2778,0.193357659,5.37147576702
0.7,0.1,0.07,0.2778,0.193357659,5.37147576702
1.0,0.1,0.07,0.2778,0.193357659,5.37147576702
1.5,0.1,0.07,0.2778,0.193357659,5.37147576702
2.0,0.1,0.07,0.2778,0.193357659,5.37147576702
4.0,0.1,0.07,0.2778,0.193357659,5.37147576702
6.0,0.1,0.07,0.2778,0.193357659,5.37147576702
8.0,0.1,0.07,0.2778,0.193357659,5.37147576702
10.0,0.1,0.07,0.2778,0.193357659,5.37147576702
0.1,0.1,0.07,0.3667,0.14672152,5.3802781384
0.4,0.1,0.07,0.3667,0.14672152,5.3802781384
0.7,0.1,0.07,0.3667,0.14672152,5.3802781384
1.0,0.1,0.07,0.3667,0.14672152,5.3802781384
1.5,0.1,0.07,0.3667,0.14672152,5.3802781384
2.0,0.1,0.07,0.3667,0.14672152,5.3802781384
4.0,0.1,0.07,0.3667,0.14672152,5.3802781384
6.0,0.1,0.07,0.3667,0.14672152,5.3802781384
8.0,0.1,0.07,0.3667,0.14672152,5.3802781384
10.0,0.1,0.07,0.3667,0.14672152,5.3802781384
0.1,0.1,0.07,0.4556,0.118187784,5.38463543904
0.4,0.1,0.07,0.4556,0.118187784,5.38463543904
0.7,0.1,0.07,0.4556,0.118187784,5.38463543904
1.0,0.1,0.07,0.4556,0.118187784,5.38463543904
1.5,0.1,0.07,0.4556,0.118187784,5.38463543904
2.0,0.1,0.07,0.4556,0.118187784,5.38463543904
4.0,0.1,0.07,0.4556,0.118187784,5.38463543904
6.0,0.1,0.07,0.4556,0.118187784,5.38463543904
8.0,0.1,0.07,0.4556,0.118187784,5.38463543904
10.0,0.1,0.07,0.4556,0.118187784,5.38463543904
0.1,0.1,0.07,0.5444,0.098963753,5.38758671332
0.4,0.1,0.07,0.5444,0.098963753,5.38758671332
0.7,0.1,0.07,0.5444,0.098963753,5.38758671332
1.0,0.1,0.07,0.5444,0.098963753,5.38758671332
1.5,0.1,0.07,0.5444,0.098963753,5.38758671332
2.0,0.1,0.07,0.5444,0.098963753,5.38758671332
4.0,0.1,0.07,0.5444,0.098963753,5.38758671332
6.0,0.1,0.07,0.5444,0.098963753,5.38758671332
8.0,0.1,0.07,0.5444,0.098963753,5.38758671332
10.0,0.1,0.07,0.5444,0.098963753,5.38758671332
0.1,0.1,0.07,0.6333,0.085103079,5.38957799307
0.4,0.1,0.07,0.6333,0.085103079,5.38957799307
0.7,0.1,0.07,0.6333,0.085103079,5.38957799307
1.0,0.1,0.07,0.6333,0.085103079,5.38957799307
1.5,0.1,0.07,0.6333,0.085103079,5.38957799307
2.0,0.1,0.07,0.6333,0.085103079,5.38957799307
4.0,0.1,0.07,0.6333,0.085103079,5.38957799307
6.0,0.1,0.07,0.6333,0.085103079,5.38957799307
8.0,0.1,0.07,0.6333,0.085103079,5.38957799307
10.0,0.1,0.07,0.6333,0.085103079,5.38957799307
0.1,0.1,0.07,0.7222,0.074650149,5.39123376078
0.4,0.1,0.07,0.7222,0.074650149,5.39123376078
0.7,0.1,0.07,0.7222,0.074650149,5.39123376078
1.0,0.1,0.07,0.7222,0.074650149,5.39123376078
1.5,0.1,0.07,0.7222,0.074650149,5.39123376078
2.0,0.1,0.07,0.7222,0.074650149,5.39123376078
4.0,0.1,0.07,0.7222,0.074650149,5.39123376078
6.0,0.1,0.07,0.7222,0.074650149,5.39123376078
8.0,0.1,0.07,0.7222,0.074650149,5.39123376078
10.0,0.1,0.07,0.7222,0.074650149,5.39123376078
0.1,0.1,0.07,0.8111,0.066482085,5.39236191435
0.4,0.1,0.07,0.8111,0.066482085,5.39236191435
0.7,0.1,0.07,0.8111,0.066482085,5.39236191435
1.0,0.1,0.07,0.8111,0.066482085,5.39236191435
1.5,0.1,0.07,0.8111,0.066482085,5.39236191435
2.0,0.1,0.07,0.8111,0.066482085,5.39236191435
4.0,0.1,0.07,0.8111,0.066482085,5.39236191435
6.0,0.1,0.07,0.8111,0.066482085,5.39236191435
8.0,0.1,0.07,0.8111,0.066482085,5.39236191435
10.0,0.1,0.07,0.8111,0.066482085,5.39236191435
0.1,0.1,0.07,0.9,0.059926609,5.393394809999999
0.4,0.1,0.07,0.9,0.059926609,5.393394809999999
0.7,0.1,0.07,0.9,0.059926609,5.393394809999999
1.0,0.1,0.07,0.9,0.059926609,5.393394809999999
1.5,0.1,0.07,0.9,0.059926609,5.393394809999999
2.0,0.1,0.07,0.9,0.059926609,5.393394809999999
4.0,0.1,0.07,0.9,0.059926609,5.393394809999999
6.0,0.1,0.07,0.9,0.059926609,5.393394809999999
8.0,0.1,0.07,0.9,0.059926609,5.393394809999999
10.0,0.1,0.07,0.9,0.059926609,5.393394809999999
0.1,0.1,0.1,0.1,0.532622828,5.3262282800000005
0.4,0.1,0.1,0.1,0.532622828,5.3262282800000005
0.7,0.1,0.1,0.1,0.532622828,5.3262282800000005
1.0,0.1,0.1,0.1,0.532622828,5.3262282800000005
1.5,0.1,0.1,0.1,0.532622828,5.3262282800000005
2.0,0.1,0.1,0.1,0.532622828,5.3262282800000005
4.0,0.1,0.1,0.1,0.532622828,5.3262282800000005
6.0,0.1,0.1,0.1,0.532622828,5.3262282800000005
8.0,0.1,0.1,0.1,0.532622828,5.3262282800000005
10.0,0.1,0.1,0.1,0.532622828,5.3262282800000005
0.1,0.1,0.1,0.1889,0.287350011,5.42804170779
0.4,0.1,0.1,0.1889,0.287350011,5.42804170779
0.7,0.1,0.1,0.1889,0.287350011,5.42804170779
1.0,0.1,0.1,0.1889,0.287350011,5.42804170779
1.5,0.1,0.1,0.1889,0.287350011,5.42804170779
2.0,0.1,0.1,0.1889,0.287350011,5.42804170779
4.0,0.1,0.1,0.1889,0.287350011,5.42804170779
6.0,0.1,0.1,0.1889,0.287350011,5.42804170779
8.0,0.1,0.1,0.1889,0.287350011,5.42804170779
10.0,0.1,0.1,0.1889,0.287350011,5.42804170779
0.1,0.1,0.1,0.2778,0.196156591,5.44923009798
0.4,0.1,0.1,0.2778,0.196156591,5.44923009798
0.7,0.1,0.1,0.2778,0.196156591,5.44923009798
1.0,0.1,0.1,0.2778,0.196156591,5.44923009798
1.5,0.1,0.1,0.2778,0.196156591,5.44923009798
2.0,0.1,0.1,0.2778,0.196156591,5.44923009798
4.0,0.1,0.1,0.2778,0.196156591,5.44923009798
6.0,0.1,0.1,0.2778,0.196156591,5.44923009798
8.0,0.1,0.1,0.2778,0.196156591,5.44923009798
10.0,0.1,0.1,0.2778,0.196156591,5.44923009798
0.1,0.1,0.1,0.3667,0.148850806,5.458359056020001
0.4,0.1,0.1,0.3667,0.148850806,5.458359056020001
0.7,0.1,0.1,0.3667,0.148850806,5.458359056020001
1.0,0.1,0.1,0.3667,0.148850806,5.458359056020001
1.5,0.1,0.1,0.3667,0.148850806,5.458359056020001
2.0,0.1,0.1,0.3667,0.148850806,5.458359056020001
4.0,0.1,0.1,0.3667,0.148850806,5.458359056020001
6.0,0.1,0.1,0.3667,0.148850806,5.458359056020001
8.0,0.1,0.1,0.3667,0.148850806,5.458359056020001
10.0,0.1,0.1,0.3667,0.148850806,5.458359056020001
0.1,0.1,0.1,0.4556,0.119914534,5.463306169040001
0.4,0.1,0.1,0.4556,0.119914534,5.463306169040001
0.7,0.1,0.1,0.4556,0.119914534,5.463306169040001
1.0,0.1,0.1,0.4556,0.119914534,5.463306169040001
1.5,0.1,0.1,0.4556,0.119914534,5.463306169040001
2.0,0.1,0.1,0.4556,0.119914534,5.463306169040001
4.0,0.1,0.1,0.4556,0.119914534,5.463306169040001
6.0,0.1,0.1,0.4556,0.119914534,5.463306169040001
8.0,0.1,0.1,0.4556,0.119914534,5.463306169040001
10.0,0.1,0.1,0.4556,0.119914534,5.463306169040001
0.1,0.1,0.1,0.5444,0.100417392,5.466722820479999
0.4,0.1,0.1,0.5444,0.100417392,5.466722820479999
0.7,0.1,0.1,0.5444,0.100417392,5.466722820479999
1.0,0.1,0.1,0.5444,0.100417392,5.466722820479999
1.5,0.1,0.1,0.5444,0.100417392,5.466722820479999
2.0,0.1,0.1,0.5444,0.100417392,5.466722820479999
4.0,0.1,0.1,0.5444,0.100417392,5.466722820479999
6.0,0.1,0.1,0.5444,0.100417392,5.466722820479999
8.0,0.1,0.1,0.5444,0.100417392,5.466722820479999
10.0,0.1,0.1,0.5444,0.100417392,5.466722820479999
0.1,0.1,0.1,0.6333,0.086356443,5.46895353519
0.4,0.1,0.1,0.6333,0.086356443,5.46895353519
0.7,0.1,0.1,0.6333,0.086356443,5.46895353519
1.0,0.1,0.1,0.6333,0.086356443,5.46895353519
1.5,0.1,0.1,0.6333,0.086356443,5.46895353519
2.0,0.1,0.1,0.6333,0.086356443,5.46895353519
4.0,0.1,0.1,0.6333,0.086356443,5.46895353519
6.0,0.1,0.1,0.6333,0.086356443,5.46895353519
8.0,0.1,0.1,0.6333,0.086356443,5.46895353519
10.0,0.1,0.1,0.6333,0.086356443,5.46895353519
0.1,0.1,0.1,0.7222,0.075751509,5.47077397998
0.4,0.1,0.1,0.7222,0.075751509,5.47077397998
0.7,0.1,0.1,0.7222,0.075751509,5.47077397998
1.0,0.1,0.1,0.7222,0.075751509,5.47077397998
1.5,0.1,0.1,0.7222,0.075751509,5.47077397998
2.0,0.1,0.1,0.7222,0.075751509,5.47077397998
4.0,0.1,0.1,0.7222,0.075751509,5.47077397998
6.0,0.1,0.1,0.7222,0.075751509,5.47077397998
8.0,0.1,0.1,0.7222,0.075751509,5.47077397998
10.0,0.1,0.1,0.7222,0.075751509,5.47077397998
0.1,0.1,0.1,0.8111,0.067464836,5.47207284796
0.4,0.1,0.1,0.8111,0.067464836,5.47207284796
0.7,0.1,0.1,0.8111,0.067464836,5.47207284796
1.0,0.1,0.1,0.8111,0.067464836,5.47207284796
1.5,0.1,0.1,0.8111,0.067464836,5.47207284796
2.0,0.1,0.1,0.8111,0.067464836,5.47207284796
4.0,0.1,0.1,0.8111,0.067464836,5.47207284796
6.0,0.1,0.1,0.8111,0.067464836,5.47207284796
8.0,0.1,0.1,0.8111,0.067464836,5.47207284796
10.0,0.1,0.1,0.8111,0.067464836,5.47207284796
0.1,0.1,0.1,0.9,0.060810779,5.47297011
0.4,0.1,0.1,0.9,0.060810779,5.47297011
0.7,0.1,0.1,0.9,0.060810779,5.47297011
1.0,0.1,0.1,0.9,0.060810779,5.47297011
1.5,0.1,0.1,0.9,0.060810779,5.47297011
2.0,0.1,0.1,0.9,0.060810779,5.47297011
4.0,0.1,0.1,0.9,0.060810779,5.47297011
6.0,0.1,0.1,0.9,0.060810779,5.47297011
8.0,0.1,0.1,0.9,0.060810779,5.47297011
10.0,0.1,0.1,0.9,0.060810779,5.47297011
0.1,0.1,0.25,0.1,0.54895043,5.4895043
0.4,0.1,0.25,0.1,0.54895043,5.4895043
0.7,0.1,0.25,0.1,0.54895043,5.4895043
1.0,0.1,0.25,0.1,0.54895043,5.4895043
1.5,0.1,0.25,0.1,0.54895043,5.4895043
2.0,0.1,0.25,0.1,0.54895043,5.4895043
4.0,0.1,0.25,0.1,0.54895043,5.4895043
6.0,0.1,0.25,0.1,0.54895043,5.4895043
8.0,0.1,0.25,0.1,0.54895043,5.4895043
10.0,0.1,0.25,0.1,0.54895043,5.4895043
0.1,0.1,0.25,0.1889,0.297787086,5.62519805454
0.4,0.1,0.25,0.1889,0.297787086,5.62519805454
0.7,0.1,0.25,0.1889,0.297787086,5.62519805454
1.0,0.1,0.25,0.1889,0.297787086,5.62519805454
