ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,Phi2,Result
0.1,7.0,0.7,8.0,0.320128657,22.409005989999997
0.1,7.0,0.7,10.0,0.382107597,26.74753179
0.1,7.0,0.9,0.1,0.057567016,5.18103144
0.1,7.0,0.9,0.5,0.067416912,6.06752208
0.1,7.0,0.9,1.0,0.079592502,7.163325179999999
0.1,7.0,0.9,4.0,0.152556508,13.730085720000002
0.1,7.0,0.9,6.0,0.201138119,18.10243071
0.1,7.0,0.9,8.0,0.249681178,22.47130602
0.1,7.0,0.9,10.0,0.298168746,26.83518714
0.3,0.07,0.1,0.1,0.255484917,2.55484917
0.3,0.07,0.1,0.5,0.459861005,4.5986100500000004
0.3,0.07,0.1,1.0,0.493009265,4.93009265
0.3,0.07,0.1,4.0,0.597127331,5.971273310000001
0.3,0.07,0.1,6.0,0.659767409,6.59767409
0.3,0.07,0.1,8.0,0.720397758,7.203977580000001
0.3,0.07,0.1,10.0,0.778332583,7.78332583
0.3,0.07,0.3,0.1,0.133452025,4.00356075
0.3,0.07,0.3,0.5,0.159948553,4.79845659
0.3,0.07,0.3,1.0,0.168116892,5.04350676
0.3,0.07,0.3,4.0,0.20281292,6.0843875999999995
0.3,0.07,0.3,6.0,0.224784489,6.74353467
0.3,0.07,0.3,8.0,0.246636192,7.39908576
0.3,0.07,0.3,10.0,0.268427299,8.05281897
0.3,0.07,0.5,0.1,0.082990177,4.14950885
0.3,0.07,0.5,0.5,0.096346042,4.8173021
0.3,0.07,0.5,1.0,0.10111181,5.0555905
0.3,0.07,0.5,4.0,0.121900832,6.0950416
0.3,0.07,0.5,6.0,0.135103703,6.75518515
0.3,0.07,0.5,8.0,0.14824449,7.412224500000001
0.3,0.07,0.5,10.0,0.16135227,8.0676135
0.3,0.07,0.7,0.1,0.059983837,4.19886859
0.3,0.07,0.7,0.5,0.06892111,4.824477699999999
0.3,0.07,0.7,1.0,0.072290378,5.06032646
0.3,0.07,0.7,4.0,0.087136996,6.099589719999999
0.3,0.07,0.7,6.0,0.09657596,6.7603172
0.3,0.07,0.7,8.0,0.105958197,7.417073789999999
0.3,0.07,0.7,10.0,0.115341342,8.07389394
0.3,0.07,0.9,0.1,0.046923466,4.22311194
0.3,0.07,0.9,0.5,0.053645455,4.82809095
0.3,0.07,0.9,1.0,0.056253723,5.06283507
0.3,0.07,0.9,4.0,0.067798727,6.10188543
0.3,0.07,0.9,6.0,0.075131655,6.76184895
0.3,0.07,0.9,8.0,0.082439737,7.41957633
0.3,0.07,0.9,10.0,0.089733709,8.07603381
0.3,0.1,0.1,0.1,0.278688762,2.78688762
0.3,0.1,0.1,0.5,0.47713904,4.7713904000000005
0.3,0.1,0.1,1.0,0.507232244,5.072322440000001
0.3,0.1,0.1,4.0,0.619182168,6.191821680000001
0.3,0.1,0.1,6.0,0.688282508,6.882825080000001
0.3,0.1,0.1,8.0,0.754591122,7.545911220000001
0.3,0.1,0.1,10.0,0.816409756,8.16409756
0.3,0.1,0.3,0.1,0.143254199,4.2976259699999995
0.3,0.1,0.3,0.5,0.164782953,4.94348859
0.3,0.1,0.3,1.0,0.172678768,5.1803630400000005
0.3,0.1,0.3,4.0,0.210578135,6.31734405
0.3,0.1,0.3,6.0,0.235090653,7.052719590000001
0.3,0.1,0.3,8.0,0.259530156,7.78590468
0.3,0.1,0.3,10.0,0.283938016,8.51814048
0.3,0.1,0.5,0.1,0.088430398,4.4215199
0.3,0.1,0.5,0.5,0.099193793,4.9596896500000005
0.3,0.1,0.5,1.0,0.1038403,5.192015
0.3,0.1,0.5,4.0,0.12656909,6.328454499999999
0.3,0.1,0.5,6.0,0.141310123,7.065506150000001
0.3,0.1,0.5,8.0,0.156018083,7.80090415
0.3,0.1,0.5,10.0,0.170701428,8.5350714
0.3,0.1,0.7,0.1,0.063737837,4.46164859
0.3,0.1,0.7,0.5,0.07094408,4.9660856
0.3,0.1,0.7,1.0,0.074231703,5.196219209999999
0.3,0.1,0.7,4.0,0.09046573,6.332601099999999
0.3,0.1,0.7,6.0,0.101009468,7.07066276
0.3,0.1,0.7,8.0,0.111517708,7.806239559999999
0.3,0.1,0.7,10.0,0.122015763,8.54110341
0.3,0.1,0.9,0.1,0.049797023,4.4817320700000005
0.3,0.1,0.9,0.5,0.055209624,4.96886616
0.3,0.1,0.9,1.0,0.05776632,5.1989688
0.3,0.1,0.9,4.0,0.070384769,6.334629210000001
0.3,0.1,0.9,6.0,0.078591099,7.07319891
0.3,0.1,0.9,8.0,0.086766847,7.80901623
0.3,0.1,0.9,10.0,0.094931093,8.54379837
0.3,1.0,0.1,0.1,0.3205908,3.2059080000000004
0.3,1.0,0.1,0.5,0.514157302,5.14157302
0.3,1.0,0.1,1.0,0.554325148,5.54325148
0.3,1.0,0.1,4.0,0.75951083,7.595108300000001
0.3,1.0,0.1,6.0,0.863990736,8.63990736
0.3,1.0,0.1,8.0,0.924525309,9.24525309
0.3,1.0,0.1,10.0,0.95269783,9.5269783
0.3,1.0,0.3,0.1,0.164361786,4.930853580000001
0.3,1.0,0.3,0.5,0.177791937,5.333758110000001
0.3,1.0,0.3,1.0,0.190958294,5.72874882
0.3,1.0,0.3,4.0,0.26850204,8.055061199999999
0.3,1.0,0.3,6.0,0.320011765,9.60035295
0.3,1.0,0.3,8.0,0.37142318,11.142695400000001
0.3,1.0,0.3,10.0,0.422716396,12.681491879999998
0.3,1.0,0.5,0.1,0.09972991,4.9864955
0.3,1.0,0.5,0.5,0.107063357,5.35316785
0.3,1.0,0.5,1.0,0.11495475,5.7477374999999995
0.3,1.0,0.5,4.0,0.161675365,8.083768249999999
0.3,1.0,0.5,6.0,0.192759931,9.63799655
0.3,1.0,0.5,8.0,0.223834142,11.1917071
0.3,1.0,0.5,10.0,0.254890918,12.7445459
0.3,1.0,0.7,0.1,0.071484172,5.00389204
0.3,1.0,0.7,0.5,0.076580378,5.36062646
0.3,1.0,0.7,1.0,0.082212439,5.7548707299999995
0.3,1.0,0.7,4.0,0.115625663,8.09379641
0.3,1.0,0.7,6.0,0.137872939,9.65110573
0.3,1.0,0.7,8.0,0.160108317,11.20758219
0.3,1.0,0.7,10.0,0.182344165,12.76409155
0.3,1.0,0.9,0.1,0.055692246,5.01230214
0.3,1.0,0.9,0.5,0.059606594,5.36459346
0.3,1.0,0.9,1.0,0.063988112,5.75893008
0.3,1.0,0.9,4.0,0.089990564,8.09915076
0.3,1.0,0.9,6.0,0.107303338,9.65730042
0.3,1.0,0.9,8.0,0.124614755,11.215327949999999
0.3,1.0,0.9,10.0,0.141925445,12.773290050000002
0.3,3.0,0.1,0.1,0.322185383,3.22185383
0.3,3.0,0.1,0.5,0.524126004,5.24126004
0.3,3.0,0.1,1.0,0.577950693,5.77950693
0.3,3.0,0.1,4.0,0.833237052,8.33237052
0.3,3.0,0.1,6.0,0.917081748,9.17081748
0.3,3.0,0.1,8.0,0.950667664,9.50667664
0.3,3.0,0.1,10.0,0.965836106,9.65836106
0.3,3.0,0.3,0.1,0.166448111,4.993443330000001
0.3,3.0,0.3,0.5,0.183372278,5.5011683399999995
0.3,3.0,0.3,1.0,0.202116316,6.063489479999999
0.3,3.0,0.3,4.0,0.313454803,9.40364409
0.3,3.0,0.3,6.0,0.387306315,11.61918945
0.3,3.0,0.3,8.0,0.460790217,13.823706510000001
0.3,3.0,0.3,10.0,0.533750668,16.01252004
0.3,3.0,0.5,0.1,0.100965759,5.04828795
0.3,3.0,0.5,0.5,0.11056384,5.528192
0.3,3.0,0.5,1.0,0.121840612,6.0920306
0.3,3.0,0.5,4.0,0.189124411,9.45622055
0.3,3.0,0.5,6.0,0.233909171,11.69545855
0.3,3.0,0.5,8.0,0.278652973,13.93264865
0.3,3.0,0.5,10.0,0.323350462,16.1675231
0.3,3.0,0.7,0.1,0.07236963,5.0658741
0.3,3.0,0.7,0.5,0.079119964,5.5383974799999995
0.3,3.0,0.7,1.0,0.087182232,6.102756239999999
0.3,3.0,0.7,4.0,0.135343148,9.474020359999999
0.3,3.0,0.7,6.0,0.167425955,11.719816849999997
0.3,3.0,0.7,8.0,0.199492235,13.964456449999998
0.3,3.0,0.7,10.0,0.231552926,16.208704819999998
0.3,3.0,0.9,0.1,0.056385494,5.07469446
0.3,3.0,0.9,0.5,0.061598706,5.54388354
0.3,3.0,0.9,1.0,0.067870911,6.108381990000001
0.3,3.0,0.9,4.0,0.105368773,9.48318957
0.3,3.0,0.9,6.0,0.130352759,11.73174831
0.3,3.0,0.9,8.0,0.155333006,13.97997054
0.3,3.0,0.9,10.0,0.180301975,16.227177750000003
0.3,5.0,0.1,0.1,0.322461825,3.22461825
0.3,5.0,0.1,0.5,0.529379035,5.293790350000001
0.3,5.0,0.1,1.0,0.591135979,5.911359790000001
0.3,5.0,0.1,4.0,0.861850011,8.618500110000001
0.3,5.0,0.1,6.0,0.930623664,9.30623664
0.3,5.0,0.1,8.0,0.956754868,9.56754868
0.3,5.0,0.1,10.0,0.969072395,9.69072395
0.3,5.0,0.3,0.1,0.16713069,5.0139207
0.3,5.0,0.3,0.5,0.186613413,5.5984023899999995
0.3,5.0,0.3,1.0,0.208795468,6.26386404
0.3,5.0,0.3,4.0,0.340672787,10.220183609999998
0.3,5.0,0.3,6.0,0.42795975,12.838792500000002
0.3,5.0,0.3,8.0,0.514504446,15.43513338
0.3,5.0,0.3,10.0,0.599876569,17.996297069999997
0.3,5.0,0.5,0.1,0.101426704,5.0713352
0.3,5.0,0.5,0.5,0.112608639,5.63043195
0.3,5.0,0.5,1.0,0.125976642,6.2988321
0.3,5.0,0.5,4.0,0.205841035,10.29205175
0.3,5.0,0.5,6.0,0.258981302,12.949065100000002
0.3,5.0,0.5,8.0,0.3120482,15.602409999999999
0.3,5.0,0.5,10.0,0.365020523,18.251026149999998
0.3,5.0,0.7,0.1,0.072714606,5.0900224199999995
0.3,5.0,0.7,0.5,0.080607492,5.64252444
0.3,5.0,0.7,1.0,0.090171812,6.31202684
0.3,5.0,0.7,4.0,0.147372594,10.316081579999999
0.3,5.0,0.7,6.0,0.185472091,12.98304637
0.3,5.0,0.7,8.0,0.223546408,15.648248559999999
0.3,5.0,0.7,10.0,0.261598804,18.311916280000002
0.3,5.0,0.9,0.1,0.05666013,5.099411700000001
0.3,5.0,0.9,0.5,0.062766607,5.648994630000001
0.3,5.0,0.9,1.0,0.070209423,6.3188480700000005
0.3,5.0,0.9,4.0,0.114756036,10.328043240000001
0.3,5.0,0.9,6.0,0.14443559,12.9992031
0.3,5.0,0.9,8.0,0.174105633,15.669506970000002
0.3,5.0,0.9,10.0,0.203770861,18.33937749
0.3,7.0,0.1,0.1,0.32257511,3.2257511
0.3,7.0,0.1,0.5,0.533182784,5.33182784
0.3,7.0,0.1,1.0,0.600707704,6.00707704
0.3,7.0,0.1,4.0,0.87737559,8.773755900000001
0.3,7.0,0.1,6.0,0.93707003,9.370700300000001
0.3,7.0,0.1,8.0,0.959704165,9.59704165
0.3,7.0,0.1,10.0,0.970690942,9.70690942
0.3,7.0,0.3,0.1,0.167555845,5.0266753500000005
0.3,7.0,0.3,0.5,0.189060447,5.6718134099999995
0.3,7.0,0.3,1.0,0.213873001,6.41619003
0.3,7.0,0.3,4.0,0.361355875,10.84067625
0.3,7.0,0.3,6.0,0.458738518,13.762155539999998
0.3,7.0,0.3,8.0,0.55491428,16.6474284
0.3,7.0,0.3,10.0,0.648998397,19.469951909999995
0.3,7.0,0.5,0.1,0.101731761,5.0865880500000005
0.3,7.0,0.5,0.5,0.114157167,5.70785835
0.3,7.0,0.5,1.0,0.129130538,6.456526899999999
0.3,7.0,0.5,4.0,0.218596971,10.92984855
0.3,7.0,0.5,6.0,0.278111864,13.905593199999998
0.3,7.0,0.5,8.0,0.337510527,16.87552635
0.3,7.0,0.5,10.0,0.39675734,19.837867
0.3,7.0,0.7,0.1,0.072948927,5.1064248899999996
0.3,7.0,0.7,0.5,0.08173724,5.721606799999999
0.3,7.0,0.7,1.0,0.09244887,6.471420899999999
0.3,7.0,0.7,4.0,0.156559903,10.95919321
0.3,7.0,0.7,6.0,0.19925822,13.9480754
0.3,7.0,0.7,8.0,0.241919359,16.934355129999997
0.3,7.0,0.7,10.0,0.284546905,19.91828335
0.3,7.0,0.9,0.1,0.05684909,5.1164181
0.3,7.0,0.9,0.5,0.063653115,5.72878035
0.3,7.0,0.9,1.0,0.071992678,6.4793410200000014
0.3,7.0,0.9,4.0,0.12193201,10.9738809
0.3,7.0,0.9,6.0,0.155205145,13.968463049999999
0.3,7.0,0.9,8.0,0.188458811,16.96129299
0.3,7.0,0.9,10.0,0.221703217,19.953289530000003
0.7,0.07,0.1,0.1,0.185718459,1.8571845900000001
0.7,0.07,0.1,0.5,0.375805758,3.75805758
0.7,0.07,0.1,1.0,0.419938834,4.1993883400000005
0.7,0.07,0.1,4.0,0.515641168,5.156411680000001
0.7,0.07,0.1,6.0,0.56518628,5.651862800000001
0.7,0.07,0.1,8.0,0.612915416,6.12915416
0.7,0.07,0.1,10.0,0.659484257,6.594842570000001
0.7,0.07,0.3,0.1,0.098467186,2.95401558
0.7,0.07,0.3,0.5,0.134029919,4.02089757
0.7,0.07,0.3,1.0,0.144438224,4.33314672
0.7,0.07,0.3,4.0,0.174962538,5.24887614
0.7,0.07,0.3,6.0,0.191880487,5.756414609999999
0.7,0.07,0.3,8.0,0.20847187,6.254156099999999
0.7,0.07,0.3,10.0,0.224840885,6.74522655
0.7,0.07,0.5,0.1,0.062249522,3.1124761000000003
0.7,0.07,0.5,0.5,0.081008229,4.05041145
0.7,0.07,0.5,1.0,0.086998773,4.34993865
0.7,0.07,0.5,4.0,0.105169344,5.2584672
0.7,0.07,0.5,6.0,0.115350879,5.76754395
0.7,0.07,0.5,8.0,0.125283394,6.2641697
0.7,0.07,0.5,10.0,0.135157601,6.75788005
0.7,0.07,0.7,0.1,0.045302334,3.17116338
0.7,0.07,0.7,0.5,0.058021556,4.06150892
0.7,0.07,0.7,1.0,0.062239793,4.35678551
0.7,0.07,0.7,4.0,0.075180398,5.262627859999999
0.7,0.07,0.7,6.0,0.082440267,5.77081869
0.7,0.07,0.7,8.0,0.089550425,6.26852975
0.7,0.07,0.7,10.0,0.09660962,6.7626734
0.7,0.07,0.9,0.1,0.035564923,3.20084307
0.7,0.07,0.9,0.5,0.045194257,4.06748313
0.7,0.07,0.9,1.0,0.048452612,4.3607350799999995
0.7,0.07,0.9,4.0,0.058510416,5.26593744
0.7,0.07,0.9,6.0,0.064147785,5.77330065
0.7,0.07,0.9,8.0,0.069675303,6.27077727
0.7,0.07,0.9,10.0,0.075177223,6.76595007
0.7,0.1,0.1,0.1,0.21530539,2.1530539
0.7,0.1,0.1,0.5,0.419838201,4.19838201
0.7,0.1,0.1,1.0,0.460140588,4.601405880000001
0.7,0.1,0.1,4.0,0.5582132,5.582132
0.7,0.1,0.1,6.0,0.61300276,6.1300276
0.7,0.1,0.1,8.0,0.666095741,6.66095741
0.7,0.1,0.1,10.0,0.717664229,7.17664229
0.7,0.1,0.3,0.1,0.114815773,3.4444731899999996
0.7,0.1,0.3,0.5,0.148310029,4.44930087
0.7,0.1,0.3,1.0,0.157697471,4.73092413
0.7,0.1,0.3,4.0,0.189495898,5.68487694
0.7,0.1,0.3,6.0,0.208437352,6.25312056
0.7,0.1,0.3,8.0,0.227148003,6.81444009
0.7,0.1,0.3,10.0,0.245762948,7.37288844
0.7,0.1,0.5,0.1,0.072211216,3.6105607999999996
0.7,0.1,0.5,0.5,0.089491262,4.4745631
0.7,0.1,0.5,1.0,0.094918413,4.7459206499999995
0.7,0.1,0.5,4.0,0.113909042,5.6954521
0.7,0.1,0.5,6.0,0.125283549,6.26417745
0.7,0.1,0.5,8.0,0.136529199,6.826459949999999
0.7,0.1,0.5,10.0,0.147736535,7.38682675
0.7,0.1,0.7,0.1,0.052419977,3.6693983899999996
0.7,0.1,0.7,0.5,0.064064726,4.48453082
0.7,0.1,0.7,1.0,0.067878696,4.75150872
0.7,0.1,0.7,4.0,0.081418799,5.69931593
