ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial
0.1,1.61,0.63333333,10.0,2.3
0.1,1.61,0.72222222,0.1,2.3
0.1,1.61,0.72222222,1.2,2.3
0.1,1.61,0.72222222,2.3,2.3
0.1,1.61,0.72222222,3.4,2.3
0.1,1.61,0.72222222,4.5,2.3
0.1,1.61,0.72222222,5.6,2.3
0.1,1.61,0.72222222,6.7,2.3
0.1,1.61,0.72222222,7.8,2.3
0.1,1.61,0.72222222,8.9,2.3
0.1,1.61,0.72222222,10.0,2.3
0.1,1.61,0.81111111,0.1,2.3
0.1,1.61,0.81111111,1.2,2.3
0.1,1.61,0.81111111,2.3,2.3
0.1,1.61,0.81111111,3.4,2.3
0.1,1.61,0.81111111,4.5,2.3
0.1,1.61,0.81111111,5.6,2.3
0.1,1.61,0.81111111,6.7,2.3
0.1,1.61,0.81111111,7.8,2.3
0.1,1.61,0.81111111,8.9,2.3
0.1,1.61,0.81111111,10.0,2.3
0.1,1.61,0.9,0.1,2.3
0.1,1.61,0.9,1.2,2.3
0.1,1.61,0.9,2.3,2.3
0.1,1.61,0.9,3.4,2.3
0.1,1.61,0.9,4.5,2.3
0.1,1.61,0.9,5.6,2.3
0.1,1.61,0.9,6.7,2.3
0.1,1.61,0.9,7.8,2.3
0.1,1.61,0.9,8.9,2.3
0.1,1.61,0.9,10.0,2.3
0.1,2.38,0.1,0.1,3.4
0.1,2.38,0.1,1.2,3.4
0.1,2.38,0.1,2.3,3.4
0.1,2.38,0.1,3.4,3.4
0.1,2.38,0.1,4.5,3.4
0.1,2.38,0.1,5.6,3.4
0.1,2.38,0.1,6.7,3.4
0.1,2.38,0.1,7.8,3.4
0.1,2.38,0.1,8.9,3.4
0.1,2.38,0.1,10.0,3.4
0.1,2.38,0.18888889,0.1,3.4
0.1,2.38,0.18888889,1.2,3.4
0.1,2.38,0.18888889,2.3,3.4
0.1,2.38,0.18888889,3.4,3.4
0.1,2.38,0.18888889,4.5,3.4
0.1,2.38,0.18888889,5.6,3.4
0.1,2.38,0.18888889,6.7,3.4
0.1,2.38,0.18888889,7.8,3.4
0.1,2.38,0.18888889,8.9,3.4
0.1,2.38,0.18888889,10.0,3.4
0.1,2.38,0.27777778,0.1,3.4
0.1,2.38,0.27777778,1.2,3.4
0.1,2.38,0.27777778,2.3,3.4
0.1,2.38,0.27777778,3.4,3.4
0.1,2.38,0.27777778,4.5,3.4
0.1,2.38,0.27777778,5.6,3.4
0.1,2.38,0.27777778,6.7,3.4
0.1,2.38,0.27777778,7.8,3.4
0.1,2.38,0.27777778,8.9,3.4
0.1,2.38,0.27777778,10.0,3.4
0.1,2.38,0.36666667,0.1,3.4
0.1,2.38,0.36666667,1.2,3.4
0.1,2.38,0.36666667,2.3,3.4
0.1,2.38,0.36666667,3.4,3.4
0.1,2.38,0.36666667,4.5,3.4
0.1,2.38,0.36666667,5.6,3.4
0.1,2.38,0.36666667,6.7,3.4
