P700_red_initial,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,Phi2
0.1,0.1,0.07,0.1,0.525843149
0.4,0.1,0.07,0.1,0.525843149
0.7,0.1,0.07,0.1,0.525843149
1,0.1,0.07,0.1,0.525843149
1.5,0.1,0.07,0.1,0.525843149
2,0.1,0.07,0.1,0.525843149
4,0.1,0.07,0.1,0.525843149
6,0.1,0.07,0.1,0.525843149
8,0.1,0.07,0.1,0.525843149
10,0.1,0.07,0.1,0.525843149
0.1,0.1,0.07,0.1889,0.283323591
0.4,0.1,0.07,0.1889,0.283323591
0.7,0.1,0.07,0.1889,0.283323591
1,0.1,0.07,0.1889,0.283323591
1.5,0.1,0.07,0.1889,0.283323591
2,0.1,0.07,0.1889,0.283323591
4,0.1,0.07,0.1889,0.283323591
6,0.1,0.07,0.1889,0.283323591
8,0.1,0.07,0.1889,0.283323591
10,0.1,0.07,0.1889,0.283323591
0.1,0.1,0.07,0.2778,0.193357659
0.4,0.1,0.07,0.2778,0.193357659
0.7,0.1,0.07,0.2778,0.193357659
1,0.1,0.07,0.2778,0.193357659
1.5,0.1,0.07,0.2778,0.193357659
2,0.1,0.07,0.2778,0.193357659
4,0.1,0.07,0.2778,0.193357659
6,0.1,0.07,0.2778,0.193357659
8,0.1,0.07,0.2778,0.193357659
10,0.1,0.07,0.2778,0.193357659
0.1,0.1,0.07,0.3667,0.14672152
0.4,0.1,0.07,0.3667,0.14672152
0.7,0.1,0.07,0.3667,0.14672152
1,0.1,0.07,0.3667,0.14672152
1.5,0.1,0.07,0.3667,0.14672152
2,0.1,0.07,0.3667,0.14672152
4,0.1,0.07,0.3667,0.14672152
6,0.1,0.07,0.3667,0.14672152
8,0.1,0.07,0.3667,0.14672152
10,0.1,0.07,0.3667,0.14672152
0.1,0.1,0.07,0.4556,0.118187784
0.4,0.1,0.07,0.4556,0.118187784
0.7,0.1,0.07,0.4556,0.118187784
1,0.1,0.07,0.4556,0.118187784
1.5,0.1,0.07,0.4556,0.118187784
2,0.1,0.07,0.4556,0.118187784
4,0.1,0.07,0.4556,0.118187784
6,0.1,0.07,0.4556,0.118187784
8,0.1,0.07,0.4556,0.118187784
10,0.1,0.07,0.4556,0.118187784
0.1,0.1,0.07,0.5444,0.098963753
0.4,0.1,0.07,0.5444,0.098963753
0.7,0.1,0.07,0.5444,0.098963753
1,0.1,0.07,0.5444,0.098963753
1.5,0.1,0.07,0.5444,0.098963753
2,0.1,0.07,0.5444,0.098963753
4,0.1,0.07,0.5444,0.098963753
6,0.1,0.07,0.5444,0.098963753
8,0.1,0.07,0.5444,0.098963753
10,0.1,0.07,0.5444,0.098963753
0.1,0.1,0.07,0.6333,0.085103079
0.4,0.1,0.07,0.6333,0.085103079
0.7,0.1,0.07,0.6333,0.085103079
1,0.1,0.07,0.6333,0.085103079
1.5,0.1,0.07,0.6333,0.085103079
2,0.1,0.07,0.6333,0.085103079
4,0.1,0.07,0.6333,0.085103079
6,0.1,0.07,0.6333,0.085103079
8,0.1,0.07,0.6333,0.085103079
10,0.1,0.07,0.6333,0.085103079
0.1,0.1,0.07,0.7222,0.074650149
0.4,0.1,0.07,0.7222,0.074650149
0.7,0.1,0.07,0.7222,0.074650149
1,0.1,0.07,0.7222,0.074650149
1.5,0.1,0.07,0.7222,0.074650149
2,0.1,0.07,0.7222,0.074650149
4,0.1,0.07,0.7222,0.074650149
6,0.1,0.07,0.7222,0.074650149
8,0.1,0.07,0.7222,0.074650149
10,0.1,0.07,0.7222,0.074650149
0.1,0.1,0.07,0.8111,0.066482085
0.4,0.1,0.07,0.8111,0.066482085
0.7,0.1,0.07,0.8111,0.066482085
1,0.1,0.07,0.8111,0.066482085
1.5,0.1,0.07,0.8111,0.066482085
2,0.1,0.07,0.8111,0.066482085
4,0.1,0.07,0.8111,0.066482085
6,0.1,0.07,0.8111,0.066482085
8,0.1,0.07,0.8111,0.066482085
10,0.1,0.07,0.8111,0.066482085
0.1,0.1,0.07,0.9,0.059926609
0.4,0.1,0.07,0.9,0.059926609
0.7,0.1,0.07,0.9,0.059926609
1,0.1,0.07,0.9,0.059926609
1.5,0.1,0.07,0.9,0.059926609
2,0.1,0.07,0.9,0.059926609
4,0.1,0.07,0.9,0.059926609
6,0.1,0.07,0.9,0.059926609
8,0.1,0.07,0.9,0.059926609
10,0.1,0.07,0.9,0.059926609
0.1,0.1,0.1,0.1,0.532622828
0.4,0.1,0.1,0.1,0.532622828
0.7,0.1,0.1,0.1,0.532622828
1,0.1,0.1,0.1,0.532622828
1.5,0.1,0.1,0.1,0.532622828
2,0.1,0.1,0.1,0.532622828
4,0.1,0.1,0.1,0.532622828
6,0.1,0.1,0.1,0.532622828
8,0.1,0.1,0.1,0.532622828
10,0.1,0.1,0.1,0.532622828
0.1,0.1,0.1,0.1889,0.287350011
0.4,0.1,0.1,0.1889,0.287350011
0.7,0.1,0.1,0.1889,0.287350011
1,0.1,0.1,0.1889,0.287350011
1.5,0.1,0.1,0.1889,0.287350011
2,0.1,0.1,0.1889,0.287350011
4,0.1,0.1,0.1889,0.287350011
6,0.1,0.1,0.1889,0.287350011
8,0.1,0.1,0.1889,0.287350011
10,0.1,0.1,0.1889,0.287350011
0.1,0.1,0.1,0.2778,0.196156591
0.4,0.1,0.1,0.2778,0.196156591
0.7,0.1,0.1,0.2778,0.196156591
1,0.1,0.1,0.2778,0.196156591
1.5,0.1,0.1,0.2778,0.196156591
2,0.1,0.1,0.2778,0.196156591
4,0.1,0.1,0.2778,0.196156591
6,0.1,0.1,0.2778,0.196156591
8,0.1,0.1,0.2778,0.196156591
10,0.1,0.1,0.2778,0.196156591
0.1,0.1,0.1,0.3667,0.148850806
0.4,0.1,0.1,0.3667,0.148850806
0.7,0.1,0.1,0.3667,0.148850806
1,0.1,0.1,0.3667,0.148850806
1.5,0.1,0.1,0.3667,0.148850806
2,0.1,0.1,0.3667,0.148850806
4,0.1,0.1,0.3667,0.148850806
6,0.1,0.1,0.3667,0.148850806
8,0.1,0.1,0.3667,0.148850806
10,0.1,0.1,0.3667,0.148850806
0.1,0.1,0.1,0.4556,0.119914534
0.4,0.1,0.1,0.4556,0.119914534
0.7,0.1,0.1,0.4556,0.119914534
1,0.1,0.1,0.4556,0.119914534
1.5,0.1,0.1,0.4556,0.119914534
2,0.1,0.1,0.4556,0.119914534
4,0.1,0.1,0.4556,0.119914534
6,0.1,0.1,0.4556,0.119914534
8,0.1,0.1,0.4556,0.119914534
10,0.1,0.1,0.4556,0.119914534
0.1,0.1,0.1,0.5444,0.100417392
0.4,0.1,0.1,0.5444,0.100417392
0.7,0.1,0.1,0.5444,0.100417392
1,0.1,0.1,0.5444,0.100417392
1.5,0.1,0.1,0.5444,0.100417392
2,0.1,0.1,0.5444,0.100417392
4,0.1,0.1,0.5444,0.100417392
6,0.1,0.1,0.5444,0.100417392
8,0.1,0.1,0.5444,0.100417392
10,0.1,0.1,0.5444,0.100417392
0.1,0.1,0.1,0.6333,0.086356443
0.4,0.1,0.1,0.6333,0.086356443
0.7,0.1,0.1,0.6333,0.086356443
1,0.1,0.1,0.6333,0.086356443
1.5,0.1,0.1,0.6333,0.086356443
2,0.1,0.1,0.6333,0.086356443
4,0.1,0.1,0.6333,0.086356443
6,0.1,0.1,0.6333,0.086356443
8,0.1,0.1,0.6333,0.086356443
10,0.1,0.1,0.6333,0.086356443
0.1,0.1,0.1,0.7222,0.075751509
0.4,0.1,0.1,0.7222,0.075751509
0.7,0.1,0.1,0.7222,0.075751509
1,0.1,0.1,0.7222,0.075751509
1.5,0.1,0.1,0.7222,0.075751509
2,0.1,0.1,0.7222,0.075751509
4,0.1,0.1,0.7222,0.075751509
6,0.1,0.1,0.7222,0.075751509
8,0.1,0.1,0.7222,0.075751509
10,0.1,0.1,0.7222,0.075751509
0.1,0.1,0.1,0.8111,0.067464836
0.4,0.1,0.1,0.8111,0.067464836
0.7,0.1,0.1,0.8111,0.067464836
1,0.1,0.1,0.8111,0.067464836
1.5,0.1,0.1,0.8111,0.067464836
2,0.1,0.1,0.8111,0.067464836
4,0.1,0.1,0.8111,0.067464836
6,0.1,0.1,0.8111,0.067464836
8,0.1,0.1,0.8111,0.067464836
10,0.1,0.1,0.8111,0.067464836
0.1,0.1,0.1,0.9,0.060810779
0.4,0.1,0.1,0.9,0.060810779
0.7,0.1,0.1,0.9,0.060810779
1,0.1,0.1,0.9,0.060810779
1.5,0.1,0.1,0.9,0.060810779
2,0.1,0.1,0.9,0.060810779
4,0.1,0.1,0.9,0.060810779
6,0.1,0.1,0.9,0.060810779
8,0.1,0.1,0.9,0.060810779
10,0.1,0.1,0.9,0.060810779
0.1,0.1,0.25,0.1,0.54895043
0.4,0.1,0.25,0.1,0.54895043
0.7,0.1,0.25,0.1,0.54895043
1,0.1,0.25,0.1,0.54895043
1.5,0.1,0.25,0.1,0.54895043
2,0.1,0.25,0.1,0.54895043
4,0.1,0.25,0.1,0.54895043
6,0.1,0.25,0.1,0.54895043
8,0.1,0.25,0.1,0.54895043
10,0.1,0.25,0.1,0.54895043
0.1,0.1,0.25,0.1889,0.297787086
0.4,0.1,0.25,0.1889,0.297787086
0.7,0.1,0.25,0.1889,0.297787086
1,0.1,0.25,0.1889,0.297787086
1.5,0.1,0.25,0.1889,0.297787086
2,0.1,0.25,0.1889,0.297787086
4,0.1,0.25,0.1889,0.297787086
6,0.1,0.25,0.1889,0.297787086
8,0.1,0.25,0.1889,0.297787086
10,0.1,0.25,0.1889,0.297787086
0.1,0.1,0.25,0.2778,0.20349846
0.4,0.1,0.25,0.2778,0.20349846
0.7,0.1,0.25,0.2778,0.20349846
1,0.1,0.25,0.2778,0.20349846
1.5,0.1,0.25,0.2778,0.20349846
2,0.1,0.25,0.2778,0.20349846
4,0.1,0.25,0.2778,0.20349846
6,0.1,0.25,0.2778,0.20349846
8,0.1,0.25,0.2778,0.20349846
10,0.1,0.25,0.2778,0.20349846
0.1,0.1,0.25,0.3667,0.154490816
0.4,0.1,0.25,0.3667,0.154490816
0.7,0.1,0.25,0.3667,0.154490816
1,0.1,0.25,0.3667,0.154490816
1.5,0.1,0.25,0.3667,0.154490816
2,0.1,0.25,0.3667,0.154490816
4,0.1,0.25,0.3667,0.154490816
6,0.1,0.25,0.3667,0.154490816
8,0.1,0.25,0.3667,0.154490816
10,0.1,0.25,0.3667,0.154490816
0.1,0.1,0.25,0.4556,0.124492316
0.4,0.1,0.25,0.4556,0.124492316
0.7,0.1,0.25,0.4556,0.124492316
1,0.1,0.25,0.4556,0.124492316
1.5,0.1,0.25,0.4556,0.124492316
2,0.1,0.25,0.4556,0.124492316
4,0.1,0.25,0.4556,0.124492316
6,0.1,0.25,0.4556,0.124492316
8,0.1,0.25,0.4556,0.124492316
10,0.1,0.25,0.4556,0.124492316
0.1,0.1,0.25,0.5444,0.10426593
0.4,0.1,0.25,0.5444,0.10426593
0.7,0.1,0.25,0.5444,0.10426593
1,0.1,0.25,0.5444,0.10426593
1.5,0.1,0.25,0.5444,0.10426593
2,0.1,0.25,0.5444,0.10426593
4,0.1,0.25,0.5444,0.10426593
6,0.1,0.25,0.5444,0.10426593
8,0.1,0.25,0.5444,0.10426593
10,0.1,0.25,0.5444,0.10426593
0.1,0.1,0.25,0.6333,0.08967444
0.4,0.1,0.25,0.6333,0.08967444
0.7,0.1,0.25,0.6333,0.08967444
1,0.1,0.25,0.6333,0.08967444
1.5,0.1,0.25,0.6333,0.08967444
2,0.1,0.25,0.6333,0.08967444
4,0.1,0.25,0.6333,0.08967444
6,0.1,0.25,0.6333,0.08967444
8,0.1,0.25,0.6333,0.08967444
10,0.1,0.25,0.6333,0.08967444
0.1,0.1,0.25,0.7222,0.078665621
0.4,0.1,0.25,0.7222,0.078665621
0.7,0.1,0.25,0.7222,0.078665621
1,0.1,0.25,0.7222,0.078665621
1.5,0.1,0.25,0.7222,0.078665621
2,0.1,0.25,0.7222,0.078665621
4,0.1,0.25,0.7222,0.078665621
6,0.1,0.25,0.7222,0.078665621
8,0.1,0.25,0.7222,0.078665621
10,0.1,0.25,0.7222,0.078665621
0.1,0.1,0.25,0.8111,0.070064672
0.4,0.1,0.25,0.8111,0.070064672
0.7,0.1,0.25,0.8111,0.070064672
1,0.1,0.25,0.8111,0.070064672
1.5,0.1,0.25,0.8111,0.070064672
2,0.1,0.25,0.8111,0.070064672
4,0.1,0.25,0.8111,0.070064672
6,0.1,0.25,0.8111,0.070064672
8,0.1,0.25,0.8111,0.070064672
10,0.1,0.25,0.8111,0.070064672
0.1,0.1,0.25,0.9,0.063158303
0.4,0.1,0.25,0.9,0.063158303
0.7,0.1,0.25,0.9,0.063158303
1,0.1,0.25,0.9,0.063158303
1.5,0.1,0.25,0.9,0.063158303
2,0.1,0.25,0.9,0.063158303
4,0.1,0.25,0.9,0.063158303
6,0.1,0.25,0.9,0.063158303
8,0.1,0.25,0.9,0.063158303
10,0.1,0.25,0.9,0.063158303
0.1,0.1,0.4,0.1,0.557872494
0.4,0.1,0.4,0.1,0.557872494
0.7,0.1,0.4,0.1,0.557872494
1,0.1,0.4,0.1,0.557872494
1.5,0.1,0.4,0.1,0.557872494
2,0.1,0.4,0.1,0.557872494
4,0.1,0.4,0.1,0.557872494
6,0.1,0.4,0.1,0.557872494
8,0.1,0.4,0.1,0.557872494
10,0.1,0.4,0.1,0.557872494
0.1,0.1,0.4,0.1889,0.303839455
0.4,0.1,0.4,0.1889,0.303839455
0.7,0.1,0.4,0.1889,0.303839455
1,0.1,0.4,0.1889,0.303839455
1.5,0.1,0.4,0.1889,0.303839455
2,0.1,0.4,0.1889,0.303839455
4,0.1,0.4,0.1889,0.303839455
6,0.1,0.4,0.1889,0.303839455
8,0.1,0.4,0.1889,0.303839455
10,0.1,0.4,0.1889,0.303839455
0.1,0.1,0.4,0.2778,0.20779677
0.4,0.1,0.4,0.2778,0.20779677
0.7,0.1,0.4,0.2778,0.20779677
1,0.1,0.4,0.2778,0.20779677
1.5,0.1,0.4,0.2778,0.20779677
2,0.1,0.4,0.2778,0.20779677
4,0.1,0.4,0.2778,0.20779677
6,0.1,0.4,0.2778,0.20779677
8,0.1,0.4,0.2778,0.20779677
10,0.1,0.4,0.2778,0.20779677
0.1,0.1,0.4,0.3667,0.157806397
0.4,0.1,0.4,0.3667,0.157806397
0.7,0.1,0.4,0.3667,0.157806397
1,0.1,0.4,0.3667,0.157806397
1.5,0.1,0.4,0.3667,0.157806397
2,0.1,0.4,0.3667,0.157806397
4,0.1,0.4,0.3667,0.157806397
6,0.1,0.4,0.3667,0.157806397
8,0.1,0.4,0.3667,0.157806397
10,0.1,0.4,0.3667,0.157806397
0.1,0.1,0.4,0.4556,0.127183808
0.4,0.1,0.4,0.4556,0.127183808
0.7,0.1,0.4,0.4556,0.127183808
1,0.1,0.4,0.4556,0.127183808
1.5,0.1,0.4,0.4556,0.127183808
2,0.1,0.4,0.4556,0.127183808
4,0.1,0.4,0.4556,0.127183808
6,0.1,0.4,0.4556,0.127183808
8,0.1,0.4,0.4556,0.127183808
10,0.1,0.4,0.4556,0.127183808
0.1,0.1,0.4,0.5444,0.106531654
0.4,0.1,0.4,0.5444,0.106531654
0.7,0.1,0.4,0.5444,0.106531654
1,0.1,0.4,0.5444,0.106531654
1.5,0.1,0.4,0.5444,0.106531654
2,0.1,0.4,0.5444,0.106531654
4,0.1,0.4,0.5444,0.106531654
6,0.1,0.4,0.5444,0.106531654
8,0.1,0.4,0.5444,0.106531654
10,0.1,0.4,0.5444,0.106531654
0.1,0.1,0.4,0.6333,0.091630585
0.4,0.1,0.4,0.6333,0.091630585
0.7,0.1,0.4,0.6333,0.091630585
1,0.1,0.4,0.6333,0.091630585
1.5,0.1,0.4,0.6333,0.091630585
2,0.1,0.4,0.6333,0.091630585
4,0.1,0.4,0.6333,0.091630585
6,0.1,0.4,0.6333,0.091630585
8,0.1,0.4,0.6333,0.091630585
10,0.1,0.4,0.6333,0.091630585
0.1,0.1,0.4,0.7222,0.080386857
0.4,0.1,0.4,0.7222,0.080386857
0.7,0.1,0.4,0.7222,0.080386857
1,0.1,0.4,0.7222,0.080386857
1.5,0.1,0.4,0.7222,0.080386857
2,0.1,0.4,0.7222,0.080386857
4,0.1,0.4,0.7222,0.080386857
6,0.1,0.4,0.7222,0.080386857
8,0.1,0.4,0.7222,0.080386857
10,0.1,0.4,0.7222,0.080386857
0.1,0.1,0.4,0.8111,0.071598839
0.4,0.1,0.4,0.8111,0.071598839
0.7,0.1,0.4,0.8111,0.071598839
1,0.1,0.4,0.8111,0.071598839
1.5,0.1,0.4,0.8111,0.071598839
2,0.1,0.4,0.8111,0.071598839
4,0.1,0.4,0.8111,0.071598839
6,0.1,0.4,0.8111,0.071598839
8,0.1,0.4,0.8111,0.071598839
10,0.1,0.4,0.8111,0.071598839
0.1,0.1,0.4,0.9,0.064542899
0.4,0.1,0.4,0.9,0.064542899
0.7,0.1,0.4,0.9,0.064542899
1,0.1,0.4,0.9,0.064542899
1.5,0.1,0.4,0.9,0.064542899
2,0.1,0.4,0.9,0.064542899
4,0.1,0.4,0.9,0.064542899
6,0.1,0.4,0.9,0.064542899
8,0.1,0.4,0.9,0.064542899
10,0.1,0.4,0.9,0.064542899
0.1,0.1,0.55,0.1,0.564389998
0.4,0.1,0.55,0.1,0.564389998
0.7,0.1,0.55,0.1,0.564389998
1,0.1,0.55,0.1,0.564389998
1.5,0.1,0.55,0.1,0.564389998
2,0.1,0.55,0.1,0.564389998
4,0.1,0.55,0.1,0.564389998
6,0.1,0.55,0.1,0.564389998
8,0.1,0.55,0.1,0.564389998
10,0.1,0.55,0.1,0.564389998
0.1,0.1,0.55,0.1889,0.308387395
0.4,0.1,0.55,0.1889,0.308387395
0.7,0.1,0.55,0.1889,0.308387395
1,0.1,0.55,0.1889,0.308387395
1.5,0.1,0.55,0.1889,0.308387395
2,0.1,0.55,0.1889,0.308387395
4,0.1,0.55,0.1889,0.308387395
6,0.1,0.55,0.1889,0.308387395
8,0.1,0.55,0.1889,0.308387395
10,0.1,0.55,0.1889,0.308387395
0.1,0.1,0.55,0.2778,0.211037086
0.4,0.1,0.55,0.2778,0.211037086
0.7,0.1,0.55,0.2778,0.211037086
1,0.1,0.55,0.2778,0.211037086
1.5,0.1,0.55,0.2778,0.211037086
2,0.1,0.55,0.2778,0.211037086
4,0.1,0.55,0.2778,0.211037086
6,0.1,0.55,0.2778,0.211037086
8,0.1,0.55,0.2778,0.211037086
10,0.1,0.55,0.2778,0.211037086
0.1,0.1,0.55,0.3667,0.160307545
0.4,0.1,0.55,0.3667,0.160307545
0.7,0.1,0.55,0.3667,0.160307545
1,0.1,0.55,0.3667,0.160307545
1.5,0.1,0.55,0.3667,0.160307545
2,0.1,0.55,0.3667,0.160307545
4,0.1,0.55,0.3667,0.160307545
6,0.1,0.55,0.3667,0.160307545
8,0.1,0.55,0.3667,0.160307545
10,0.1,0.55,0.3667,0.160307545
0.1,0.1,0.55,0.4556,0.129220983
0.4,0.1,0.55,0.4556,0.129220983
0.7,0.1,0.55,0.4556,0.129220983
1,0.1,0.55,0.4556,0.129220983
1.5,0.1,0.55,0.4556,0.129220983
2,0.1,0.55,0.4556,0.129220983
4,0.1,0.55,0.4556,0.129220983
6,0.1,0.55,0.4556,0.129220983
8,0.1,0.55,0.4556,0.129220983
10,0.1,0.55,0.4556,0.129220983
0.1,0.1,0.55,0.5444,0.108245023
0.4,0.1,0.55,0.5444,0.108245023
0.7,0.1,0.55,0.5444,0.108245023
1,0.1,0.55,0.5444,0.108245023
1.5,0.1,0.55,0.5444,0.108245023
2,0.1,0.55,0.5444,0.108245023
4,0.1,0.55,0.5444,0.108245023
6,0.1,0.55,0.5444,0.108245023
8,0.1,0.55,0.5444,0.108245023
10,0.1,0.55,0.5444,0.108245023
0.1,0.1,0.55,0.6333,0.093111052
0.4,0.1,0.55,0.6333,0.093111052
0.7,0.1,0.55,0.6333,0.093111052
1,0.1,0.55,0.6333,0.093111052
1.5,0.1,0.55,0.6333,0.093111052
2,0.1,0.55,0.6333,0.093111052
4,0.1,0.55,0.6333,0.093111052
6,0.1,0.55,0.6333,0.093111052
8,0.1,0.55,0.6333,0.093111052
10,0.1,0.55,0.6333,0.093111052
0.1,0.1,0.55,0.7222,0.081690675
0.4,0.1,0.55,0.7222,0.081690675
0.7,0.1,0.55,0.7222,0.081690675
1,0.1,0.55,0.7222,0.081690675
1.5,0.1,0.55,0.7222,0.081690675
2,0.1,0.55,0.7222,0.081690675
4,0.1,0.55,0.7222,0.081690675
6,0.1,0.55,0.7222,0.081690675
8,0.1,0.55,0.7222,0.081690675
10,0.1,0.55,0.7222,0.081690675
0.1,0.1,0.55,0.8111,0.072761565
0.4,0.1,0.55,0.8111,0.072761565
0.7,0.1,0.55,0.8111,0.072761565
1,0.1,0.55,0.8111,0.072761565
1.5,0.1,0.55,0.8111,0.072761565
2,0.1,0.55,0.8111,0.072761565
4,0.1,0.55,0.8111,0.072761565
6,0.1,0.55,0.8111,0.072761565
8,0.1,0.55,0.8111,0.072761565
10,0.1,0.55,0.8111,0.072761565
0.1,0.1,0.55,0.9,0.065595438
0.4,0.1,0.55,0.9,0.065595438
0.7,0.1,0.55,0.9,0.065595438
1,0.1,0.55,0.9,0.065595438
1.5,0.1,0.55,0.9,0.065595438
2,0.1,0.55,0.9,0.065595438
4,0.1,0.55,0.9,0.065595438
6,0.1,0.55,0.9,0.065595438
8,0.1,0.55,0.9,0.065595438
10,0.1,0.55,0.9,0.065595438
0.1,0.1,0.7,0.1,0.569636737
0.4,0.1,0.7,0.1,0.569636737
0.7,0.1,0.7,0.1,0.569636737
1,0.1,0.7,0.1,0.569636737
1.5,0.1,0.7,0.1,0.569636737
2,0.1,0.7,0.1,0.569636737
4,0.1,0.7,0.1,0.569636737
6,0.1,0.7,0.1,0.569636737
8,0.1,0.7,0.1,0.569636737
10,0.1,0.7,0.1,0.569636737
0.1,0.1,0.7,0.1889,0.312121425
0.4,0.1,0.7,0.1889,0.312121425
0.7,0.1,0.7,0.1889,0.312121425
1,0.1,0.7,0.1889,0.312121425
1.5,0.1,0.7,0.1889,0.312121425
2,0.1,0.7,0.1889,0.312121425
4,0.1,0.7,0.1889,0.312121425
6,0.1,0.7,0.1889,0.312121425
8,0.1,0.7,0.1889,0.312121425
10,0.1,0.7,0.1889,0.312121425
0.1,0.1,0.7,0.2778,0.213705648
0.4,0.1,0.7,0.2778,0.213705648
0.7,0.1,0.7,0.2778,0.213705648
1,0.1,0.7,0.2778,0.213705648
1.5,0.1,0.7,0.2778,0.213705648
2,0.1,0.7,0.2778,0.213705648
4,0.1,0.7,0.2778,0.213705648
6,0.1,0.7,0.2778,0.213705648
8,0.1,0.7,0.2778,0.213705648
10,0.1,0.7,0.2778,0.213705648
0.1,0.1,0.7,0.3667,0.162369615
0.4,0.1,0.7,0.3667,0.162369615
0.7,0.1,0.7,0.3667,0.162369615
1,0.1,0.7,0.3667,0.162369615
1.5,0.1,0.7,0.3667,0.162369615
2,0.1,0.7,0.3667,0.162369615
4,0.1,0.7,0.3667,0.162369615
6,0.1,0.7,0.3667,0.162369615
8,0.1,0.7,0.3667,0.162369615
10,0.1,0.7,0.3667,0.162369615
0.1,0.1,0.7,0.4556,0.13089766
0.4,0.1,0.7,0.4556,0.13089766
0.7,0.1,0.7,0.4556,0.13089766
1,0.1,0.7,0.4556,0.13089766
1.5,0.1,0.7,0.4556,0.13089766
2,0.1,0.7,0.4556,0.13089766
4,0.1,0.7,0.4556,0.13089766
6,0.1,0.7,0.4556,0.13089766
8,0.1,0.7,0.4556,0.13089766
10,0.1,0.7,0.4556,0.13089766
0.1,0.1,0.7,0.5444,0.109657974
0.4,0.1,0.7,0.5444,0.109657974
0.7,0.1,0.7,0.5444,0.109657974
1,0.1,0.7,0.5444,0.109657974
1.5,0.1,0.7,0.5444,0.109657974
2,0.1,0.7,0.5444,0.109657974
4,0.1,0.7,0.5444,0.109657974
6,0.1,0.7,0.5444,0.109657974
8,0.1,0.7,0.5444,0.109657974
10,0.1,0.7,0.5444,0.109657974
0.1,0.1,0.7,0.6333,0.09433227
0.4,0.1,0.7,0.6333,0.09433227
0.7,0.1,0.7,0.6333,0.09433227
1,0.1,0.7,0.6333,0.09433227
1.5,0.1,0.7,0.6333,0.09433227
2,0.1,0.7,0.6333,0.09433227
4,0.1,0.7,0.6333,0.09433227
6,0.1,0.7,0.6333,0.09433227
8,0.1,0.7,0.6333,0.09433227
10,0.1,0.7,0.6333,0.09433227
0.1,0.1,0.7,0.7222,0.082764692
0.4,0.1,0.7,0.7222,0.082764692
0.7,0.1,0.7,0.7222,0.082764692
1,0.1,0.7,0.7222,0.082764692
1.5,0.1,0.7,0.7222,0.082764692
2,0.1,0.7,0.7222,0.082764692
4,0.1,0.7,0.7222,0.082764692
6,0.1,0.7,0.7222,0.082764692
8,0.1,0.7,0.7222,0.082764692
10,0.1,0.7,0.7222,0.082764692
0.1,0.1,0.7,0.8111,0.073720854
0.4,0.1,0.7,0.8111,0.073720854
0.7,0.1,0.7,0.8111,0.073720854
1,0.1,0.7,0.8111,0.073720854
1.5,0.1,0.7,0.8111,0.073720854
2,0.1,0.7,0.8111,0.073720854
4,0.1,0.7,0.8111,0.073720854
6,0.1,0.7,0.8111,0.073720854
8,0.1,0.7,0.8111,0.073720854
10,0.1,0.7,0.8111,0.073720854
0.1,0.1,0.7,0.9,0.066459593
0.4,0.1,0.7,0.9,0.066459593
0.7,0.1,0.7,0.9,0.066459593
1,0.1,0.7,0.9,0.066459593
1.5,0.1,0.7,0.9,0.066459593
2,0.1,0.7,0.9,0.066459593
4,0.1,0.7,0.9,0.066459593
6,0.1,0.7,0.9,0.066459593
8,0.1,0.7,0.9,0.066459593
10,0.1,0.7,0.9,0.066459593
0.1,0.1,1,0.1,0.577950693
0.4,0.1,1,0.1,0.577950693
0.7,0.1,1,0.1,0.577950693
1,0.1,1,0.1,0.577950693
1.5,0.1,1,0.1,0.577950693
2,0.1,1,0.1,0.577950693
4,0.1,1,0.1,0.577950693
6,0.1,1,0.1,0.577950693
8,0.1,1,0.1,0.577950693
10,0.1,1,0.1,0.577950693
0.1,0.1,1,0.1889,0.318169894
0.4,0.1,1,0.1889,0.318169894
0.7,0.1,1,0.1889,0.318169894
1,0.1,1,0.1889,0.318169894
1.5,0.1,1,0.1889,0.318169894
2,0.1,1,0.1889,0.318169894
4,0.1,1,0.1889,0.318169894
6,0.1,1,0.1889,0.318169894
8,0.1,1,0.1889,0.318169894
10,0.1,1,0.1889,0.318169894
0.1,0.1,1,0.2778,0.218040415
0.4,0.1,1,0.2778,0.218040415
0.7,0.1,1,0.2778,0.218040415
1,0.1,1,0.2778,0.218040415
1.5,0.1,1,0.2778,0.218040415
2,0.1,1,0.2778,0.218040415
4,0.1,1,0.2778,0.218040415
6,0.1,1,0.2778,0.218040415
8,0.1,1,0.2778,0.218040415
10,0.1,1,0.2778,0.218040415
0.1,0.1,1,0.3667,0.165724713
0.4,0.1,1,0.3667,0.165724713
0.7,0.1,1,0.3667,0.165724713
1,0.1,1,0.3667,0.165724713
1.5,0.1,1,0.3667,0.165724713
2,0.1,1,0.3667,0.165724713
4,0.1,1,0.3667,0.165724713
6,0.1,1,0.3667,0.165724713
8,0.1,1,0.3667,0.165724713
10,0.1,1,0.3667,0.165724713
0.1,0.1,1,0.4556,0.133630125
0.4,0.1,1,0.4556,0.133630125
0.7,0.1,1,0.4556,0.133630125
1,0.1,1,0.4556,0.133630125
1.5,0.1,1,0.4556,0.133630125
2,0.1,1,0.4556,0.133630125
4,0.1,1,0.4556,0.133630125
6,0.1,1,0.4556,0.133630125
8,0.1,1,0.4556,0.133630125
10,0.1,1,0.4556,0.133630125
