P700_red_initial,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,Phi2,Result
0.1,0.1,0.07,0.9,0.059926609,5.393394809999999
1.2,0.1,0.07,0.9,0.059926609,5.393394809999999
2.3,0.1,0.07,0.9,0.059926609,5.393394809999999
3.4,0.1,0.07,0.9,0.059926609,5.393394809999999
4.5,0.1,0.07,0.9,0.059926609,5.393394809999999
5.6,0.1,0.07,0.9,0.059926609,5.393394809999999
6.7,0.1,0.07,0.9,0.059926609,5.393394809999999
7.8,0.1,0.07,0.9,0.059926609,5.393394809999999
8.9,0.1,0.07,0.9,0.059926609,5.393394809999999
10.0,0.1,0.07,0.9,0.059926609,5.393394809999999
0.1,0.1,0.1,0.1,0.532622828,5.3262282800000005
1.2,0.1,0.1,0.1,0.532622828,5.3262282800000005
2.3,0.1,0.1,0.1,0.532622828,5.3262282800000005
3.4,0.1,0.1,0.1,0.532622828,5.3262282800000005
4.5,0.1,0.1,0.1,0.532622828,5.3262282800000005
5.6,0.1,0.1,0.1,0.532622828,5.3262282800000005
6.7,0.1,0.1,0.1,0.532622828,5.3262282800000005
7.8,0.1,0.1,0.1,0.532622828,5.3262282800000005
8.9,0.1,0.1,0.1,0.532622828,5.3262282800000005
10.0,0.1,0.1,0.1,0.532622828,5.3262282800000005
0.1,0.1,0.1,0.1889,0.287350011,5.42804170779
1.2,0.1,0.1,0.1889,0.287350011,5.42804170779
2.3,0.1,0.1,0.1889,0.287350011,5.42804170779
3.4,0.1,0.1,0.1889,0.287350011,5.42804170779
4.5,0.1,0.1,0.1889,0.287350011,5.42804170779
5.6,0.1,0.1,0.1889,0.287350011,5.42804170779
6.7,0.1,0.1,0.1889,0.287350011,5.42804170779
7.8,0.1,0.1,0.1889,0.287350011,5.42804170779
8.9,0.1,0.1,0.1889,0.287350011,5.42804170779
10.0,0.1,0.1,0.1889,0.287350011,5.42804170779
0.1,0.1,0.1,0.2778,0.196156591,5.44923009798
1.2,0.1,0.1,0.2778,0.196156591,5.44923009798
2.3,0.1,0.1,0.2778,0.196156591,5.44923009798
3.4,0.1,0.1,0.2778,0.196156591,5.44923009798
4.5,0.1,0.1,0.2778,0.196156591,5.44923009798
5.6,0.1,0.1,0.2778,0.196156591,5.44923009798
6.7,0.1,0.1,0.2778,0.196156591,5.44923009798
7.8,0.1,0.1,0.2778,0.196156591,5.44923009798
8.9,0.1,0.1,0.2778,0.196156591,5.44923009798
10.0,0.1,0.1,0.2778,0.196156591,5.44923009798
0.1,0.1,0.1,0.3667,0.148850806,5.458359056020001
1.2,0.1,0.1,0.3667,0.148850806,5.458359056020001
2.3,0.1,0.1,0.3667,0.148850806,5.458359056020001
3.4,0.1,0.1,0.3667,0.148850806,5.458359056020001
4.5,0.1,0.1,0.3667,0.148850806,5.458359056020001
5.6,0.1,0.1,0.3667,0.148850806,5.458359056020001
6.7,0.1,0.1,0.3667,0.148850806,5.458359056020001
7.8,0.1,0.1,0.3667,0.148850806,5.458359056020001
8.9,0.1,0.1,0.3667,0.148850806,5.458359056020001
10.0,0.1,0.1,0.3667,0.148850806,5.458359056020001
0.1,0.1,0.1,0.4556,0.119914534,5.463306169040001
1.2,0.1,0.1,0.4556,0.119914534,5.463306169040001
2.3,0.1,0.1,0.4556,0.119914534,5.463306169040001
3.4,0.1,0.1,0.4556,0.119914534,5.463306169040001
4.5,0.1,0.1,0.4556,0.119914534,5.463306169040001
5.6,0.1,0.1,0.4556,0.119914534,5.463306169040001
6.7,0.1,0.1,0.4556,0.119914534,5.463306169040001
7.8,0.1,0.1,0.4556,0.119914534,5.463306169040001
8.9,0.1,0.1,0.4556,0.119914534,5.463306169040001
10.0,0.1,0.1,0.4556,0.119914534,5.463306169040001
0.1,0.1,0.1,0.5444,0.100417392,5.466722820479999
1.2,0.1,0.1,0.5444,0.100417392,5.466722820479999
2.3,0.1,0.1,0.5444,0.100417392,5.466722820479999
3.4,0.1,0.1,0.5444,0.100417392,5.466722820479999
4.5,0.1,0.1,0.5444,0.100417392,5.466722820479999
5.6,0.1,0.1,0.5444,0.100417392,5.466722820479999
6.7,0.1,0.1,0.5444,0.100417392,5.466722820479999
7.8,0.1,0.1,0.5444,0.100417392,5.466722820479999
8.9,0.1,0.1,0.5444,0.100417392,5.466722820479999
10.0,0.1,0.1,0.5444,0.100417392,5.466722820479999
0.1,0.1,0.1,0.6333,0.086356443,5.46895353519
1.2,0.1,0.1,0.6333,0.086356443,5.46895353519
2.3,0.1,0.1,0.6333,0.086356443,5.46895353519
3.4,0.1,0.1,0.6333,0.086356443,5.46895353519
4.5,0.1,0.1,0.6333,0.086356443,5.46895353519
5.6,0.1,0.1,0.6333,0.086356443,5.46895353519
6.7,0.1,0.1,0.6333,0.086356443,5.46895353519
7.8,0.1,0.1,0.6333,0.086356443,5.46895353519
8.9,0.1,0.1,0.6333,0.086356443,5.46895353519
10.0,0.1,0.1,0.6333,0.086356443,5.46895353519
0.1,0.1,0.1,0.7222,0.075751509,5.47077397998
1.2,0.1,0.1,0.7222,0.075751509,5.47077397998
2.3,0.1,0.1,0.7222,0.075751509,5.47077397998
3.4,0.1,0.1,0.7222,0.075751509,5.47077397998
4.5,0.1,0.1,0.7222,0.075751509,5.47077397998
5.6,0.1,0.1,0.7222,0.075751509,5.47077397998
6.7,0.1,0.1,0.7222,0.075751509,5.47077397998
7.8,0.1,0.1,0.7222,0.075751509,5.47077397998
8.9,0.1,0.1,0.7222,0.075751509,5.47077397998
10.0,0.1,0.1,0.7222,0.075751509,5.47077397998
0.1,0.1,0.1,0.8111,0.067464836,5.47207284796
1.2,0.1,0.1,0.8111,0.067464836,5.47207284796
2.3,0.1,0.1,0.8111,0.067464836,5.47207284796
3.4,0.1,0.1,0.8111,0.067464836,5.47207284796
4.5,0.1,0.1,0.8111,0.067464836,5.47207284796
5.6,0.1,0.1,0.8111,0.067464836,5.47207284796
6.7,0.1,0.1,0.8111,0.067464836,5.47207284796
7.8,0.1,0.1,0.8111,0.067464836,5.47207284796
8.9,0.1,0.1,0.8111,0.067464836,5.47207284796
10.0,0.1,0.1,0.8111,0.067464836,5.47207284796
0.1,0.1,0.1,0.9,0.060810779,5.47297011
1.2,0.1,0.1,0.9,0.060810779,5.47297011
2.3,0.1,0.1,0.9,0.060810779,5.47297011
3.4,0.1,0.1,0.9,0.060810779,5.47297011
4.5,0.1,0.1,0.9,0.060810779,5.47297011
5.6,0.1,0.1,0.9,0.060810779,5.47297011
6.7,0.1,0.1,0.9,0.060810779,5.47297011
7.8,0.1,0.1,0.9,0.060810779,5.47297011
8.9,0.1,0.1,0.9,0.060810779,5.47297011
10.0,0.1,0.1,0.9,0.060810779,5.47297011
0.1,0.1,0.25,0.1,0.54895043,5.4895043
1.2,0.1,0.25,0.1,0.54895043,5.4895043
2.3,0.1,0.25,0.1,0.54895043,5.4895043
3.4,0.1,0.25,0.1,0.54895043,5.4895043
4.5,0.1,0.25,0.1,0.54895043,5.4895043
5.6,0.1,0.25,0.1,0.54895043,5.4895043
6.7,0.1,0.25,0.1,0.54895043,5.4895043
7.8,0.1,0.25,0.1,0.54895043,5.4895043
8.9,0.1,0.25,0.1,0.54895043,5.4895043
10.0,0.1,0.25,0.1,0.54895043,5.4895043
0.1,0.1,0.25,0.1889,0.297787086,5.62519805454
1.2,0.1,0.25,0.1889,0.297787086,5.62519805454
2.3,0.1,0.25,0.1889,0.297787086,5.62519805454
3.4,0.1,0.25,0.1889,0.297787086,5.62519805454
4.5,0.1,0.25,0.1889,0.297787086,5.62519805454
5.6,0.1,0.25,0.1889,0.297787086,5.62519805454
6.7,0.1,0.25,0.1889,0.297787086,5.62519805454
7.8,0.1,0.25,0.1889,0.297787086,5.62519805454
8.9,0.1,0.25,0.1889,0.297787086,5.62519805454
10.0,0.1,0.25,0.1889,0.297787086,5.62519805454
0.1,0.1,0.25,0.2778,0.20349846,5.653187218799999
1.2,0.1,0.25,0.2778,0.20349846,5.653187218799999
2.3,0.1,0.25,0.2778,0.20349846,5.653187218799999
3.4,0.1,0.25,0.2778,0.20349846,5.653187218799999
4.5,0.1,0.25,0.2778,0.20349846,5.653187218799999
5.6,0.1,0.25,0.2778,0.20349846,5.653187218799999
6.7,0.1,0.25,0.2778,0.20349846,5.653187218799999
7.8,0.1,0.25,0.2778,0.20349846,5.653187218799999
