Phi2,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,Result
0.660750542,0.1,0.07,0.1,0.7,6.607505420000001
0.660750542,0.1,0.07,0.1,0.7,6.607505420000001
0.660750542,0.1,0.07,0.1,0.7,6.607505420000001
0.660750542,0.1,0.07,0.1,0.7,6.607505420000001
0.660750542,0.1,0.07,0.1,0.7,6.607505420000001
0.660750542,0.1,0.07,0.1,0.7,6.607505420000001
0.660750542,0.1,0.07,0.1,0.7,6.607505420000001
0.620414232,0.1,0.07,0.3,0.7,18.61242696
0.620414232,0.1,0.07,0.3,0.7,18.61242696
0.620414232,0.1,0.07,0.3,0.7,18.61242696
0.620414232,0.1,0.07,0.3,0.7,18.61242696
0.620414232,0.1,0.07,0.3,0.7,18.61242696
0.620414232,0.1,0.07,0.3,0.7,18.61242696
0.620414232,0.1,0.07,0.3,0.7,18.61242696
0.534083434,0.1,0.07,0.5,0.7,26.7041717
0.534083434,0.1,0.07,0.5,0.7,26.7041717
0.534083434,0.1,0.07,0.5,0.7,26.7041717
0.534083434,0.1,0.07,0.5,0.7,26.7041717
0.534083434,0.1,0.07,0.5,0.7,26.7041717
0.534083434,0.1,0.07,0.5,0.7,26.7041717
0.534083434,0.1,0.07,0.5,0.7,26.7041717
0.412631743,0.1,0.07,0.7,0.7,28.88422201
0.412631743,0.1,0.07,0.7,0.7,28.88422201
0.412631743,0.1,0.07,0.7,0.7,28.88422201
0.412631743,0.1,0.07,0.7,0.7,28.88422201
0.412631743,0.1,0.07,0.7,0.7,28.88422201
0.412631743,0.1,0.07,0.7,0.7,28.88422201
0.412631743,0.1,0.07,0.7,0.7,28.88422201
0.32881097,0.1,0.07,0.9,0.7,29.5929873
0.32881097,0.1,0.07,0.9,0.7,29.5929873
0.32881097,0.1,0.07,0.9,0.7,29.5929873
0.32881097,0.1,0.07,0.9,0.7,29.5929873
0.32881097,0.1,0.07,0.9,0.7,29.5929873
0.32881097,0.1,0.07,0.9,0.7,29.5929873
0.32881097,0.1,0.07,0.9,0.7,29.5929873
0.692372557,0.1,0.1,0.1,0.7,6.92372557
0.692372557,0.1,0.1,0.1,0.7,6.92372557
0.692372557,0.1,0.1,0.1,0.7,6.92372557
0.692372557,0.1,0.1,0.1,0.7,6.92372557
0.692372557,0.1,0.1,0.1,0.7,6.92372557
0.692372557,0.1,0.1,0.1,0.7,6.92372557
0.692372557,0.1,0.1,0.1,0.7,6.92372557
0.666827281,0.1,0.1,0.3,0.7,20.00481843
0.666827281,0.1,0.1,0.3,0.7,20.00481843
0.666827281,0.1,0.1,0.3,0.7,20.00481843
0.666827281,0.1,0.1,0.3,0.7,20.00481843
0.666827281,0.1,0.1,0.3,0.7,20.00481843
0.666827281,0.1,0.1,0.3,0.7,20.00481843
0.666827281,0.1,0.1,0.3,0.7,20.00481843
0.587120813,0.1,0.1,0.5,0.7,29.356040649999997
0.587120813,0.1,0.1,0.5,0.7,29.356040649999997
0.587120813,0.1,0.1,0.5,0.7,29.356040649999997
0.587120813,0.1,0.1,0.5,0.7,29.356040649999997
0.587120813,0.1,0.1,0.5,0.7,29.356040649999997
0.587120813,0.1,0.1,0.5,0.7,29.356040649999997
0.587120813,0.1,0.1,0.5,0.7,29.356040649999997
0.452527996,0.1,0.1,0.7,0.7,31.67695972
0.452527996,0.1,0.1,0.7,0.7,31.67695972
0.452527996,0.1,0.1,0.7,0.7,31.67695972
0.452527996,0.1,0.1,0.7,0.7,31.67695972
0.452527996,0.1,0.1,0.7,0.7,31.67695972
0.452527996,0.1,0.1,0.7,0.7,31.67695972
0.452527996,0.1,0.1,0.7,0.7,31.67695972
0.359320305,0.1,0.1,0.9,0.7,32.338827450000004
0.359320305,0.1,0.1,0.9,0.7,32.338827450000004
0.359320305,0.1,0.1,0.9,0.7,32.338827450000004
0.359320305,0.1,0.1,0.9,0.7,32.338827450000004
0.359320305,0.1,0.1,0.9,0.7,32.338827450000004
0.359320305,0.1,0.1,0.9,0.7,32.338827450000004
0.359320305,0.1,0.1,0.9,0.7,32.338827450000004
0.771547792,0.1,1.0,0.1,0.7,7.71547792
0.771547792,0.1,1.0,0.1,0.7,7.71547792
0.771547792,0.1,1.0,0.1,0.7,7.71547792
0.771547792,0.1,1.0,0.1,0.7,7.71547792
0.771547792,0.1,1.0,0.1,0.7,7.71547792
0.771547792,0.1,1.0,0.1,0.7,7.71547792
0.771547792,0.1,1.0,0.1,0.7,7.71547792
0.766486426,0.1,1.0,0.3,0.7,22.99459278
0.766486426,0.1,1.0,0.3,0.7,22.99459278
0.766486426,0.1,1.0,0.3,0.7,22.99459278
0.766486426,0.1,1.0,0.3,0.7,22.99459278
0.766486426,0.1,1.0,0.3,0.7,22.99459278
0.766486426,0.1,1.0,0.3,0.7,22.99459278
0.766486426,0.1,1.0,0.3,0.7,22.99459278
0.691971105,0.1,1.0,0.5,0.7,34.598555250000004
0.691971105,0.1,1.0,0.5,0.7,34.598555250000004
0.691971105,0.1,1.0,0.5,0.7,34.598555250000004
0.691971105,0.1,1.0,0.5,0.7,34.598555250000004
0.691971105,0.1,1.0,0.5,0.7,34.598555250000004
0.691971105,0.1,1.0,0.5,0.7,34.598555250000004
0.691971105,0.1,1.0,0.5,0.7,34.598555250000004
0.521836758,0.1,1.0,0.7,0.7,36.52857306
0.521836758,0.1,1.0,0.7,0.7,36.52857306
0.521836758,0.1,1.0,0.7,0.7,36.52857306
0.521836758,0.1,1.0,0.7,0.7,36.52857306
0.521836758,0.1,1.0,0.7,0.7,36.52857306
