ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,CO2
0.1,0.84,0.18888889,10,1.786361845
0.1,0.84,0.27777778,0.1,0.899994472
0.1,0.84,0.27777778,1.2,2.519988159
0.1,0.84,0.27777778,2.3,2.518377097
0.1,0.84,0.27777778,3.4,2.519379586
0.1,0.84,0.27777778,4.5,2.520781034
0.1,0.84,0.27777778,5.6,2.521616697
0.1,0.84,0.27777778,6.7,2.523329968
0.1,0.84,0.27777778,7.8,2.525114624
0.1,0.84,0.27777778,8.9,2.526937048
0.1,0.84,0.27777778,10,2.528781777
0.1,0.84,0.36666667,0.1,0.790056757
0.1,0.84,0.36666667,1.2,3.291926282
0.1,0.84,0.36666667,2.3,3.23106429
0.1,0.84,0.36666667,3.4,3.232004639
0.1,0.84,0.36666667,4.5,3.233911044
0.1,0.84,0.36666667,5.6,3.236124281
0.1,0.84,0.36666667,6.7,3.238460759
0.1,0.84,0.36666667,7.8,3.240881872
0.1,0.84,0.36666667,8.9,3.243319266
0.1,0.84,0.36666667,10,3.245732987
0.1,0.84,0.45555556,0.1,0.678527195
0.1,0.84,0.45555556,1.2,4.188623625
0.1,0.84,0.45555556,2.3,3.928474733
0.1,0.84,0.45555556,3.4,3.928243482
0.1,0.84,0.45555556,4.5,3.93031069
0.1,0.84,0.45555556,5.6,3.932969347
0.1,0.84,0.45555556,6.7,3.935865991
0.1,0.84,0.45555556,7.8,3.938893625
0.1,0.84,0.45555556,8.9,3.941991972
0.1,0.84,0.45555556,10,3.945127299
0.1,0.84,0.54444444,0.1,0.56830804
0.1,0.84,0.54444444,1.2,5.085866554
0.1,0.84,0.54444444,2.3,4.643348545
0.1,0.84,0.54444444,3.4,4.614053439
0.1,0.84,0.54444444,4.5,4.615912227
0.1,0.84,0.54444444,5.6,4.618685756
0.1,0.84,0.54444444,6.7,4.621973146
0.1,0.84,0.54444444,7.8,4.625499485
0.1,0.84,0.54444444,8.9,4.629155933
0.1,0.84,0.54444444,10,4.63287376
0.1,0.84,0.63333333,0.1,0.457796771
0.1,0.84,0.63333333,1.2,5.329133961
0.1,0.84,0.63333333,2.3,5.597040483
0.1,0.84,0.63333333,3.4,5.297871139
0.1,0.84,0.63333333,4.5,5.293423857
0.1,0.84,0.63333333,5.6,5.29641114
0.1,0.84,0.63333333,6.7,5.300131902
0.1,0.84,0.63333333,7.8,5.303912767
0.1,0.84,0.63333333,8.9,5.307905277
0.1,0.84,0.63333333,10,5.31208287
0.1,0.84,0.72222222,0.1,0.347157382
0.1,0.84,0.72222222,1.2,4.154755548
0.1,0.84,0.72222222,2.3,6.502240593
0.1,0.84,0.72222222,3.4,6.25784388
0.1,0.84,0.72222222,4.5,5.980179508
0.1,0.84,0.72222222,5.6,5.966882449
0.1,0.84,0.72222222,6.7,5.969893529
0.1,0.84,0.72222222,7.8,5.974198082
0.1,0.84,0.72222222,8.9,5.978897094
0.1,0.84,0.72222222,10,5.983766316
0.1,0.84,0.81111111,0.1,0.236416014
0.1,0.84,0.81111111,1.2,2.827925348
0.1,0.84,0.81111111,2.3,5.417513343
0.1,0.84,0.81111111,3.4,7.062121045
0.1,0.84,0.81111111,4.5,7.114810021
0.1,0.84,0.81111111,5.6,6.882480161
0.1,0.84,0.81111111,6.7,6.667253663
0.1,0.84,0.81111111,7.8,6.636502241
0.1,0.84,0.81111111,8.9,6.638943918
0.1,0.84,0.81111111,10,6.643503975
0.1,0.84,0.9,0.1,0.12557913
0.1,0.84,0.9,1.2,1.49855677
0.1,0.84,0.9,2.3,2.870608841
0.1,0.84,0.9,3.4,4.238048497
0.1,0.84,0.9,4.5,5.608179608
0.1,0.84,0.9,5.6,6.816210818
0.1,0.84,0.9,6.7,7.567251491
0.1,0.84,0.9,7.8,7.820929339
0.1,0.84,0.9,8.9,7.796615569
0.1,0.84,0.9,10,7.688615321
0.1,1.61,0.1,0.1,0.609962452
0.1,1.61,0.1,1.2,1.020283376
0.1,1.61,0.1,2.3,1.020401506
0.1,1.61,0.1,3.4,1.020580119
0.1,1.61,0.1,4.5,1.020768018
0.1,1.61,0.1,5.6,1.020954318
0.1,1.61,0.1,6.7,1.021138828
0.1,1.61,0.1,7.8,1.021322176
0.1,1.61,0.1,8.9,1.021505489
0.1,1.61,0.1,10,1.021687918
0.1,1.61,0.18888889,0.1,0.528938734
0.1,1.61,0.18888889,1.2,1.874239171
0.1,1.61,0.18888889,2.3,1.87443814
0.1,1.61,0.18888889,3.4,1.874920418
0.1,1.61,0.18888889,4.5,1.875569702
0.1,1.61,0.18888889,5.6,1.876292974
0.1,1.61,0.18888889,6.7,1.877062852
0.1,1.61,0.18888889,7.8,1.877843421
0.1,1.61,0.18888889,8.9,1.878622298
0.1,1.61,0.18888889,10,1.879397672
0.1,1.61,0.27777778,0.1,0.470702266
0.1,1.61,0.27777778,1.2,2.681269719
0.1,1.61,0.27777778,2.3,2.680222094
0.1,1.61,0.27777778,3.4,2.68083914
0.1,1.61,0.27777778,4.5,2.681954337
0.1,1.61,0.27777778,5.6,2.683275949
0.1,1.61,0.27777778,6.7,2.684691369
0.1,1.61,0.27777778,7.8,2.686159765
0.1,1.61,0.27777778,8.9,2.687665101
