ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,CO2
0.1,5,0.7,0.5,0.06380065
0.1,5,0.7,1,0.127439466
0.1,5,0.7,4,0.59361286
0.1,5,0.7,6,0.929400845
0.1,5,0.7,8,1.265684328
0.1,5,0.7,10,1.27036342
0.1,5,0.9,0.1,0.004624697
0.1,5,0.9,0.5,0.021633781
0.1,5,0.9,1,0.042713293
0.1,5,0.9,4,0.169670822
0.1,5,0.9,6,0.257500863
0.1,5,0.9,8,0.354824885
0.1,5,0.9,10,0.461871877
0.1,7,0.1,0.1,0.029853985
0.1,7,0.1,0.5,0.130283294
0.1,7,0.1,1,0.130286889
0.1,7,0.1,4,0.130311427
0.1,7,0.1,6,0.130326627
0.1,7,0.1,8,0.130343196
0.1,7,0.1,10,0.130358827
0.1,7,0.3,0.1,0.021728484
0.1,7,0.3,0.5,0.117949064
0.1,7,0.3,1,0.256366417
0.1,7,0.3,4,0.389802876
0.1,7,0.3,6,0.389866761
0.1,7,0.3,8,0.3899317
0.1,7,0.3,10,0.389996556
0.1,7,0.5,0.1,0.01560431
0.1,7,0.5,0.5,0.076864761
0.1,7,0.5,1,0.163626281
0.1,7,0.5,4,0.64929862
0.1,7,0.5,6,0.64942463
0.1,7,0.5,8,0.649552492
0.1,7,0.5,10,0.649676567
0.1,7,0.7,0.1,0.009525565
0.1,7,0.7,0.5,0.045818659
0.1,7,0.7,1,0.09159557
0.1,7,0.7,4,0.424697622
0.1,7,0.7,6,0.663994462
0.1,7,0.7,8,0.903920102
0.1,7,0.7,10,0.90863884
0.1,7,0.9,0.1,0.003390038
0.1,7,0.9,0.5,0.015595191
0.1,7,0.9,1,0.030693163
0.1,7,0.9,4,0.121868044
0.1,7,0.9,6,0.185518846
0.1,7,0.9,8,0.255573237
0.1,7,0.9,10,0.331572924
0.3,0.07,0.1,0.1,0.438449848
0.3,0.07,0.1,0.5,0.462601755
0.3,0.07,0.1,1,0.462277612
0.3,0.07,0.1,4,0.463082678
0.3,0.07,0.1,6,0.463752357
0.3,0.07,0.1,8,0.464450729
0.3,0.07,0.1,10,0.465148802
0.3,0.07,0.3,0.1,0.412786663
0.3,0.07,0.3,0.5,0.761723028
0.3,0.07,0.3,1,0.76724901
0.3,0.07,0.3,4,0.770676311
0.3,0.07,0.3,6,0.772000351
0.3,0.07,0.3,8,0.77300752
0.3,0.07,0.3,10,0.774093926
0.3,0.07,0.5,0.1,0.321329554
0.3,0.07,0.5,0.5,0.783069274
0.3,0.07,0.5,1,0.804160492
0.3,0.07,0.5,4,0.808600361
0.3,0.07,0.5,6,0.809994735
0.3,0.07,0.5,8,0.811160535
0.3,0.07,0.5,10,0.811902495
0.3,0.07,0.7,0.1,0.207835163
0.3,0.07,0.7,0.5,0.672000945
0.3,0.07,0.7,1,0.812041566
0.3,0.07,0.7,4,0.820849874
0.3,0.07,0.7,6,0.822109722
0.3,0.07,0.7,8,0.823329234
0.3,0.07,0.7,10,0.824395273
0.3,0.07,0.9,0.1,0.073934782
0.3,0.07,0.9,0.5,0.32718706
0.3,0.07,0.9,1,0.542779569
0.3,0.07,0.9,4,0.825757295
0.3,0.07,0.9,6,0.827431672
0.3,0.07,0.9,8,0.828668597
0.3,0.07,0.9,10,0.830217134
0.3,0.1,0.1,0.1,0.503972877
0.3,0.1,0.1,0.5,0.494701706
0.3,0.1,0.1,1,0.494210682
0.3,0.1,0.1,4,0.495021604
0.3,0.1,0.1,6,0.495745112
0.3,0.1,0.1,8,0.496483781
