idx,LIGHT,ratio_absorb,CO2,叶片数,CO2_sum
0,500,0.1,4.070936512,1,4.070936512
1,450,0.1,3.689363023,2,7.760299535
2,405,0.1,3.341094687,3,11.10139422
3,364.5,0.1,3.023770436,4,14.12516466
4,328.05,0.1,2.735067857,5,16.86023251
5,295.245,0.1,2.472752968,6,19.33298548
6,265.7205,0.1,2.234683364,7,21.56766885
7,239.14845,0.1,2.018828859,8,23.58649771
8,215.233605,0.1,1.82327979,9,25.4097775
9,193.7102445,0.1,1.646254449,10,27.05603195
10,174.3392201,0.1,1.486098432,11,28.54213038
11,156.905298,0.1,1.341280202,12,29.88341058
12,141.2147682,0.1,1.210391869,13,31.09380245
13,127.0932914,0.1,1.092135804,14,32.18593825
14,114.3839623,0.1,0.985330921,15,33.17126917
15,102.945566,0.1,0.888892492,16,34.06016167
16,92.65100944,0.1,0.801836574,17,34.86199824
17,83.3859085,0.1,0.723265654,18,35.58526389
18,75.04731765,0.1,0.652363859,19,36.23762775
19,67.54258588,0.1,0.588392542,20,36.82602029
20,60.7883273,0.1,0.530679975,21,37.35670027
21,54.70949457,0.1,0.478619667,22,37.83531994
22,49.23854511,0.1,0.43166139,23,38.26698133
23,44.3146906,0.1,0.389307842,24,38.65628917
24,39.88322154,0.1,0.351109554,25,39.00739872
25,35.89489938,0.1,0.316660006,26,39.32405873
26,32.30540945,0.1,0.285592481,27,39.60965121
27,29.0748685,0.1,0.257575245,28,39.86722646
28,26.16738165,0.1,0.232309197,29,40.09953565
29,23.55064349,0.1,0.209524506,30,40.30906016
30,21.19557914,0.1,0.188977301,31,40.49803746
31,19.07602122,0.1,0.170447919,32,40.66848538
32,17.1684191,0.1,0.153737944,33,40.82222332
33,15.45157719,0.1,0.1386686,34,40.96089192
34,13.90641947,0.1,0.125078589,35,41.08597051
35,12.51577752,0.1,0.112822493,36,41.19879301
36,11.26419977,0.1,0.101769174,37,41.30056218
37,10.1377798,0.1,0.091800323,38,41.3923625
38,9.124001816,0.1,0.082809329,39,41.47517183
39,8.211601634,0.1,0.074700144,40,41.54987198
40,7.390441471,0.1,0.067386024,41,41.617258
41,6.651397324,0.1,0.060788859,42,41.67804686
42,5.986257591,0.1,0.054838238,43,41.7328851
43,5.387631832,0.1,0.049470659,44,41.78235575
44,4.848868649,0.1,0.044628901,45,41.82698466
45,4.363981784,0.1,0.040261268,46,41.86724592
46,3.927583606,0.1,0.036321311,47,41.90356723
47,3.534825245,0.1,0.032767038,48,41.93633427
48,3.181342721,0.1,0.029560638,49,41.96589491
49,2.863208449,0.1,0.02666798,50,41.99256289
50,2.576887604,0.1,0.02405835,51,42.01662124
51,2.319198843,0.1,0.021703993,52,42.03832523
52,2.087278959,0.1,0.019579909,53,42.05790514
53,1.878551063,0.1,0.017663559,54,42.0755687
54,1.690695957,0.1,0.015934602,55,42.0915033
55,1.521626361,0.1,0.014374707,56,42.10587801
56,1.369463725,0.1,0.012967325,57,42.11884534
57,1.232517352,0.1,0.011697546,58,42.13054288
58,1.109265617,0.1,0.010551912,59,42.14109479
59,500,0.2,7.527933346,1,7.527933346
60,400,0.2,6.207619242,2,13.73555259
61,320,0.2,5.08637789,3,18.82193048
62,256,0.2,4.146312917,4,22.9682434
63,204.8,0.2,3.366449921,5,26.33469332
64,163.84,0.2,2.724957674,6,29.05965099
65,131.072,0.2,2.20075406,7,31.26040505
66,104.8576,0.2,1.77449905,8,33.0349041
67,83.88608,0.2,1.429136573,9,34.46404067
68,67.108864,0.2,1.150049621,10,35.61409029
69,53.6870912,0.2,0.924941666,11,36.53903196
70,42.94967296,0.2,0.743615796,12,37.28264776
71,34.35973837,0.2,0.597689955,13,37.88033771
72,27.48779069,0.2,0.48033289,14,38.3606706
73,21.99023256,0.2,0.385992551,15,38.74666315
74,17.59218604,0.2,0.310175974,16,39.05683913
75,14.07374884,0.2,0.249256832,17,39.30609596
76,11.25899907,0.2,0.200312068,18,39.50640803
77,9.007199255,0.2,0.160988697,19,39.66739672
78,7.205759404,0.2,0.129394535,20,39.79679126
79,5.764607523,0.2,0.104009013,21,39.90080027
80,4.611686018,0.2,0.083609919,22,39.98441019
81,3.689348815,0.2,0.067216573,23,40.05162676
82,2.951479052,0.2,0.054040498,24,40.10566726
83,2.361183241,0.2,0.043449429,25,40.14911669
84,1.888946593,0.2,0.034935054,26,40.18405175
85,1.511157275,0.2,0.028089599,27,40.21214134
86,1.20892582,0.2,0.022585406,28,40.23472675
87,500,0.3,10.37482028,1,10.37482028
88,350,0.3,7.791424409,2,18.16624469
89,245,0.3,5.72857685,3,23.89482154
90,171.5,0.3,4.148097576,4,28.04291911
91,120.05,0.3,2.971787818,5,31.01470693
92,84.035,0.3,2.11442241,6,33.12912934
93,58.8245,0.3,1.498105049,7,34.62723439
94,41.17715,0.3,1.058838093,8,35.68607248
95,28.824005,0.3,0.747347019,9,36.4334195
96,20.1768035,0.3,0.527119146,10,36.96053865
97,14.12376245,0.3,0.371675949,11,37.3322146
98,9.886633715,0.3,0.262057086,12,37.59427168
99,6.9206436,0.3,0.184784447,13,37.77905613
100,4.84445052,0.3,0.130318326,14,37.90937446
101,3.391115364,0.3,0.091923826,15,38.00129828
102,2.373780755,0.3,0.06485288,16,38.06615116
103,1.661646528,0.3,0.045760858,17,38.11191202
104,1.16315257,0.3,0.032292197,18,38.14420422
105,500,0.4,12.60451343,1,12.60451343
106,300,0.4,8.631558461,2,21.23607189
107,180,0.4,5.59290509,3,26.82897698
108,108,0.4,3.512746444,4,30.34172342
109,64.8,0.4,2.165553285,5,32.50727671
110,38.88,0.4,1.322254415,6,33.82953113
111,23.328,0.4,0.803720634,7,34.63325176
112,13.9968,0.4,0.487607924,8,35.12085968
113,8.39808,0.4,0.295647798,9,35.41650748
114,5.038848,0.4,0.179263645,10,35.59577113
115,3.0233088,0.4,0.108728369,11,35.7044995
116,1.81398528,0.4,0.065971179,12,35.77047068
117,1.088391168,0.4,0.040040032,13,35.81051071
118,500,0.5,13.98306565,1,13.98306565
119,250,0.5,8.846377195,2,22.82944284
120,125,0.5,4.902083238,3,27.73152608
121,62.5,0.5,2.580054079,4,30.31158016
122,31.25,0.5,1.325176394,5,31.63675655
123,15.625,0.5,0.674370675,6,32.31112723
124,7.8125,0.5,0.342196422,7,32.65332365
125,3.90625,0.5,0.173575124,8,32.82689877
126,1.953125,0.5,0.088088148,9,32.91498692
127,500,0.6,14.64723176,1,14.64723176
128,200,0.6,8.48886708,2,23.13609884
129,80,0.6,3.836648582,3,26.97274742
130,32,0.6,1.613089396,4,28.58583682
131,12.8,0.6,0.661851908,5,29.24768873
132,5.12,0.6,0.269994232,6,29.51768296
133,2.048,0.6,0.110115782,7,29.62779874
134,500,0.7,14.98654857,1,14.98654857
135,150,0.7,7.551512595,2,22.53806117
136,45,0.7,2.579017845,3,25.11707901
137,13.5,0.7,0.808487854,4,25.92556687
138,4.05,0.7,0.249117693,5,26.17468456
139,1.215,0.7,0.07670464,6,26.2513892
140,500,0.8,15.16616017,1,15.16616017
141,100,0.8,5.962055752,2,21.12821592
142,20,0.8,1.344234584,3,22.47245051
143,4,0.8,0.279886499,4,22.75233701
144,500,0.9,15.25665005,1,15.25665005
145,50,0.9,3.555126071,2,18.81177612
146,5,0.9,0.389759941,3,19.20153606
