time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx,LIGHT,ratio_absorb,v_ATP_made,3_v_ATP_made,Phi2*PSII_antenna_size*ratio_absorb*LIGHT,NADPH,2NADPH,CO2
1199.0500000000002,1.5141830332744202,0.5212815273127315,420.9274908941378,0.5610082197072906,0.3331641972234221,0.6668358027765784,0.1154768886948173,0.0101912627291084,6.045239567238184,0.0882536982184428,0.9117463017815574,0.0877764400177003,0.0531913198488036,0.0386808680151196,0,2000.0,0.1,55.73085217513293,18.57695072504431,52.12815273127315,26.064076365636573,13.032038182818289,13.032038182818289
1199.0500000000002,1.4042079074229517,0.5401799941046742,392.5754634629801,0.5787657632111471,0.2889105045371528,0.7110894954628486,0.1136554616217882,0.0097319248692531,6.067941054124414,0.0856265482584145,0.9143734517415856,0.0875947846065052,0.0525936634567342,0.0387406336543266,1,1800.0,0.1,51.6150537789058,17.205017926301934,48.61619946942068,24.30809973471034,12.15404986735517,12.15404986735517
1199.0500000000002,1.2832041088210917,0.5559962300695769,363.6615452163639,0.5858819324789896,0.2430699799940505,0.7569300200059489,0.1115996394224095,0.0092313831579042,6.093862395591579,0.0827187542039501,0.91728124579605,0.0874224867608299,0.0519621996133167,0.0388037800386682,2,1620.0,0.1,47.21431151358366,15.73810383786122,45.03569463563573,22.517847317817864,11.258923658908932,11.258923658908932
1199.0500000000002,1.161088647194854,0.5698813820125462,335.468429403143,0.5867444474616057,0.2002323593029665,0.7997676406970324,0.1094566389383244,0.0087342455485507,6.121293443503773,0.0797963978632193,0.9202036021367808,0.0872734962818431,0.0513409686734144,0.0388659031326586,3,1458.0,0.1,42.9104655283576,14.303488509452531,41.54435274871462,20.77217637435731,10.386088187178656,10.386088187178656
1199.0500000000002,1.0426810435997462,0.5823536673119019,308.53123519971643,0.5836585867469639,0.1624025483325553,0.8375974516674438,0.1072929676619992,0.0082589905621669,6.149433715002795,0.0769760660202257,0.9230239339797744,0.0871520210156036,0.0507470934026359,0.0389252906597364,4,1312.2,0.1,38.86178465892501,12.95392821964167,38.20822411233389,19.104112056166944,9.552056028083472,9.552056028083472
1199.0500000000002,0.93017713745415,0.5936624323877011,283.0695515886593,0.5778697173658485,0.1301603027597587,0.8698396972402413,0.1051383146477175,0.0078134274977351,6.177918547500293,0.0743157003674947,0.9256842996325052,0.0870593375308534,0.0501868030180191,0.0389813196981981,5,1180.98,0.1,35.124756095939546,11.708252031979848,35.05517297006136,17.52758648503068,8.76379324251534,8.76379324251534
1199.0500000000002,0.8245725474101275,0.6039283331548535,259.16885975798914,0.5701024968692666,0.1033529928160666,0.8966470071839334,0.10300294655991,0.0073976208020986,6.206577904036477,0.0718195066180807,0.9281804933819192,0.0869957470000213,0.0496620480965461,0.0390337951903453,6,1062.882,0.1,31.70605169768843,10.568683899229477,32.095227730014855,16.047613865007428,8.023806932503714,8.023806932503714
1199.0500000000002,0.7263216138316555,0.6132428905059705,236.84950040297105,0.5609137707227185,0.0814656626286705,0.9185343373713292,0.1008919548238562,0.0070116403611828,6.235328092288777,0.069496525996076,0.9305034740039236,0.0869598979075284,0.0491716854438683,0.0390828314556131,7,956.5938,0.1,28.596820217672555,9.532273405890852,29.33121734760451,14.665608673802256,7.332804336901128,7.332804336901128
1199.0500000000002,0.635653708908442,0.6216740884017202,216.09501650280595,0.550767391747776,0.0638402010973118,0.9361597989026886,0.0988061244976079,0.0066538205570811,6.264128267657886,0.0673421874377665,0.9326578125622332,0.0869502807518667,0.0487138289505015,0.0391286171049498,8,860.93442,0.1,25.778356153044093,8.592785384348032,26.761031036358187,13.380515518179092,6.690257759089546,6.690257759089546
1199.0500000000002,0.5526980971455768,0.6292823985199578,196.86594650576157,0.5400942784961154,0.0497995711467546,0.9502004288532454,0.0967445132969717,0.0063218006813383,6.2929547897394436,0.065345314849472,0.934654685150528,0.0869667456093097,0.0482877823775567,0.0391712217622442,9,774.840978,0.1,23.22868502060889,7.74289500686963,24.379689455369498,12.189844727684749,6.094922363842374,6.094922363842374
1199.0500000000002,0.4774705508630288,0.6361328692660771,179.1080599997809,0.5293025928664707,0.0387042955805499,0.9612957044194496,0.0947060378583053,0.0060141253975094,6.321801458986735,0.0635030831539661,0.9364969168460338,0.0870066958776892,0.0478902247648512,0.0392109775235148,10,697.3568802,0.1,20.92588179388317,6.975293931294391,22.180581655203294,11.090290827601647,5.545145413800824,5.545145413800824
1199.0500000000002,0.409895207106315,0.6422879432069751,162.75673698671028,0.5187560845575587,0.0299923708896948,0.9700076291103044,0.09268885853253,0.0057288115418069,6.350665883487947,0.0618069056917995,0.9381930943082004,0.0870685598504023,0.0475189107295982,0.0392481089270402,11,627.6211922,0.1,18.847973403840857,6.282657801280286,20.15567623256238,10.07783811628119,5.038919058140595,5.038919058140595
1199.0500000000002,0.3497878469321224,0.6478090402820483,147.7403525416442,0.5087617962857777,0.0231876206432577,0.9768123793567424,0.0906908489989697,0.0054635474134319,6.379544973574371,0.0602436461094417,0.939756353890558,0.0871521685211976,0.0471731038438724,0.0392826896156126,12,564.859073,0.1,16.973993401785513,5.657997800595171,18.29604069873687,9.148020349368435,4.574010174684218,4.574010174684218
